gate_id,historical_requirement,current_effective_requirement,authority,supersession_status,gate_role,current_state,required_evidence,owner_role,reviewer_role,clinical_content_required,implementation_required,A7_CL_relevance,FB11_relevance,Full_A7_relevance,A11_relevance,stop_condition,notes
RG-11,Clinical route evaluation and fallback evidence is complete,Bounded Fake/offline route evaluation and fallback evidence is A7-CL-03/Exit evidence,PR29_A7_NC_AMENDMENT_S15_S7; A7_NC_S12; A6_5_NONADOPT_S13; A7_CL_01_AMENDMENT,RECONCILED_BY_CURRENT_EFFECTIVE_A7_CL_AMENDMENT,A7_CL_EXIT_GATE,UNSATISFIED,evaluation_record; fallback_record; fake_or_offline_only; no_real_provider,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,NOT_REQUIRED_BY_CURRENT_FB11_AUTHORITY,REQUIRED,NONE,PHASE_A_CLINICAL_REAL_PROVIDER_SEPARATE_AUTHORIZATION_REQUIRED,Historical PR29 ordering preserved as history; A7-CL-01 changes current-effective sequencing under A6.5 §13 A7_ROADMAP_AMENDMENT_REQUIRED. Substantive gate requirement remains mandatory. Real provider remains FORBIDDEN; Clinical Runtime remains NOT_ENABLED
RG-12,Capability binding passes formal lifecycle/release gate,Formal binding/eligibility evidence is A7-CL Exit evidence; lifecycle stays DRAFT and production stays BLOCKED until a later formal gate,PR29_A7_NC_AMENDMENT_S15_S7_S10; capability_manifest; A6_5_NONADOPT_S13; A7_CL_01_AMENDMENT,RECONCILED_BY_CURRENT_EFFECTIVE_A7_CL_AMENDMENT,A7_CL_EXIT_GATE,UNSATISFIED,binding_record; eligibility_state; lifecycle_still_DRAFT; production_still_BLOCKED,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,INDIRECT,REQUIRED,A11_CONSUMES,none,Historical PR29 ordering preserved as history; A7-CL-01 changes current-effective sequencing under A6.5 §13 A7_ROADMAP_AMENDMENT_REQUIRED. Substantive gate requirement remains mandatory. This batch does not upgrade capability lifecycle
RG-13,A7-NC Exit PASSED,A7-NC remains COMPLETE CLOSED STABLE; do not reopen Model Runtime semantics,PR29_A7_NC_AMENDMENT_S15; A7_NC_EXIT,NOT_SUPERSEDED,SATISFIED_PREREQUISITE,SATISFIED,A7-NC Exit PASSED evidence,A7_NC_owner,independent_governance_reviewer,false,false,REQUIRED_STABLE,NONE,REQUIRED_SATISFIED,NONE,A7_NC_SEMANTIC_REOPEN_REQUIRES_SEPARATE_ARCHITECTURE_REVIEW,Do not change ModelSpec Route Gateway Fake blocked-shell or legacy containment
FB-11,new clinical Safety/Question/Hypothesis first-edition approval,Approve first-edition SAFETY QUESTION HYPOTHESIS baseline for adult_respiratory_v1 under new governance,A6_5_NONADOPT_S14; NC_CLOSURE_AMENDMENT_S5_S7; COVERAGE_MATRIX,NOT_SUPERSEDED,CONTENT_APPROVAL_GATE,UNSATISFIED,first_edition_safety_pack; first_edition_question_policy; first_edition_hypothesis_set; clinical_review_decision,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,REQUIRED,REQUIRED,REQUIRED_AS_A11_GATE,none,Gold thresholds Prompt text Medical RAG production Knowledge Release and Phase B Safety Engine are NOT_REQUIRED_BY_CURRENT_FB11_AUTHORITY
CL-01,Observation Extraction clinical activation,Register reviewed Prompt eligibility Capability binding and evaluation after pre-content gates; do not activate in A7-CL-01,A7_NC_SCOPE_REGISTER_CL01; PR29_A7_NC_AMENDMENT_S7,NOT_SUPERSEDED,A7_CL_EXIT_GATE,BLOCKED,reviewed_extraction_prompt; eligibility; binding; evaluation_evidence,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,INDIRECT,REQUIRED,NONE,none,A7-CL-01 does not activate CL-01
CL-02,Question Wording clinical activation,Register reviewed Prompt eligibility Capability binding and evaluation after pre-content gates; do not activate in A7-CL-01,A7_NC_SCOPE_REGISTER_CL02; PR29_A7_NC_AMENDMENT_S7,NOT_SUPERSEDED,A7_CL_EXIT_GATE,BLOCKED,reviewed_wording_prompt; eligibility; binding; evaluation_evidence,CLINICAL_OWNER,HUMAN_CLINICAL_REVIEWER,true,false,REQUIRED,INDIRECT,REQUIRED,NONE,none,A7-CL-01 does not activate CL-02
PB-STATE-COMMITTER,State Committer unique clinical-write path,PHASE_B_DEFERRED; not on A7-CL critical path,PR29_A7_NC_AMENDMENT_S11; ROADMAP_PHASE_B_B2,NOT_APPLICABLE,PHASE_B_DEFERRED,NOT_AUTHORIZED,none_in_A7_CL,phase_b_owner,phase_b_reviewer,false,true,NONE,NONE,NONE,A11_LATER,PHASE_B_IMPLEMENTATION_NOT_AUTHORIZED,A7-NC forbids moving State Committer into Model Runtime
PB-SAFETY-RUNTIME,Phase B executable Safety Engine / Safety Pack runtime,PHASE_B_DEFERRED; distinct from FB-11 Safety first-edition clinical baseline,ROADMAP_PHASE_B_B4,NOT_APPLICABLE,PHASE_B_DEFERRED,NOT_AUTHORIZED,none_in_A7_CL,phase_b_owner,phase_b_reviewer,false,true,NONE,NOT_REQUIRED_BY_CURRENT_FB11_AUTHORITY,NONE,A11_LATER,PHASE_B_IMPLEMENTATION_NOT_AUTHORIZED,A7-CL may later govern FB-11 Safety content; it must not implement Phase B runtime Safety
A11-ELIGIBILITY,A11 eligibility after A6.5 Exit plus NC Closure Exit plus Full A7 Exit plus remaining Frozen prerequisites,A11 eligibility != A11 PASS; not authorized here,NC_CLOSURE_AMENDMENT_S7,NOT_APPLICABLE,A11_ONLY_GATE,NOT_ELIGIBLE,Full_A7_Exit_PASS; remaining_A11_prerequisites,A11_owner,A11_freeze_reviewer,false,false,NONE,CONSUMES_FB11,REQUIRED_BEFORE_ELIGIBILITY,REQUIRED,A11_FREEZE_REVIEW_NOT_AUTHORIZED,Do not claim Frozen Baseline or A11 PASS
A11-FREEZE,Independent A11 Freeze Review / Frozen Baseline,A11_ONLY; remaining FB gates beyond FB-11 content approval,ROADMAP_A11; NC_CLOSURE_AMENDMENT_S7,NOT_APPLICABLE,A11_ONLY_GATE,NOT_PASSED,separate_A11_authorization; freeze_review,A11_owner,A11_freeze_reviewer,false,false,NONE,FB11_IS_A11_GATE,FB21_CONSUMES_A7,REQUIRED,A11_FREEZE_REVIEW_NOT_AUTHORIZED,Startup health production deploy OTel equivalence and production backends remain A11-only
A7CL02-ELIGIBILITY,Future A7-CL-02 FB-11 clinical baseline authoring,Eligible only after RG-06 ASSIGNED and RG-07 ASSIGNED and RG-08 GRANTED and scope locked and A7-NC stable,A7_CL_01_CHARTER_S15,NOT_APPLICABLE,PRE_CONTENT_START_GATE,UNSATISFIED,RG06_ASSIGNED; RG07_ASSIGNED; RG08_GRANTED; adult_respiratory_v1_locked; A7_NC_STABLE,Repository_Owner,governance_reviewer,false,false,REQUIRED,REQUIRED,INDIRECT,NONE,A7_CL_CLINICAL_EXPERT_REVIEW_REQUIRED,A7-CL-02 is not authorized by A7-CL-01
A7-ROADMAP-AMENDMENT,A7_ROADMAP_AMENDMENT_REQUIRED,A7-CL-01 provides the Owner-authorized current-effective A7 roadmap / clinical-rejoin amendment,A6_5_NONADOPT_S13; A7_CL_01_OWNER_AUTHORIZATION,CURRENT_EFFECTIVE_AMENDMENT_PENDING_REVIEW,GOVERNANCE_AUTHORITY_GATE,AUTHORED_PENDING_REVIEW,A7_CL_01_SATISFIES_A7_ROADMAP_AMENDMENT_REQUIRED; charter_section_2A; Owner_authorization_token,Repository_Owner,independent_governance_reviewer,false,false,REQUIRED,GOVERNS_BOUNDARY,REQUIRED,INDIRECT,A7_CL_01_REJOIN_EXIT_AUTHORITY_AMBIGUITY_STOPPED,preserves historical PR29; supersedes only identified execution ordering; does not waive RG-10/11/12 substantive requirements.
