access_id,service,source_file,line_or_symbol,store_id,target_entity,operation,read_write_delete,sync_async,input_contract,output_contract,patient_or_session_key,transaction_boundary,expected_version,idempotency,error_behavior,fallback_continuation,audit,authorization,data_class,sensitivity,evidence_level,evidence_reference
diagnosis-start,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisOrchestrationService.java,startDiagnosis,relational-clinical,CDP,CREATE_AND_UPDATE,WRITE,SYNC,DiagnosisRequest,DiagnosisResponse,"patientId; sessionId",TRANSACTIONAL,SERVER_SIDE,NO,"health service failure produces defaults",YES,"CDP snapshot",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
diagnosis-continue,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisOrchestrationService.java,continueDiagnosis,relational-clinical,CDP,READ_MODIFY_WRITE,"READ;WRITE",SYNC,"cdpId; answer",DiagnosisResponse,cdpId,TRANSACTIONAL,SERVER_SIDE,NO,"remote failures may use defaults",YES,"CDP snapshot",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
fixed-workflow-writes,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,steps1_to_5,relational-clinical,CDP,MULTI_STAGE_UPDATE,"READ;WRITE",SYNC,"CDP plus remote service responses",CDP,cdpId,"outer transaction semantics vary across private calls",SERVER_SIDE_ONLY,NO,"several remote failures store empty/default state; final status may become completed",YES,"snapshots; trace candidate",UNKNOWN,"CLINICAL_OBSERVATION; CLINICAL_INFERENCE; CLINICIAN_DECISION",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
agent-state-access,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/agent_state/AgentStateManager.java,"create/update/delete methods",relational-clinical,AgentState,CRUD,"READ;WRITE;DELETE",SYNC,"sessionId; cdpId; state maps",AgentState,"sessionId; cdpId",TRANSACTIONAL,NO,NO,"caller dependent",UNKNOWN,"separate AuditTrail path",UNKNOWN,INTERNAL,INTERNAL_SENSITIVE,CODE_CONFIRMED,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/AgentStateRepository.java:17
audit-append,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,"recordToolCall/recordCDPUpdate/recordAgentDecision",relational-clinical,AuditTrail,APPEND,WRITE,SYNC,arbitrary_Map,AuditTrail,"cdpId; sessionId",NONE,NO,NO,"some callers catch and continue",YES,"self-recording",UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
legacy-diagnosis-record,diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisService.java,"startDiagnosis/submitAnswer/history",relational-clinical,DiagnosisRecord,CRUD,"READ;WRITE",SYNC,"userId; answer; diagnosis state",DiagnosisRecord,userId,TRANSACTIONAL,NO,NO,"service exceptions",UNKNOWN,"timestamps only",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
exam-plan-write,examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,designPlan,relational-clinical,ExaminationPlan,CREATE,WRITE,SYNC,"userId; request",ExaminationPlan,userId,NONE,NO,NO,"persistence failure propagates",NO,"timestamps only",UNKNOWN,CLINICIAN_DECISION,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
exam-report-upload,examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,uploadReport,"exam-report-files; relational-clinical",ExaminationRecord,FILE_AND_RECORD_CREATE,WRITE,SYNC,MultipartFile,ExaminationRecord,userId,NONE,NO,NO,"file is written before DB; OCR failure persists failed status",YES,"timestamps only",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,CODE_CONFIRMED,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java:120
exam-ocr-update,examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ocrRecognize,relational-clinical,ExaminationRecord,UPDATE,WRITE,SYNC,"recordId; MultipartFile",OCR_result,recordId,NONE,NO,NO,"throws for explicit OCR endpoint; upload path persists failed state",CONDITIONAL,"timestamps only",UNKNOWN,CLINICAL_OBSERVATION,PHI,CODE_CONFIRMED,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java:206
exam-history-read,examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,getHistory,relational-clinical,ExaminationRecord,QUERY,READ,SYNC,"caller-supplied userId",Page,userId,NONE,NO,NOT_APPLICABLE,"query failure propagates",NO,NONE,UNKNOWN,CLINICAL_OBSERVATION,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a1/java-state-write-inventory.csv
trace-append,execution-trace-service,execution-trace-service/src/main/java/com/aidoctor/trace/service/ExecutionTraceService.java,recordEvent,relational-trace,ExecutionTrace,APPEND,WRITE,SYNC_OR_ASYNC,ExecutionTraceEvent,ExecutionTrace,"cdpId; traceId",UNKNOWN,NO,NO,"caller/client often logs and continues",YES,"self-recording",UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,execution-trace-service/src/main/java/com/aidoctor/trace/service/ExecutionTraceService.java
trace-query,execution-trace-service,execution-trace-service/src/main/java/com/aidoctor/trace/service/ExecutionTraceService.java,"getByCdpId/getSummary/listCdpIds",relational-trace,ExecutionTrace,QUERY,READ,SYNC,cdpId,"trace rows/summary/identifier list",cdpId,NONE,NO,NOT_APPLICABLE,"empty/default handling at clients",YES,NONE,UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,execution-trace-service/src/main/java/com/aidoctor/trace/repository/ExecutionTraceRepository.java:15
trace-retention-delete,execution-trace-service,execution-trace-service/src/main/java/com/aidoctor/trace/repository/ExecutionTraceRepository.java,findByTimestampBefore,relational-trace,ExecutionTrace,RETENTION_CANDIDATE,"READ;DELETE",UNKNOWN,cutoff,UNKNOWN,cdpId,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AUDIT_TRACE,PHI,CODE_CONFIRMED,execution-trace-service/src/main/java/com/aidoctor/trace/repository/ExecutionTraceRepository.java:26
python-cdp-readers,"health; clinical; dialog; diagnosis; workup; treatment; risk; explanation","*/app/utils/cdp_reader.py",read_cdp_fields,relational-clinical,CDP,HTTP_READ,READ,SYNC,"cdpId; requested fields",dict,cdpId,NONE,NO,NOT_APPLICABLE,"returns empty dict on any error",YES,NONE,UNKNOWN,"PATIENT_PROVIDED; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv
python-suggested-writes,"health; clinical; dialog; diagnosis; workup; treatment; risk; explanation","*/app/api/routes.py",ToolResult.suggested_writes,relational-clinical,CDP,PROPOSE_WRITE,WRITE_PROPOSAL,SYNC,ToolContext,ToolResult,cdpId,"no local transaction","reference version present but not enforced",UNKNOWN,"caller decides",YES,"caller dependent",UNKNOWN,"CLINICAL_OBSERVATION; CLINICAL_INFERENCE",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv
dialog-direct-cdp-write,dialog-service,dialog-service/app/services/dialog_service.py,_update_cdp,relational-clinical,CDP,HTTP_UPDATE,WRITE,ASYNC,"cdpId; extracted patient_state",HTTP_response,cdpId,NONE,NO,NO,"logs and continues",YES,NONE,UNKNOWN,PATIENT_PROVIDED,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv
explanation-direct-cdp-write,explanation-service,explanation-service/app/services/explanation_service.py,_update_cdp,relational-clinical,CDP,HTTP_UPDATE,WRITE,ASYNC,"cdpId; evidence_chain/reasoning/conclusion",HTTP_response,cdpId,NONE,NO,NO,"logs and continues",YES,NONE,UNKNOWN,CLINICAL_INFERENCE,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a2/python-cdp-access-inventory.csv
redis-context-read,dialog-service,dialog-service/app/services/dialog_service.py,_get_context,redis-dialog-context,dialog_context,GET,READ,SYNC,cdpId,dict,cdpId,NONE,NO,NOT_APPLICABLE,"parse/read failure switches to memory",YES,NONE,UNKNOWN,PATIENT_PROVIDED,PHI,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:483
redis-context-write,dialog-service,dialog-service/app/services/dialog_service.py,_update_context,redis-dialog-context,dialog_context,SETEX,WRITE,SYNC,"cdpId; merged context",void,cdpId,NONE,NO,NO,"write failure switches to memory",YES,NONE,UNKNOWN,PATIENT_PROVIDED,PHI,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:502
redis-context-delete,dialog-service,dialog-service/app/services/dialog_service.py,cleanup,redis-dialog-context,dialog_context,DEL,DELETE,SYNC,cdpId,void,cdpId,NONE,NO,YES_BY_KEY,"logs delete failure",YES,NONE,UNKNOWN,PATIENT_PROVIDED,PHI,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:644
memory-context-fallback,dialog-service,dialog-service/app/services/dialog_service.py,"_get_context/_update_context/cleanup",dialog-memory-fallback,dialog_context,CRUD,"READ;WRITE;DELETE",SYNC,"cdpId; context",dict,cdpId,NONE,NO,NO,"used after Redis error",YES,NONE,UNKNOWN,PATIENT_PROVIDED,PHI,CODE_CONFIRMED,dialog-service/app/services/dialog_service.py:500
neo4j-diagnosis-query,diagnosis-engine-service,diagnosis-engine-service/app/kg-reasoning-engine/path_retriever.py,retrieve_disease_paths,neo4j-knowledge-graph,Symptom_to_Disease_paths,CYPHER_QUERY,READ,SYNC,"symptom CUIs/names; max hops",paths,NONE,NONE,NO,NOT_APPLICABLE,"returns empty list on exception",YES,NONE,UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,diagnosis-engine-service/app/kg-reasoning-engine/path_retriever.py:83
neo4j-schema-write,knowledge-management-service,knowledge-management-service/app/services/schema_service.py,setup_schema,neo4j-knowledge-graph,Neo4j_schema,"CREATE CONSTRAINT/INDEX",WRITE,SYNC,NONE,setup_result,NONE,"each statement auto-commits through driver session",NO,"IF NOT EXISTS per statement","records individual failures and continues",YES,"application logs",UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,knowledge-management-service/app/services/schema_service.py:125
neo4j-schema-read,knowledge-management-service,knowledge-management-service/app/services/schema_service.py,"validate/get constraints/get indexes",neo4j-knowledge-graph,Neo4j_schema,SHOW,READ,SYNC,NONE,schema_result,NONE,NONE,NO,NOT_APPLICABLE,"returns validation errors/defaults",YES,"application logs",UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,knowledge-management-service/app/services/schema_service.py:243
neo4j-import-stubs,knowledge-management-service,knowledge-management-service/app/importers/kg_importers,import_from_file,neo4j-knowledge-graph,knowledge_graph,IMPORT_CANDIDATE,WRITE,ASYNC,UploadFile,success_with_zero_count,NONE,NONE,NO,NO,"TODO returns success without writing",YES,"application logs",UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,knowledge-management-service/app/importers/kg_importers/disease_importer.py:17
book-registry-read,knowledge-management-service,knowledge-management-service/app/services/book_service.py,"get registry/book/structure",book-registry,book_registry,FILE_READ,READ,SYNC,bookId,JSON,NONE,NONE,NO,NOT_APPLICABLE,"404/null or HTTP 500 on parse/read failure",NO,"application logs",UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,knowledge-management-service/app/services/book_service.py:36
book-status-write,knowledge-management-service,knowledge-management-service/app/services/book_service.py,update_book_status,book-registry,book_registry,FILE_REWRITE,WRITE,SYNC,"bookId; status",boolean,NONE,NONE,NO,NO,"raises HTTP 500 on save error",NO,"application logs only",UNKNOWN,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,knowledge-management-service/app/services/book_service.py:143
ocr-upload-read,ocr-service,ocr-service/app/services/ocr_service.py,recognize,ocr-in-memory,uploaded_image,READ_AND_TRANSFORM,READ,ASYNC,UploadFile,"raw_text; structured_data",UNKNOWN,NONE,NO,NOT_APPLICABLE,"exceptions propagate to API handler",NO,"length logged; content filtering unknown",UNKNOWN,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,CODE_CONFIRMED,ocr-service/app/services/ocr_service.py:232
clinical-vocabulary-read,clinical-parsing-service,clinical-parsing-service/app/utils/vocabulary_loader.py,loader,clinical-rule-files,normalization_files,FILE_READ,READ,SYNC,tracked_CSV_JSON,in_memory_maps,NONE,NONE,NO,NOT_APPLICABLE,"loader-specific fallback",YES,"application logs",NOT_APPLICABLE,"SAFETY_RULE; MEDICAL_KNOWLEDGE",INTERNAL_SENSITIVE,CODE_CONFIRMED,clinical-parsing-service/app/utils/vocabulary_loader.py
prometheus-scrape,Prometheus,monitoring/prometheus.yml,scrape_configs,prometheus-tsdb,service_metrics,HTTP_SCRAPE,WRITE,ASYNC,metrics_endpoints,TSDB_samples,NONE,NONE,NO,NOT_APPLICABLE,"target unavailable produces scrape failure",YES,Prometheus_internal,UNKNOWN,INTERNAL,INTERNAL_SENSITIVE,CODE_CONFIRMED,monitoring/prometheus.yml:9
promtail-ingest,Promtail,monitoring/promtail-config.yml,scrape_configs,"service-log-files; loki-log-store",log_lines,TAIL_AND_PUSH,"READ;WRITE",ASYNC,log_files,Loki_streams,NONE,NONE,NO,offset_based,"client retry behavior image-dependent",YES,promtail_positions,UNKNOWN,"AUDIT_TRACE; UNKNOWN",UNKNOWN,CODE_CONFIRMED,monitoring/promtail-config.yml:10
frontend-token-read,frontend,frontend/src/utils/apiClient.ts,"request interceptor lines 15-22",frontend-token-storage,bearer_token,READ,READ,SYNC,localStorage_token,Authorization_header,UNKNOWN,NONE,UNKNOWN,NOT_APPLICABLE,"request proceeds without token when absent",YES,NONE,UNKNOWN,AUTHENTICATION,CREDENTIAL,CODE_CONFIRMED,frontend/src/utils/apiClient.ts:18
patient-result-read,frontend,frontend/src/services/diagnosisApi.ts,getResult,relational-clinical,CDP_and_diagnosis_result,HTTP_READ,READ,SYNC,diagnosisId,"raw/converted/fallback result",diagnosisId,NONE,NO,NOT_APPLICABLE,"logs raw response and may return fallback/raw data",YES,"browser logs may contain data",UNKNOWN,"CLINICAL_INFERENCE; PATIENT_PROVIDED",PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a3/frontend-api-contract-inventory.csv
admin-trace-read,frontend-admin,frontend-admin/src/services/traceApi.ts,"trace REST and STOMP",relational-trace,ExecutionTrace,HTTP_AND_STREAM_READ,READ,ASYNC,cdpId,"trace rows/events/summaries",cdpId,NONE,NO,NOT_APPLICABLE,"missing payload becomes empty/default",YES,NONE,NONE_IN_CLIENT,AUDIT_TRACE,PHI,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a3/frontend-api-contract-inventory.csv
admin-knowledge-write,frontend-admin,frontend-admin/src/services/knowledgeApi.ts,"setupSchema and book status",neo4j-knowledge-graph,Neo4j_schema,HTTP_WRITE,WRITE,SYNC,NONE,result,NONE,NONE,NO,PARTIAL,"errors returned or defaulted",CONDITIONAL,NONE,NONE_IN_CLIENT,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a3/frontend-api-contract-inventory.csv
