asset_id,store_id,data_class,sensitivity,source,owner,created_at,updated_at,versioning,ttl_or_retention,delete,withdrawal,anonymization,export,backup,restore,lineage,release_binding,known_gap,recommended_phase,evidence_level,evidence_reference
ocr-transient-data,ocr-in-memory,"PATIENT_PROVIDED; CLINICAL_OBSERVATION",PHI,uploaded_report,ocr-service,request_time,request_time,NONE,request_lifetime,request_end,UNKNOWN,UNKNOWN,response_only,NOT_APPLICABLE,NOT_APPLICABLE,"input bytes to raw text to structured_data",NONE,"Input validation, explicit zeroization and downstream retention are unknown",B_D_F,CODE_CONFIRMED,ocr-service/app/services/ocr_service.py:232
application-logs,service-log-files,"AUDIT_TRACE; UNKNOWN",UNKNOWN,"application and exception logging",service_owners,log_timestamp,append,NONE,"rotation: 10MB and five backups for common configuration",rotation_only,UNKNOWN,UNKNOWN,"Promtail to Loki",UNKNOWN,UNKNOWN,"service/file/function labels",NONE,"No PHI/secret redaction, access policy or assured retention",C_F,CODE_CONFIRMED,common/aidoctor_logger/logger.py:20
loki-data,loki-log-store,"AUDIT_TRACE; UNKNOWN",UNKNOWN,Promtail,operations,ingest_time,append,"schema v11",UNKNOWN,"compactor retention enabled but period absent",UNKNOWN,UNKNOWN,"Loki query",volume_only,UNKNOWN,"service labels",NONE,"auth disabled; effective retention and restore procedure unknown",F,CODE_CONFIRMED,monitoring/loki-config.yml:1
prometheus-data,prometheus-tsdb,INTERNAL,INTERNAL_SENSITIVE,"service metrics scrapes",operations,sample_time,append,TSDB,30_days,automatic_expiry,NOT_APPLICABLE,NOT_APPLICABLE,"Prometheus query",volume_only,UNKNOWN,"job/service/environment labels",NONE,"No runtime sample or backup/restore verification",F,CODE_CONFIRMED,monitoring/docker-compose.yml:4
knowledge-source-corpus,knowledge-source-files,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,"external/publication files and historical repository assets",UNKNOWN,UNKNOWN,UNKNOWN,"file/version names vary",UNKNOWN,"Git deletion only",UNKNOWN,UNKNOWN,"Git checkout",Git_history,Git_clone,"paths and filenames only; manifests incomplete",NONE,"Owner, license, checksum manifest, publication release, withdrawal and runtime binding incomplete",A6_5_D_F,CODE_CONFIRMED,docs/AI医生/知识内容提取/源数据
knowledge-derived-corpus,knowledge-derived-files,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,"offline extraction and translation scripts",UNKNOWN,UNKNOWN,UNKNOWN,"filenames and translation caches",UNKNOWN,"Git deletion only",UNKNOWN,UNKNOWN,"Git checkout and book APIs",Git_history,Git_clone,"partial source paths and script conventions",NONE,"Group presence is CODE_CONFIRMED only; exact DATA_VERIFIED files are listed in the manifest; no complete source checksum, tool/prompt/model version, reviewer or release manifest",A6_5_D_F,CODE_CONFIRMED,"docs/AI医生/知识内容提取/提取结果; docs/refactoring/evidence/phase-a/a4/data-verified-asset-manifest.csv"
clinical-rule-assets,clinical-rule-files,"SAFETY_RULE; MEDICAL_KNOWLEDGE",INTERNAL_SENSITIVE,"tracked CSV/JSON/YAML",UNKNOWN,Git_history,Git_history,Git_commit,UNKNOWN,"Git deletion only",UNKNOWN,UNKNOWN,"Git checkout",Git_history,Git_clone,"service path and Git history",NONE,"Group presence is CODE_CONFIRMED only; exact DATA_VERIFIED files are listed in the manifest; clinical owner, provenance, population, effective dates, withdrawal and approved release unknown",A6_A6_5_F,CODE_CONFIRMED,"clinical-parsing-service/data/vocabularies; docs/refactoring/evidence/phase-a/a4/data-verified-asset-manifest.csv"
book-registry-state,book-registry,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,"tracked book registry",UNKNOWN,UNKNOWN,"direct rewrite",NONE,UNKNOWN,"Git revert/manual rewrite",UNKNOWN,UNKNOWN,"admin API read",Git_history,Git_clone,"bookId only",NONE,"Runtime status mutation rewrites tracked file without expected version, audit or release binding",A5_A6_5_F,CODE_CONFIRMED,knowledge-management-service/app/services/book_service.py:143
drknows-research-data,drknows-research-files,MEDICAL_KNOWLEDGE,INTERNAL_SENSITIVE,"UMLS-derived relation file and research scripts",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Git deletion only",UNKNOWN,UNKNOWN,"research scripts",Git_history,Git_clone,"research filenames",NONE,"Group presence is CODE_CONFIRMED only; the exact relation CSV is DATA_VERIFIED in the manifest; incomplete header, environment/checkpoints/provenance/license and production linkage remain unverified",A6_5_D,CODE_CONFIRMED,"DRKnows-main; docs/refactoring/evidence/phase-a/a4/data-verified-asset-manifest.csv"
frontend-token,frontend-token-storage,AUTHENTICATION,CREDENTIAL,authentication_candidate,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"browser/user removal only",UNKNOWN,UNKNOWN,"sent in Authorization header",NOT_APPLICABLE,NOT_APPLICABLE,"browser origin",NONE,"Expiry, rotation, logout deletion and server enforcement unverified; localStorage is script-readable",B_F,CODE_CONFIRMED,frontend/src/utils/apiClient.ts:18
