runtime_target_id,phase,component,path,entrypoint,evidence_required,current_highest_evidence,historical_evidence,later_superseding_evidence,external_dependency,provider_required,clinical_required,phi_required,local_infra_required,execution_authority,status,blocking_for_nc_exit,notes
NC05-A2-RISK,A2,risk-assessment-service,risk-assessment-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 RUNTIME_VERIFIED stale,this batch import+ /health 200,none for /health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,current-Base retest
NC05-A2-EXPLANATION,A2,explanation-service,explanation-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 pydantic/pip FAIL,this batch pip+import+ /health 200,legacy LLM unused for health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,historical pydantic conflict SUPERSEDED
NC05-A2-OCR,A2,ocr-service,ocr-service,app.main:app,import or current block,DEPENDENCIES_INSTALLABLE,A2 OpenCV/NumPy ABI FAIL,this batch same numpy 2.2.6 vs opencv 4.8.1.78,Tesseract not reached,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_FAIL,no,FAILED_CURRENTLY_RELEVANT; no pin change
NC05-A2-KNOWLEDGE,A2,knowledge-management-service,knowledge-management-service,app.main:app,import or current block,RUNTIME_VERIFIED_LOCAL,A2 RUNTIME_VERIFIED stale,this batch import+ /health 200,Neo4j unused for health,false,false,false,false,PREEXISTING_A2_AUTHORITY,ACCOUNTED_PASS,no,current-Base retest
NC05-A3-FRONTEND,A3,frontend,frontend,npm run build,build accounting,CI_VERIFIED,A3 tsc/build BLOCKED,PR46; CI 32007012548,none,false,false,false,false,NC_CLOSE_05_ACCOUNTING_ONLY,ACCOUNTED_PASS,no,not browser runtime
NC05-A3-ADMIN,A3,frontend-admin,frontend-admin,npm run build,build accounting,CI_VERIFIED,A3 tsc/build BLOCKED,PR46; CI 32007012548,none,false,false,false,false,NC_CLOSE_05_ACCOUNTING_ONLY,ACCOUNTED_PASS,no,not browser runtime
NC05-A3-COMPOSE-ROOT,A3,docker-compose,docker-compose.yml,docker compose config,config render,CONFIG_VERIFIED,A3 config PASS,this batch config --quiet exit 0,none,false,false,false,false,PREEXISTING_A3_AUTHORITY,ACCOUNTED_PASS,no,obsolete version warning only
NC05-A3-COMPOSE-MON,A3,monitoring-compose,monitoring/docker-compose.yml,docker compose config,config render,CONFIG_VERIFIED,A3 config PASS,this batch config --quiet exit 0,none,false,false,false,false,PREEXISTING_A3_AUTHORITY,ACCOUNTED_PASS,no,obsolete version warning only
NC05-A3-DOCKER-IMAGE,A3,docker-images,docker-compose.yml,image build,not required,UNKNOWN,A3 image build FAIL,none,registry,false,false,false,false,PREEXISTING_A3_AUTHORITY,NOT_REQUIRED_FOR_FREEZE,no,historical FAIL preserved; not retested
NC05-A3-COMPOSE-FULL,A3,full-compose,docker-compose.yml,compose up,not required,BLOCKED,A3 safety omit,none,DB/credentials/missing milvus,false,false,false,true,PREEXISTING_A3_AUTHORITY,NOT_REQUIRED_FOR_FREEZE,no,A3 safety BLOCKED remains CURRENT_VALID
NC05-A3-BROWSER,A3,frontend-runtime,frontend,browser/E2E,not required,UNKNOWN,A3 Vite-only RUNTIME,none,backend,false,false,false,false,PREEXISTING_A3_AUTHORITY,NOT_REQUIRED_FOR_FREEZE,no,no browser or full-stack claim
