asset_id,path,asset_type,capability_id,version,parse_status,schema_status,review_status,runtime_eligibility,owner_role,evidence_level,evidence_reference
scope-asset,capabilities/adult_respiratory_v1/population/scope.yaml,population,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-policy-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
discriminators-asset,capabilities/adult_respiratory_v1/questions/discriminators.yaml,questions,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-question-policy-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
mandatory-asset,capabilities/adult_respiratory_v1/questions/mandatory.yaml,questions,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-question-policy-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
stopping-rules-asset,capabilities/adult_respiratory_v1/questions/stopping_rules.yaml,questions,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-question-policy-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
context-policy-asset,capabilities/adult_respiratory_v1/runtime/context_policy.yaml,runtime,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,context-policy-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
model-routes-asset,capabilities/adult_respiratory_v1/runtime/model_routes.yaml,runtime,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,model-governance-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
prompt-allowlist-asset,capabilities/adult_respiratory_v1/runtime/prompt_allowlist.yaml,runtime,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,prompt-governance-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
skill-allowlist-asset,capabilities/adult_respiratory_v1/runtime/skill_allowlist.yaml,runtime,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,skill-governance-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
tool-allowlist-asset,capabilities/adult_respiratory_v1/runtime/tool_allowlist.yaml,runtime,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,NOT_IMPLEMENTED,tool-governance-owner,CODE_CONFIRMED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
red-flags-asset,capabilities/adult_respiratory_v1/safety/red_flags.yaml,safety,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-safety-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
special-populations-asset,capabilities/adult_respiratory_v1/safety/special_populations.yaml,safety,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-safety-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
triage-rules-asset,capabilities/adult_respiratory_v1/safety/triage_rules.yaml,safety,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-safety-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
code-mappings-asset,capabilities/adult_respiratory_v1/terminology/code_mappings.yaml,terminology,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-terminology-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
concepts-asset,capabilities/adult_respiratory_v1/terminology/concepts.yaml,terminology,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-terminology-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
synonyms-asset,capabilities/adult_respiratory_v1/terminology/synonyms.yaml,terminology,adult_respiratory_v1,1.0.0,PASS,PASS,REQUIRES_CLINICAL_REVIEW,BLOCKED,clinical-terminology-owner,BLOCKED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-capability-manifest,capabilities/schemas/capability-manifest.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-population-scope,capabilities/schemas/population-scope.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-terminology-pack,capabilities/schemas/terminology-pack.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-observation-profile,capabilities/schemas/observation-profile.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-safety-pack,capabilities/schemas/safety-pack.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-question-policy,capabilities/schemas/question-policy.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-hypothesis-pack,capabilities/schemas/hypothesis-pack.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-knowledge-policy,capabilities/schemas/knowledge-policy.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-runtime-allowlist,capabilities/schemas/runtime-allowlist.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-delivery-policy,capabilities/schemas/delivery-policy.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
schema-eval-case,capabilities/schemas/eval-case.schema.json,schema,adult_respiratory_v1,1.0.0,PASS,PASS,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
validator-validate-capability,capabilities/validator/validate_capability.py,validator,adult_respiratory_v1,1.0.0,PASS,N/A,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
tests-test-capability,capabilities/tests/test_capability.py,test,adult_respiratory_v1,1.0.0,PASS,N/A,PENDING,NOT_IMPLEMENTED,platform-validator-owner,TEST_VERIFIED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
package-readme,capabilities/adult_respiratory_v1/README.md,documentation,adult_respiratory_v1,1.0.0,PASS,N/A,PENDING,NOT_IMPLEMENTED,platform-docs-owner,DOCUMENTED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
capabilities-readme,capabilities/README.md,documentation,adult_respiratory_v1,1.0.0,PASS,N/A,PENDING,NOT_IMPLEMENTED,platform-docs-owner,DOCUMENTED,docs/refactoring/evidence/phase-a/a6/capability-package-skeleton-report.md
