surface_id,surface,current_owner,current_state,current_evidence,target_owner,target_state,disposition,replacement_or_wrapper,contract_or_boundary,phase,authorization_state,completion_gate,decommission_prerequisite,rollback_dependency,nc_exit_impact,a11_impact,notes
SUR-MEDICAL-RAG,Medical Evidence RAG,ABSENT as adopted runtime,DESIGNED_NOT_IMPLEMENTED,ADR-06; EvidencePack contracts,Medical Evidence RAG + KnowledgeRelease owner,TARGET_BOUNDARY,DEFER,deferred-with-gate; citation required,ADR-06 / EvidencePack / KnowledgeReleaseRef,later retrieval auth,NOT_AUTHORIZED,mapping only,none,none,DEFERRED_BY_VALID_ADR,A11 retrieval / knowledge gates,VECTOR_HIT != approved evidence
SUR-VECTOR,vector retrieval,ABSENT runtime; MILVUS_HOST CONFIG_ONLY; FAISS experimental only,DEFERRED_BACKEND,ADR-06; NC-CLOSE-05 no pymilvus,future vector adapter,DEFERRED_BACKEND,DEFER,deferred-with-gate; no vendor selected,ADR-06,later infra ADR,NOT_AUTHORIZED,technical bake-off evidence later,none,disable without inventing evidence,DEFERRED_BY_VALID_ADR,not NC Exit blocker,Do not select pgvector or Milvus here
SUR-BM25,BM25 lexical retrieval,ABSENT runtime,DEFERRED_BACKEND,ADR-07,optional lexical adapter,DEFERRED_BACKEND,DEFER,optional; never citation replacement,ADR-07,later retrieval auth,NOT_AUTHORIZED,default unused,none,switch-off to DEGRADED_VECTOR_ONLY or UNAVAILABLE,DEFERRED_BY_VALID_ADR,not NC Exit blocker,Optional hybrid support only
SUR-NEO4J,Neo4j knowledge graph,diagnosis-engine and knowledge-management clients; Compose neo4j:5,CURRENT_LEGACY / production occupancy UNKNOWN,ADR-08 CODE_CONFIRMED clients; CURRENT_STRUCTURAL_CLINICAL_AUTHORITY_RISK,graph adapter default-off production,DEFERRED_BACKEND,EVALUATE,evaluated-not-enabled for production; retain local/experimental,ADR-08 NEO4J_IS_NOT_CLINICAL_GUIDELINE_AUTHORITY,later enable gate,production enable NOT_AUTHORIZED,technical enable gate + separate clinical governance,do not delete clients in 06,default-off target,DEFERRED_BY_VALID_ADR,A11 graph gate later,Empty graph != MEDICAL_NEGATIVE_RESULT; no repair in 06
SUR-FRONTEND,frontend,frontend package,CI_VERIFIED build,NC-CLOSE-03 / NC-CLOSE-05 A3,frontend remains presentation,KEEP build baseline,KEEP,no runtime type migration to v1 yet,NC-CLOSE-02 parallel models,Phase A,no browser E2E authorized,A11 frontend gate later,none,none,CLOSED_WITH_DURABLE_DEBT,UNKNOWN_REQUIRES_A11_REVIEW for full-stack,CI build != E2E != clinical UI approval
SUR-FRONTEND-ADMIN,frontend-admin,frontend-admin ExecutionTrace consumers,CI_VERIFIED build; CODE_CONFIRMED static trace consumers,NC-CLOSE-04 admin consumers; NC-CLOSE-05 A3,admin remains trace UI predecessor,ADAPT later to four-class model,ADAPT,do not treat ExecutionTrace as CDR or audit,ADR-12,Phase A,no frontend rewrite authorized,A11 observability UI later,none,retain current consumers until replacement,NON_BLOCKING_DEBT,UNKNOWN_REQUIRES_A11_REVIEW,No frontend rewrite in 06
SUR-DOCKER,Docker / local infra,docker-compose.yml mysql redis neo4j nacos; MILVUS_HOST without milvus service,CONFIG_VERIFIED,NC-CLOSE-05 A3 compose config,local infra remains support,KEEP config evidence,KEEP,no image rebuild required for Freeze accounting,Compose is not production proof,Phase A,full Compose / image build NOT_REQUIRED_FOR_FREEZE,mapping only,none,none,NON_BLOCKING_DEBT,UNKNOWN_REQUIRES_A11_REVIEW,NOT_REQUIRED_FOR_FREEZE for image rebuild
SUR-AUDIT,Audit / ComplianceAudit,AuditTrail mixed predecessor,CURRENT_LEGACY,ADR-12 CODE_CONFIRMED mixed tool_call cdp_update agent_decision,independent ComplianceAudit,SPLIT,SPLIT,AuditTrail is not SoR and not Technical Span,ADR-12 / AuditRef,later implementation,NOT_AUTHORIZED,mapping only,none,retain AuditTrail,NON_BLOCKING_DEBT,A11 audit gate later,Logs are not audit authority
SUR-DELIVERY,delivery surfaces,PatientDeliveryView contract only; no proven delivery runtime,DESIGNED_NOT_IMPLEMENTED,NC-CLOSE-02 schema,delivery owner with visibility constraints,TARGET_BOUNDARY,DEFER,deferred-with-gate,PatientDeliveryView,later implementation,NOT_AUTHORIZED,mapping only,none,none,NON_BLOCKING_DEBT,A11 delivery later,No silent patient reveal
SUR-LEGACY-CLINICAL,Legacy clinical assets,A6.5 legacy governance,LEGACY_GOVERNANCE_CLOSED / WILL_NOT_BE_MIGRATED,A6.5 Exit record dated 2026-08-14; PR #41 Exit closure,none / archived governance,ARCHIVED / NON_ADOPTED,ARCHIVE,none; future clinical work is NEW clinical governance not migration of these assets,A6.5 WILL_NOT_BE_MIGRATED,Phase A legacy closure,migration/deletion NOT_AUTHORIZED,A6.5 LEGACY_GOVERNANCE_CLOSED,do not reopen B04 C02,none,CLOSED,rejected legacy assets do not satisfy FB-11,legacy assets WILL_NOT_BE_MIGRATED; future clinical content is separate new-clinical work
SUR-NEW-CLINICAL,A7-CL adult_respiratory_v1 clinical content Safety Pack prompts rules thresholds hypotheses gold,A7-CL / new-clinical governance,BLOCKED_CLINICAL / NOT_AUTHORIZED,A7-CL BLOCKED; FB-11 unsatisfied; capability DRAFT PARTIALLY_VALIDATED,new-clinical governance / A7-CL / later clinical owners,BLOCKED_CLINICAL,EVALUATE,new clinical governance; NOT legacy migration,clinical-block placeholders; FB-11,A7-CL / later clinical governance / Phase B where applicable,NOT_AUTHORIZED,outside NC Closure implementation; requires separately authorized clinical governance,none,none,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,BLOCKING_FOR_A11_NOT_NC_EXIT,new clinical work is blocked not archived; do not treat as ARCHIVE or NON-ADOPTED
SUR-PRIMARY-DB,Primary application DB / JPA,Java JPA CDP path; vendor UNKNOWN,CURRENT_IMPLEMENTED transitional; vendor deferred,ADR-01,retain JPA path; vendor deferred,DEFER,DEFER,deferred-with-gate; Compose MySQL != PRODUCTION_VERIFIED,ADR-01 / ADR-02,Phase A,vendor selection NOT_AUTHORIZED,Architecture Review if production primary changes,none,current path remains,DEFERRED_BY_VALID_ADR,not NC Exit blocker,PHYSICAL_COLOCATION_PRESENT_OR_POSSIBLE; logical authority separated
SUR-CHECKPOINT,Checkpoint / resume,no dedicated checkpointer; AgentState may co-locate,CURRENT_LEGACY / ABSENT dedicated store,ADR-02,Python Runtime checkpoint adapter,SPLIT,SPLIT,checkpoint != SoR,ADR-02 / ADR-04 / ADR-05,later implementation,NOT_AUTHORIZED,mapping only,none,do not use checkpoint as SoR,NON_BLOCKING_DEBT,A11 durable execution later,PHYSICAL_COLOCATION possible
SUR-SECRET,Secret Manager,ABSENT concrete backend,DEFERRED_BACKEND,ADR-09,secret-access abstraction,DEFER,DEFER,deferred-with-gate; no real credentials,ADR-09,later infra,NOT_AUTHORIZED,mapping only,none,none,DEFERRED_BY_VALID_ADR,not NC Exit blocker,Do not authorize provider credentials
SUR-OTEL-BACKEND,OTel collector / backend,ABSENT; AOP current,DEFERRED_BACKEND,ADR-10 ADR-11,OTel layers 1-6; backend deferred,DEFER,DEFER,AOP-OTel bridge required before legacy removal,ADR-10 / ADR-11,later infra,NOT_AUTHORIZED,mapping only,do not remove AOP first,legacy trace fallback,DEFERRED_BY_VALID_ADR,A11 observability later,Six-layer split remains
SUR-TECH-SPAN,Technical Span,ExecutionTrace predecessor,CURRENT_LEGACY,ADR-12 / NC-CLOSE-04,OTel Technical Span,ADAPT,ADAPT,never clinical or audit SoR,ADR-12 / TraceRef,later implementation,NOT_AUTHORIZED,mapping only,none,retain ExecutionTrace,NON_BLOCKING_DEBT,A11 trace later,Sampled telemetry != medical record
SUR-AGENT-EVENT,AgentEvent,designed not implemented; AuditTrail mixed,DESIGNED_NOT_IMPLEMENTED,ADR-12,independent AgentEvent store,REWRITE,REWRITE,not Technical Span,ADR-12,later implementation,NOT_AUTHORIZED,mapping only,none,none,NON_BLOCKING_DEBT,A11 workflow evidence later,Do not collapse event model
SUR-CDR,ClinicalDecisionRecord,designed not implemented,DESIGNED_NOT_IMPLEMENTED,ADR-12,CDR via State Committer boundary,REWRITE,REWRITE,SoR-adjacent not retrieval,ADR-12 / ADR-02,Phase B,NOT_AUTHORIZED,mapping only,none,none,PHASE_B_DEFERRED,BLOCKING_FOR_A11_NOT_NC_EXIT,Not a retrieval store
SUR-FUTURE-EXT,Future Extensions docs/refactoring/extensions,design documents only,REFERENCE_ONLY,extensions README and three design docs,future platform owners,REFERENCE_ONLY,DEFER,reference-only; not current requirements,Future Extension boundary,Future,NOT_AUTHORIZED,do not convert to current work,none,none,FUTURE_EXTENSION_REFERENCE_ONLY,not NC Exit,Device Connector Digital Pulse Tongue Wearable EHR Structured Medical Provider and analogous designs excluded
