gap_id,source_batch,surface,current_state,evidence,classification,blocking_for_nc_exit,blocking_for_a11,owner,required_action,authorization_needed,clinical_boundary,provider_boundary,phi_boundary,future_extension_boundary,disposition,notes
GAP-FROZEN,A11,Phase A Frozen Baseline,NOT_READY_BLOCKED_CLINICAL,amendment dual state,BLOCKING_FOR_A11_NOT_NC_EXIT,false,BLOCKING_FOR_A11_NOT_NC_EXIT,A11 Freeze Review,do not claim Frozen from NC06,false,true,false,false,false,BLOCKING_FOR_A11_NOT_NC_EXIT,PHASE_A_NC_CLOSURE_EXIT != PHASE_A_FROZEN_BASELINE
GAP-DB-VENDOR,NC-CLOSE-01B,production primary DB vendor,UNKNOWN / deferred,ADR-01,DEFERRED_BY_VALID_ADR,false,false,Platform / Data Architecture,Architecture Review before production replacement,false,false,false,false,false,DEFERRED_BY_VALID_ADR,Do not select Oracle MySQL PostgreSQL in 06
GAP-VECTOR,NC-CLOSE-01B,pgvector / Milvus / FAISS,ABSENT adopted runtime,ADR-06,DEFERRED_BY_VALID_ADR,false,false,Retrieval platform,technical bake-off later,false,false,false,false,false,DEFERRED_BY_VALID_ADR,No vendor selection; no embeddings
GAP-BM25,NC-CLOSE-01B,BM25 implementation,ABSENT,ADR-07,DEFERRED_BY_VALID_ADR,false,false,Retrieval platform,optional lexical adapter later,false,false,false,false,false,DEFERRED_BY_VALID_ADR,Never citation replacement
GAP-NEO4J-ENABLE,NC-CLOSE-01B,Neo4j production enablement,UNKNOWN occupancy; target default-off,ADR-08,DEFERRED_BY_VALID_ADR,false,false,Knowledge-graph platform / operations,explicit enable gate later,false,true if treated as guideline,false,false,false,DEFERRED_BY_VALID_ADR,NEO4J_IS_NOT_CLINICAL_GUIDELINE_AUTHORITY
GAP-NEO4J-STRUCT,NC-CLOSE-01B,Neo4j possibilities enter fusion,CURRENT_STRUCTURAL_CLINICAL_AUTHORITY_RISK,ADR-08; kg_engine diagnose into FusionEngine,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,knowledge-graph / diagnosis-engine,map only; no repair in 06,false,true if used as guideline,false,false,false,NON_BLOCKING_DEBT,TECHNICAL_GRAPH_UNAVAILABLE != MEDICAL_NEGATIVE_RESULT
GAP-SECRET,NC-CLOSE-01C,Secret Manager backend,deferred,ADR-09,DEFERRED_BY_VALID_ADR,false,false,platform secrets,later vendor decision,false,false,true if real credentials,false,false,DEFERRED_BY_VALID_ADR,No real provider credentials
GAP-OTEL-BACKEND,NC-CLOSE-01C,OTel collector / backend,deferred,ADR-10,DEFERRED_BY_VALID_ADR,false,UNKNOWN_REQUIRES_A11_REVIEW,observability platform,later backend selection,false,false,false,false,false,DEFERRED_BY_VALID_ADR,Do not install collector now
GAP-AOP-OTEL,NC-CLOSE-01C,AOP to OTel migration,bridge decided; not implemented,ADR-11,DEFERRED_BY_VALID_ADR,false,UNKNOWN_REQUIRES_A11_REVIEW,observability,implement bridge later; do not remove AOP first,false,false,false,false,false,DEFERRED_BY_VALID_ADR,Legacy observability fallback required
GAP-FUTURE-EXT,Future Extensions,docs/refactoring/extensions,REFERENCE_ONLY,extensions README,FUTURE_EXTENSION_REFERENCE_ONLY,false,false,future platform owners,keep reference-only,false,false,false,false,true,FUTURE_EXTENSION_REFERENCE_ONLY,Device Connector Digital Pulse Tongue Wearable EHR Structured Medical Provider Drug Regulatory Device Temporal Special Population Chronic Multimodal tcm_four_diagnosis_v1 excluded
GAP-PY-RUNTIME-IMPL,NC-CLOSE-01A,Python Runtime package implementation,NOT_IMPLEMENTED,ADR-04,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,Python Runtime owner,later implementation authorization,false,false,false,false,false,NON_BLOCKING_DEBT,Decision complete; implementation not an NC Exit blocker
GAP-CAPABILITY-LIFECYCLE,A6,adult_respiratory_v1 lifecycle,DRAFT PARTIALLY_VALIDATED REQUIRES_CLINICAL_REVIEW NOT_IMPLEMENTED Production BLOCKED,A6 evidence; A7-NC capability boundary,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,false,BLOCKING_FOR_A11_NOT_NC_EXIT,Capability / A7-CL,do not upgrade in NC06,false,true,false,false,false,CLINICAL_BLOCKED_OUTSIDE_NC_LANE,NC-CLOSE-06 cannot upgrade lifecycle
GAP-POINTER-DEBT,NC-CLOSE-01B / pointers,authoring-time PROPOSED_DECIDED_PENDING_REVIEW and old A8 wording,POST_MERGE_POINTER_DEBT / PREEXISTING_SUPERSEDED_ROADMAP_WORDING,PR50 authoring files; 可执行实施路线 A8 list,NON_BLOCKING_DEBT,false,false,NC-CLOSE-06 pointers,natural pointer refresh in README and roadmap only; do not rewrite ADR bodies,false,false,false,false,false,NON_BLOCKING_DEBT,Old A8 必须完成 means topics need disposition not concrete implementation
GAP-CONTRACT-RUNTIME,NC-CLOSE-02,legacy Feign FastAPI frontend types vs v1 bindings,parallel models,bindings README,NON_BLOCKING_DEBT,false,UNKNOWN_REQUIRES_A11_REVIEW,runtime consumers,do not migrate runtimes in 06,false,false,false,false,false,NON_BLOCKING_DEBT,BINDING_CREATED != JAVA_RUNTIME_MIGRATED
