access_id,asset_id,path,task_id,access_class,authorization_status,allowed_operation,forbidden_operation,executor_role,required_reviewer_role,raw_content_persistence,output_redaction,external_access,patient_data_risk,clinical_content_risk,status,evidence_reference,notes
A65B-ACCESS-TASK-B01-CLIN-020,CLIN-020,health-state-assessment-service/app/rules/red_flag_rules.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-020,
A65B-ACCESS-TASK-B01-CLIN-021,CLIN-021,health-state-assessment-service/app/rules/risk_screening_rules.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-021,
A65B-ACCESS-TASK-B01-CLIN-022,CLIN-022,health-state-assessment-service/app/rules/severity_rules.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-022,
A65B-ACCESS-TASK-B01-CLIN-023,CLIN-023,health-state-assessment-service/app/rules/work_mode_rules.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-023,
A65B-ACCESS-TASK-B01-CLIN-024,CLIN-024,health-state-assessment-service/app/rules/wellness_plan_rules.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-024,
A65B-ACCESS-TASK-B01-CLIN-025,CLIN-025,risk-assessment-service/app/services/triage_engine.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-025,
A65B-ACCESS-TASK-B01-CLIN-026,CLIN-026,risk-assessment-service/app/services/upgrade_rule_engine.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-026,
A65B-ACCESS-TASK-B01-CLIN-027,CLIN-027,dialog-service/app/identifiers/information_gap_identifier.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-027,
A65B-ACCESS-TASK-B01-CLIN-028,CLIN-028,dialog-service/app/core/nlg.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-028,
A65B-ACCESS-TASK-B01-CLIN-029,CLIN-029,diagnosis-engine-service/data/问题清单/结构化问题清单模板.yaml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-CLIN-029,
A65B-ACCESS-TASK-B01-DATA-K001,DATA-K001,docs/AI医生/知识内容提取/源数据/hp-zh.babelon.tsv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K001,
A65B-ACCESS-TASK-B01-DATA-K002,DATA-K002,docs/AI医生/知识内容提取/源数据/hp-zh.synonyms.tsv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K002,
A65B-ACCESS-TASK-B01-DATA-K003,DATA-K003,docs/AI医生/知识内容提取/源数据/ICPC-2e-v7.0/ICPC-2e-v7.0.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K003,
A65B-ACCESS-TASK-B01-DATA-K004,DATA-K004,docs/AI医生/知识内容提取/源数据/UMLS数据集和关系类型详细说明.md,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K004,
A65B-ACCESS-TASK-B01-DATA-K005,DATA-K005,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-drug-2026.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K005,
A65B-ACCESS-TASK-B01-DATA-K006,DATA-K006,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-eindex-2026.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K006,
A65B-ACCESS-TASK-B01-DATA-K007,DATA-K007,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-index-2026.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K007,
A65B-ACCESS-TASK-B01-DATA-K008,DATA-K008,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-neoplasm-2026.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K008,
A65B-ACCESS-TASK-B01-DATA-K009,DATA-K009,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-tabular-2026.xml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K009,
A65B-ACCESS-TASK-B01-DATA-K010,DATA-K010,docs/AI医生/知识内容提取/提取结果/hpo/hpo_chinese_mapping.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K010,
A65B-ACCESS-TASK-B01-DATA-K011,DATA-K011,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K011,
A65B-ACCESS-TASK-B01-DATA-K012,DATA-K012,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data.json,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K012,
A65B-ACCESS-TASK-B01-DATA-K013,DATA-K013,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data_with_chinese.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K013,
A65B-ACCESS-TASK-B01-DATA-K014,DATA-K014,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data_示例_前1000条.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K014,
A65B-ACCESS-TASK-B01-DATA-K015,DATA-K015,docs/AI医生/知识内容提取/提取结果/hpo/hpo_translation_template.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K015,
A65B-ACCESS-TASK-B01-DATA-K016,DATA-K016,docs/AI医生/知识内容提取/提取结果/hpo/translation_cache.json,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K016,
A65B-ACCESS-TASK-B01-DATA-K017,DATA-K017,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K017,
A65B-ACCESS-TASK-B01-DATA-K018,DATA-K018,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.json,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K018,
A65B-ACCESS-TASK-B01-DATA-K019,DATA-K019,docs/AI医生/知识内容提取/提取结果/icpc/translation_cache.json,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K019,
A65B-ACCESS-TASK-B01-DATA-K020,DATA-K020,docs/AI医生/知识内容提取/提取结果/归档/icd10/icd10cm_chinese_mapping.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-DATA-K020,
A65B-ACCESS-TASK-B01-PROMPT-001,PROMPT-001,common/aidoctor_llm/prompt_manager.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-001,
A65B-ACCESS-TASK-B01-PROMPT-002,PROMPT-002,diagnosis-engine-service/app/utils/prompt_templates.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-002,
A65B-ACCESS-TASK-B01-PROMPT-003,PROMPT-003,diagnosis-engine-service/app/config/prompt_templates/diagnosis_reasoning.jinja2,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-003,
A65B-ACCESS-TASK-B01-PROMPT-004,PROMPT-004,diagnosis-engine-service/app/config/prompt_templates/path_injection.jinja2,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-004,
A65B-ACCESS-TASK-B01-PROMPT-005,PROMPT-005,diagnosis-engine-service/app/config/prompt_templates/question_generation.jinja2,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-005,
A65B-ACCESS-TASK-B01-PROMPT-006,PROMPT-006,diagnosis-engine-service/app/config/prompt_templates/explanation_generation.jinja2,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-006,
A65B-ACCESS-TASK-B01-PROMPT-007,PROMPT-007,diagnosis-engine-service/app/config/prompt_templates/templates.yaml,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-007,
A65B-ACCESS-TASK-B01-PROMPT-008,PROMPT-008,health-state-assessment-service/app/services/nlu/prompt_manager.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-008,
A65B-ACCESS-TASK-B01-PROMPT-009,PROMPT-009,dialog-service/app/utils/prompt_manager.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-009,
A65B-ACCESS-TASK-B01-PROMPT-010,PROMPT-010,dialog-service/app/core/nlu.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-010,
A65B-ACCESS-TASK-B01-PROMPT-011,PROMPT-011,explanation-service/app/builders/explanation_generator.py,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-011,
A65B-ACCESS-TASK-B01-PROMPT-012,PROMPT-012,docs/refactoring/evidence/phase-a/a2/prompt-inventory.csv,TASK-B01,STRUCTURAL_PARSE_ALLOWED,AUTHORIZED,LOCAL_STRUCTURE_PARSE_AND_HASH_ONLY,PERSIST_RAW_CONTENT;IMPORT_EXECUTE_MODULE;EXTERNAL_ACCESS,architecture,architecture;evidence,no,COUNTS_HASHES_TYPES_ONLY,FORBIDDEN,NONE,STRUCTURE_ONLY,COMPLETED,A65B-B01-PROMPT-012,
