discovery_id,asset_id,path,risk_level_before,risk_level_after,path_status_before,path_status_after,risk_basis_before,risk_basis_after,phi_path_class,existence_method,reference_method,reference_paths,result,inventory_change,quarantine_status,evidence_reference,notes
DISC-016,DOC-016,docs/AI医生/项目文档/12.性能与评估/性能优化设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/12.性能与评估/复杂度分析.md;docs/AI医生/项目文档/12.性能与评估/评估验证体系.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-016,Path/metadata discovery only; no content inspection
DISC-017,DOC-017,docs/AI医生/项目文档/12.性能与评估/评估验证体系.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/12.性能与评估/复杂度分析.md;docs/AI医生/项目文档/12.性能与评估/性能优化设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-017,Path/metadata discovery only; no content inspection
DISC-018,DOC-018,docs/AI医生/项目文档/13.技术细节/AOP切面设计思路.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-018,Path/metadata discovery only; no content inspection
DISC-019,DOC-019,docs/AI医生/项目文档/13.技术细节/DR.KNOWS路径推理设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/2.架构设计/双通道推理架构.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,QUARANTINED_AT_PATH_LEVEL,a6-5-a-discovery-results.csv#DISC-019,Path/metadata discovery only; no content inspection
DISC-020,DOC-020,docs/AI医生/项目文档/13.技术细节/LangChain架构开发流程.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,common/aidoctor_llm/README.md;diagnosis-engine-service/README.md;diagnosis-engine-service/docs/diagnosis-engine-service - 已实现功能清单.md;diagnosis-engine-service/docs/diagnosis-engine-service - 服务实现方案.md;dialog-service/README.md;dialog-service/docs/dialog-service - 已实现功能清单.md;dialog-service/docs/dialog-service - 服务实现方案.md;docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv;explanation-service/docs/explanation-service - 已实现功能清单.md;explanation-service/docs/explanation-service - 服务实现方案.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-020,Path/metadata discovery only; no content inspection
DISC-021,DOC-021,docs/AI医生/项目文档/13.技术细节/路径注入LLM详细说明.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/13.技术细节/DR.KNOWS路径推理设计.md;docs/AI医生/项目文档/4.工具设计/工具技术实现.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-021,Path/metadata discovery only; no content inspection
DISC-022,DOC-022,docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/AgentLoop.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ClinicalAgentBrain.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/agent/ToolCaller.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolResult.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/agent_state/AgentStateManager.java;diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java;docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/AI医生系统 - 系统定位与核心理念.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-022,Path/metadata discovery only; no content inspection
DISC-023,DOC-023,docs/AI医生/项目文档/2.架构设计/双通道推理架构.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,clinical-parsing-service/docs/clinical-parsing-service - 服务实现方案.md;diagnosis-engine-service/docs/diagnosis-engine-service - 服务实现方案.md;diagnosis-service/docs/diagnosis-service - 服务实现方案.md;dialog-service/docs/dialog-service - 服务实现方案.md;docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md;docs/AI医生/项目文档/10.实现与部署/项目结构设计.md;docs/AI医生/项目文档/13.技术细节/LangChain架构开发流程.md;docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md;docs/AI医生/项目文档/2.架构设计/工具系统架构.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-023,Path/metadata discovery only; no content inspection
DISC-024,DOC-024,docs/AI医生/项目文档/2.架构设计/工具系统架构.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md;docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md;docs/AI医生/项目文档/2.架构设计/双通道推理架构.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/4.工具设计/工具技术实现.md;docs/AI医生/项目文档/4.工具设计/工具接口规范.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent技术实现.md;docs/AI医生/项目文档/5.主agent设计/主Agent运行循环设计.md;docs/AI医生/项目文档/7.接口规范/工具调用协议.md,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-024,Path/metadata discovery only; no content inspection
DISC-025,DOC-025,docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/AI医生系统 - 系统定位与核心理念.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md;docs/AI医生/项目文档/2.架构设计/双通道推理架构.md;docs/AI医生/项目文档/3.业务功能设计/入口判定流程设计.md;docs/AI医生/项目文档/3.业务功能设计/终点结论包设计.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent运行循环设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-025,Path/metadata discovery only; no content inspection
DISC-026,DOC-026,docs/AI医生/项目文档/3.业务功能设计/健康管理态流程设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/AI医生系统 - 系统定位与核心理念.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md;docs/AI医生/项目文档/2.架构设计/双通道推理架构.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/AI医生/项目文档/3.业务功能设计/入口判定流程设计.md;docs/AI医生/项目文档/3.业务功能设计/终点结论包设计.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-026,Path/metadata discovery only; no content inspection
DISC-027,DOC-027,docs/AI医生/项目文档/3.业务功能设计/入口判定流程设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/整体架构概述.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/1.系统概述/系统定位与核心理念.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/AI医生/项目文档/3.业务功能设计/健康管理态流程设计.md;docs/AI医生/项目文档/4.工具设计/工具技术实现.md;docs/AI医生/项目文档/8.前端设计/入口设计规范.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-027,Path/metadata discovery only; no content inspection
DISC-028,DOC-028,docs/AI医生/项目文档/3.业务功能设计/终点结论包设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-028,Path/metadata discovery only; no content inspection
DISC-029,DOC-029,docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/13.技术细节/DR.KNOWS路径推理设计.md;docs/AI医生/项目文档/2.架构设计/工具系统架构.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/AI医生/项目文档/3.业务功能设计/健康管理态流程设计.md;docs/AI医生/项目文档/3.业务功能设计/入口判定流程设计.md;docs/AI医生/项目文档/3.业务功能设计/终点结论包设计.md;docs/AI医生/项目文档/4.工具设计/工具技术实现.md;docs/AI医生/项目文档/4.工具设计/工具接口规范.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-029,Path/metadata discovery only; no content inspection
DISC-030,DOC-030,docs/AI医生/项目文档/4.工具设计/工具技术实现.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/13.技术细节/DR.KNOWS路径推理设计.md;docs/AI医生/项目文档/2.架构设计/双通道推理架构.md;docs/AI医生/项目文档/2.架构设计/工具系统架构.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/4.工具设计/工具接口规范.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-030,Path/metadata discovery only; no content inspection
DISC-031,DOC-031,docs/AI医生/项目文档/4.工具设计/工具接口规范.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/1.系统概述/核心概念与术语.md;docs/AI医生/项目文档/2.架构设计/工具系统架构.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/4.工具设计/工具技术实现.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/AI医生/项目文档/6.数据模型设计/CDP数据结构设计.md;docs/AI医生/项目文档/7.接口规范/工具调用协议.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-031,Path/metadata discovery only; no content inspection
DISC-032,DOC-032,docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md;docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md;docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent技术实现.md;docs/AI医生/项目文档/5.主agent设计/主Agent运行循环设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-032,Path/metadata discovery only; no content inspection
DISC-033,DOC-033,docs/AI医生/项目文档/5.主agent设计/主Agent技术实现.md,P1,P1,TRACKED_FILE,TRACKED_FILE,ARCHITECTURE_GOVERNANCE_BLOCKER,ARCHITECTURE_GOVERNANCE_BLOCKER,,git_cat-file_-e+git_ls_files,git_grep_-l_filename_only,docs/AI医生/项目文档/0.文档索引/全局文档索引.md;docs/AI医生/项目文档/0.文档索引/按场景索引.md;docs/AI医生/项目文档/0.文档索引/按角色索引.md;docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md;docs/AI医生/项目文档/5.主agent设计/主Agent运行循环设计.md;docs/refactoring/plans/phase-a/a6-5/a6-5-legacy-asset-inventory.csv,VALIDATED_FOR_DISCOVERY,NONE,,a6-5-a-discovery-results.csv#DISC-033,Path/metadata discovery only; no content inspection
