evidence_id,execution_id,asset_id,path,task_id,format,parser,encoding,parse_status,top_level_type,structural_counts,schema_hash,content_hash,record_count,raw_identifier_output,string_literal_output,content_excerpt_emitted,external_dependency_required,failure_class,quarantine_action,reviewer_role,notes
A65B-B01-CLIN-020,A65B-CORE-20260806-28947DF,CLIN-020,health-state-assessment-service/app/rules/red_flag_rules.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=2;ast_nodes=91;classes=0;functions=1;imports=0;top_level_symbol_count=1;top_level_symbol_hashes=d2be0f9499f71eef,9cf1e47dd4c52e13ede017bab57a4e14f17c1b28e1d27fb505191ef24f601599,74e499311039e51403f991d6426ac8134fa3f8d4a7a12cc33d70ba6abb06322b,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-021,A65B-CORE-20260806-28947DF,CLIN-021,health-state-assessment-service/app/rules/risk_screening_rules.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=1;ast_nodes=39;classes=0;functions=1;imports=0;top_level_symbol_count=1;top_level_symbol_hashes=863e92e33212d6c4,ec55e13874bd1d6873eb4ac1db85a5af9a89f5066ba59ac76cae617bf8d70aa1,c52df4ff83fc16d805f7d5581938a03b1ee4fa75da51982bbcd3c01063bdcd65,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-022,A65B-CORE-20260806-28947DF,CLIN-022,health-state-assessment-service/app/rules/severity_rules.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=1;ast_nodes=66;classes=0;functions=1;imports=0;top_level_symbol_count=1;top_level_symbol_hashes=f957196d07dad865,2420f406c7bed37dc530f7660d6d6d76ce2e444c3f96cabe814ff20f83a1ff5d,6c8297c56b06b673cc02a905631c2acd5cff509e106aba5dfce250088812ae1d,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-023,A65B-CORE-20260806-28947DF,CLIN-023,health-state-assessment-service/app/rules/work_mode_rules.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,"assignments=7;ast_nodes=286;classes=1;functions=1;imports=3;top_level_symbol_count=2;top_level_symbol_hashes=454a423f61d247bb,fd7a3ec33558e179",7dba0f6d331d9f48b0606a62ea62903ba07edb86ece86781dcb2d1d4665923a8,4f41450639dfc9f6d53168b821ed8f97b3e0ee51eed07ac366c3b24bcf9a77c4,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-024,A65B-CORE-20260806-28947DF,CLIN-024,health-state-assessment-service/app/rules/wellness_plan_rules.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=1;ast_nodes=45;classes=0;functions=1;imports=0;top_level_symbol_count=1;top_level_symbol_hashes=40b2fe7d7dff6faf,8bf339b12585fe01b25e5098da74df6ac36d74399f90a31e96ec1ddd6c6ef198,18f70626fb67498dafadcd70b882b583f98329f1027ad741a9c80376eb758267,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-025,A65B-CORE-20260806-28947DF,CLIN-025,risk-assessment-service/app/services/triage_engine.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=17;ast_nodes=419;classes=1;functions=4;imports=3;top_level_symbol_count=1;top_level_symbol_hashes=488ebf28207a9382,66a5137bfa008c0f6dce213f9ed1976219b9c22c40d153b2a7c0950222ef1a3f,895a60974b38d25f07d7bad357a0ebb0db2bc5d2b91a6224b96ff5d6712bca9f,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-026,A65B-CORE-20260806-28947DF,CLIN-026,risk-assessment-service/app/services/upgrade_rule_engine.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=4;ast_nodes=225;classes=1;functions=3;imports=2;top_level_symbol_count=1;top_level_symbol_hashes=6080ae2deb1be2a6,c98f32afd57c296855cfd66c56639c30e5da48a5bd1b1b7e21dec35f22dd3452,c32ba150b9c7c943c893656e948d091320900f42c79f9ed57ecd6df8f0e2de61,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-027,A65B-CORE-20260806-28947DF,CLIN-027,dialog-service/app/identifiers/information_gap_identifier.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=38;ast_nodes=926;classes=1;functions=7;imports=2;top_level_symbol_count=1;top_level_symbol_hashes=bcc136d2764210b0,dc2d476edc0d2c9b623fba0dfa1972892d661195b74be7dc2ed1dc4f4d93d63a,34bb28e585c4717c39ec49f8361ce0f386a5b81ef327726b80f6ef3b766ba73a,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-028,A65B-CORE-20260806-28947DF,CLIN-028,dialog-service/app/core/nlg.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=19;ast_nodes=529;classes=1;functions=5;imports=4;top_level_symbol_count=1;top_level_symbol_hashes=646463fdf6c96447,a128d8e36bd02f4c559c171ac5f196fc827839187a6cd3de574976f5ccba24a0,2fbea1252835d06759c932d6914bc3c835ebe5407181873d50664733a394e72a,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-CLIN-029,A65B-CORE-20260806-28947DF,CLIN-029,diagnosis-engine-service/data/问题清单/结构化问题清单模板.yaml,TASK-B01,YAML,yaml.safe_load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=601;nesting_depth=8;parser=yaml.safe_load;value_type_distribution=bool:3,dict:109,float:2,int:29,list:66,other:1,str:607",822c7c3b263115c872253aebd549949efaa534a5fdfeeca9084251573629975d,628c9eea35f04fdb36f0ea9fa55da644cca4aa133aeda0235fad463107f174af,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K001,A65B-CORE-20260806-28947DF,DATA-K001,docs/AI医生/知识内容提取/源数据/hp-zh.babelon.tsv,TASK-B01,TSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=7;delimiter_class=tab;record_count=18988,7f677e27b2a4b6283447d6d6828eef82c08da156ffde397f8bd03879897bc199,6a110b9d1ba39845f6883cd07b2b113f429f08d6425e62d506b669cafdcd6e40,18988,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K002,A65B-CORE-20260806-28947DF,DATA-K002,docs/AI医生/知识内容提取/源数据/hp-zh.synonyms.tsv,TASK-B01,TSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=3;delimiter_class=tab;record_count=1,9660535e9f27d571ba8e86bd3dff01c39be1e33219af64219d778f63a90b1e2a,f168196176aa3a067815a863413cb78bbbb147902dea457a141d46935b764fbe,1,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K003,A65B-CORE-20260806-28947DF,DATA-K003,docs/AI医生/知识内容提取/源数据/ICPC-2e-v7.0/ICPC-2e-v7.0.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=14448;element_count=11314;element_name_hash_count=17;element_name_hashes=0e66373f45dc,2c00c9aaa72c,34e108c0896d,4f3a9bd00397,4f749de7c24f,58b04de401c2,6250cbbe34cb,71bf90935fc2,7e8cd2056da7,820ed0d6f025,9b10587f84a2,a8512a7e3174,d95082a2ee57,dbaf155d32a4,eed026bb90e0,f13a78500989,f15721f7eabf",bccbd6b9e307b9370592cb8297619217b24a3d1e933179960db4ba9c3c6f5bb6,5418b1a4fbee7c1db23f1830e8273ae301cbda481428305883a578825200b3c3,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K004,A65B-CORE-20260806-28947DF,DATA-K004,docs/AI医生/知识内容提取/源数据/UMLS数据集和关系类型详细说明.md,TASK-B01,MD,structure_scan,utf-8,PARSED_STRUCTURALLY,text,heading_count=45;line_count=332;link_count=0,b7f0d1eaaa6c7a6cab8a6a422b4c82f118f0f0e7996217e8293a7337e39fcb93,49d791e6a34ed6809e24d67922ec62ab88a95d12fcf916a3cf0bd6f72a4696d7,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K005,A65B-CORE-20260806-28947DF,DATA-K005,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-drug-2026.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=45482;element_count=59057;element_name_hash_count=12;element_name_hashes=39d02b42938b,599f7703547e,5ca4f3850ccc,5f661d6d6bc0,6d998b9a06cd,78bb7e0dcf30,78fe16036cd1,9f2e6d33a371,aa9e9b5c907d,aaf232064610,f80105efab6d,fa170119c3fe",0489cf9b61625508d6e9a5a5fa524034d20be3897ac9e5930c1ccc612dc77efd,c2d34259339f4ec27aa4822316716091568d8f477bc34ccae4946321ebce6524,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K006,A65B-CORE-20260806-28947DF,DATA-K006,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-eindex-2026.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=7776;element_count=25377;element_name_hash_count=12;element_name_hashes=5694d08a2e53,599f7703547e,5ca4f3850ccc,5f661d6d6bc0,6d998b9a06cd,78fe16036cd1,aa9e9b5c907d,aaf232064610,be094325911f,d2a9f9125a61,f80105efab6d,fa170119c3fe",f471d12e3def9714b8d97ef6f95ba5c92a0264e910d910305c30c8a7f057753f,91555639910deb29c341e538f7b6fd55f9fd39480a6d1656247badb0b9336504,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K007,A65B-CORE-20260806-28947DF,DATA-K007,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-index-2026.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=73388;element_count=253979;element_name_hash_count=13;element_name_hashes=1fafac5d867a,5694d08a2e53,599f7703547e,5ca4f3850ccc,5f661d6d6bc0,6d998b9a06cd,78fe16036cd1,aa9e9b5c907d,aaf232064610,be094325911f,d2a9f9125a61,f80105efab6d,fa170119c3fe",6a6bdfbe6d996c4cdb639efa68f781f611f2c72d107268a2c279f5508ea90265,9ac7762acf8abc6baf18497a6b85d9d3e96ab6d4ec28977ed9c161003374d420,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K008,A65B-CORE-20260806-28947DF,DATA-K008,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-neoplasm-2026.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=12868;element_count=15272;element_name_hash_count=13;element_name_hashes=1fafac5d867a,39d02b42938b,599f7703547e,5ca4f3850ccc,5f661d6d6bc0,6d998b9a06cd,78bb7e0dcf30,78fe16036cd1,9f2e6d33a371,aa9e9b5c907d,aaf232064610,f80105efab6d,fa170119c3fe",80e5650fede36bf280e35fe51d7df752e63dec3dd3966007297372cb20cd8c93,2ea9b87e0a71e1da9522af7465b7a165ef47bbc484324a475a2046992a0201e8,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K009,A65B-CORE-20260806-28947DF,DATA-K009,docs/AI医生/知识内容提取/源数据/归档/icd10cm-table and index-2026/icd10cm-tabular-2026.xml,TASK-B01,XML,xml.etree.ElementTree.iterparse,utf-8,PARSED_STRUCTURALLY,xml,"attribute_count=3209;element_count=182350;element_name_hash_count=32;element_name_hashes=093f89062105,26f1de33979d,3fb45623cb30,417cb278200d,41fd0368d276,4d995f0fcdc3,5a92f6f089f6,5b3e062fa248,5ca4f3850ccc,5e60ff5ac0ec,667b9327cc0b,7322e3ada7b4,82a3537ff0db,8386e85f928f,8ad9415e3d35,9472f22c1c33,9494281ce70f,97864e878fe1,a74dd2c1cba2,aaf232064610,ab5aa97074c4,be3f1b447766,c1a30436d7f6,c748d6e3d18a,cd42404d52ad,d3db5338aae1,d7d5e3c3f287,e68bfb20aeb1,eaf3a6b60995,edb465624291,f0d97dc5cb72,fa3e260469e7",ac7d3006513385be9e9ef7514613e20af1d79ed351af4ee526cb884297aa2b04,81f928efebb8f83d89e7265d6ba9fb72c9f853c80b92723021a9bfdde000d266,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K010,A65B-CORE-20260806-28947DF,DATA-K010,docs/AI医生/知识内容提取/提取结果/hpo/hpo_chinese_mapping.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=4;delimiter_class=comma;record_count=18988,5a2c8b84b8fbb91bee31b8202974c5633bbe145800d05a041ce2b92bcb6813c6,ba71fc3b5714e125ef7aa1ef09cf0d43dabf80216e96a5408a4fdf7eece63386,18988,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K011,A65B-CORE-20260806-28947DF,DATA-K011,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=14;delimiter_class=comma;record_count=10654,8877c5f9e8b42052c751006fda6934181cbd3dc3b183f13bf0d51cd39c874138,5d54968efd082ee8d4196d1bd24c88f2bfc441a390e5ac70ce48e665cf7a3cba,10654,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K012,A65B-CORE-20260806-28947DF,DATA-K012,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data.json,TASK-B01,JSON,json.load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=223505;nesting_depth=5;parser=json;value_type_distribution=bool:21308,dict:27080,int:2,list:63925,null:27291,str:147037",d614790650e92d7b396a04f9d40c7b2e8b1e6c03de2fde00fe13083ba95e4150,0acee6576893c75973b49e52c41de09530d627ef72dea97c6b6f40b1eceb9efa,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K013,A65B-CORE-20260806-28947DF,DATA-K013,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data_with_chinese.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=19;delimiter_class=comma;record_count=10654,5b6123cf7969691e66221f4a38c37e284559967b2a392012aade04526e3aadc6,473a616c75a7b0e8ac132c9dd2b22917ada2282d19e634f9d11367d24867430d,10654,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K014,A65B-CORE-20260806-28947DF,DATA-K014,docs/AI医生/知识内容提取/提取结果/hpo/hpo_data_示例_前1000条.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=14;delimiter_class=comma;record_count=1000,8877c5f9e8b42052c751006fda6934181cbd3dc3b183f13bf0d51cd39c874138,51263c996fe5fc1f2981a90aa65eb6557b77d03529880c477c1d908c18c602c9,1000,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K015,A65B-CORE-20260806-28947DF,DATA-K015,docs/AI医生/知识内容提取/提取结果/hpo/hpo_translation_template.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=5;delimiter_class=comma;record_count=303,ced2823bf13540b018a1c2b6020996be24c98b8af2306de6a648732e253e9201,fada5cc3b018d0e5bb2a8054a9ee04adc83e7adc91d5a8be579ea91aaf4d63bb,303,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K016,A65B-CORE-20260806-28947DF,DATA-K016,docs/AI医生/知识内容提取/提取结果/hpo/translation_cache.json,TASK-B01,JSON,json.load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=19064;nesting_depth=1;parser=json;value_type_distribution=dict:1,str:19064",33d01c1d981020108557d03813fbb05494f64859065dbd04656e8713347066c4,98f5d13afceb8cbcfe911e2b291c38e0509a89ffe8581ee7df29b58b8e8db822,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K017,A65B-CORE-20260806-28947DF,DATA-K017,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=18;delimiter_class=comma;record_count=726,fe643b8d87b7e19c7408b42fce43e132c6773f2ec902c2fd8d02a9f4fd123bd6,d50c0135b408569f91cf86f7dfd7c35470a8da420fdb72c3d1f57c4c0926e6a7,726,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K018,A65B-CORE-20260806-28947DF,DATA-K018,docs/AI医生/知识内容提取/提取结果/icpc/icpc_xml_chinese.json,TASK-B01,JSON,json.load,utf-8,PARSED_STRUCTURALLY,list,"field_count=13068;nesting_depth=2;parser=json;value_type_distribution=dict:726,list:1,str:13068",672de19e26e165788585a4fb4ee7207d9288d59895e005dab56afb2ab6bb97cd,4365391e54dd8ca2ec56e8b4b51d67c66b631a862c8bc9720fbdfe517d19b112,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K019,A65B-CORE-20260806-28947DF,DATA-K019,docs/AI医生/知识内容提取/提取结果/icpc/translation_cache.json,TASK-B01,JSON,json.load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=2159;nesting_depth=1;parser=json;value_type_distribution=dict:1,str:2159",11db0bd69dcf83c4e8cd9ea65addd3da297b96a5ac0839970677ab6447a01704,b8c4f8d93a6e0b0f79511f53882b8b73cb3efa9f1dcfbb0fae78014e2f280db6,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-DATA-K020,A65B-CORE-20260806-28947DF,DATA-K020,docs/AI医生/知识内容提取/提取结果/归档/icd10/icd10cm_chinese_mapping.csv,TASK-B01,CSV,csv.reader,utf-8,PARSED_STRUCTURALLY,table,column_count=3;delimiter_class=comma;record_count=96802,5f4d7e1ec0974b93b638cce7a256cf87c5610d7c7b8eec9e95c6a3a0a88e39ed,0df78cc533b7a174e72231bc2d872c3639e62c957949e5fcc00fdbe4226e875a,96802,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-001,A65B-CORE-20260806-28947DF,PROMPT-001,common/aidoctor_llm/prompt_manager.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=9;ast_nodes=561;classes=1;functions=9;imports=6;top_level_symbol_count=1;top_level_symbol_hashes=cf16ff53fbcf698c,78f47c0463c817f25c2851f0c2d7fc6e563b617b26d60361f0c695fb4a537f21,507c9f5c24e865da7347bc16b0e6125ad8c7d4a9aca547bd54a47d3d089fbb0d,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-002,A65B-CORE-20260806-28947DF,PROMPT-002,diagnosis-engine-service/app/utils/prompt_templates.py,TASK-B01,PY,ast.parse,utf-8,PARSED_STRUCTURALLY,module,assignments=6;ast_nodes=534;classes=1;functions=10;imports=6;top_level_symbol_count=1;top_level_symbol_hashes=cf16ff53fbcf698c,5ce1c9eec1841bb43704f96d922766e85acc18c868ac6849b154c2d9c9e15b6d,e323fc5563dcf57e4fba770e6ca2a843f4a1560d9709a8872dbc3821558e171d,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-003,A65B-CORE-20260806-28947DF,PROMPT-003,diagnosis-engine-service/app/config/prompt_templates/diagnosis_reasoning.jinja2,TASK-B01,JINJA2,jinja_structure_scanner,utf-8,PARSED_STRUCTURALLY,template,"block_count=2;filter_count=0;identifier_hashes=935f68319d4f,f015133c074e,4f8413e951f3,504dbd7ea99e,e259202cf023,ea7792a26f40;node_type_counts=block:2,var:4,filter:0;parser=jinja_structure_scanner;variable_count=4",eb8642a95eec2e2334f6da250c844340cf6693b1cd26e7533d22ac4f2347cc44,8a6ae65f97ab5655e854af8c97ce6eda3faedd0ef1d41bc2b05a93d3b245c31e,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-004,A65B-CORE-20260806-28947DF,PROMPT-004,diagnosis-engine-service/app/config/prompt_templates/path_injection.jinja2,TASK-B01,JINJA2,jinja_structure_scanner,utf-8,PARSED_STRUCTURALLY,template,"block_count=4;filter_count=0;identifier_hashes=10c22bcf4c76,935f68319d4f,b4589380ecc9,f015133c074e,035e5212b263,2a051af1dfae,504dbd7ea99e,e079893445ef,ed386f2ad0cd,ef003800e509;node_type_counts=block:4,var:6,filter:0;parser=jinja_structure_scanner;variable_count=6",e159e9826585b191faccb03b06db60763f35f9a62965e8a11692a14648b701f3,b12be31aeee36c5bb9bb2987e847e2cfae80675a97b26ee262e6cc4ceabaadad,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-005,A65B-CORE-20260806-28947DF,PROMPT-005,diagnosis-engine-service/app/config/prompt_templates/question_generation.jinja2,TASK-B01,JINJA2,jinja_structure_scanner,utf-8,PARSED_STRUCTURALLY,template,"block_count=0;filter_count=0;identifier_hashes=3269bbdaf7a5,ea7792a26f40;node_type_counts=block:0,var:2,filter:0;parser=jinja_structure_scanner;variable_count=2",e3e24c3792224b60747b243aea6bf2fd5dc33d875a47869640c90b1c678b76f7,e6e8c81b892a72ce887f0ba95fc23e1e46f9fd1a0611fb8b2d2b5c2dfe83d207,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-006,A65B-CORE-20260806-28947DF,PROMPT-006,diagnosis-engine-service/app/config/prompt_templates/explanation_generation.jinja2,TASK-B01,JINJA2,jinja_structure_scanner,utf-8,PARSED_STRUCTURALLY,template,"block_count=2;filter_count=0;identifier_hashes=935f68319d4f,f015133c074e,8c0f22fd01e9,b54e2b152c21,ee8250fb76e0;node_type_counts=block:2,var:3,filter:0;parser=jinja_structure_scanner;variable_count=3",2a848c710b3dbe826af623765fcdeec37a81e955c827644ae410b5be29f6b133,5f822d8a7e8919594b7d737f7dd197b26854cdfbd6f6f590af1a73b0abe38f06,,no,no,no,no,,NONE,architecture;evidence,
A65B-B01-PROMPT-007,A65B-CORE-20260806-28947DF,PROMPT-007,diagnosis-engine-service/app/config/prompt_templates/templates.yaml,TASK-B01,YAML,yaml.safe_load,utf-8,PARSED_STRUCTURALLY,dict,"field_count=17;nesting_depth=3;parser=yaml.safe_load;value_type_distribution=dict:6,str:12",c73f936baf13bf95cb9e84b8a52b423a38c8b73371f9c041a76621057b6061bc,84e2cde612fc1a2e055c21f52a4e2c861cb81955b1a175b071d34f25822400f8,,no,no,no,no,,NONE,architecture;evidence,
