gap_id,execution_id,task_id,source_asset_id,source_path,source_field_path,candidate_contract,gap_type,compatibility_impact,runtime_impact,patient_safety_impact,phi_risk,proposed_resolution_class,required_owner_role,required_evidence,status,notes
A65C-C01-GAP-WF-004-A08C35A9A9A1,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,audit,NONE,AUDIT_SEMANTICS_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,AUDIT_SEMANTICS: CDP.audit is embedded audit payload JSON; AuditRef is reference-only and must not duplicate payloads. C-OD-002 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-8B332920D6B6,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,executionTrace,NONE,TRACE_SEMANTICS_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,TRACE_SEMANTICS: executionTrace is summary payload; TraceRef is reference-only. AuditRef != TraceRef. C-OD-006 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-FCA3953BF91C,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,createdAt,ContractEnvelope,TYPE_MISMATCH,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,LocalDateTime to RFC3339 date-time; timezone semantics UNKNOWN_FAIL_CLOSED. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-004-C306142C711C,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,updatedAt,NONE,IDENTIFIER_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No general updated_at on IdentifierSet/ContractEnvelope/StatePatch for entity update time. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-005-039FAB704C9C,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,id,NONE,IDENTIFIER_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,IDENTIFIER_SEMANTICS: numeric DB Long id has no CDPVersion identity field in Shared Contracts; decimal-string coercion alone does not create a target. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-005-B1503C8600A6,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,cdpDataJson,NONE,NO_TARGET_FIELD,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Full serialized CDP snapshot has no direct Shared Contract field; CommitResult/StatePatch do not carry whole CDP JSON. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-005-34D3BA0B145C,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,createTime,ContractEnvelope,TYPE_MISMATCH,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,LocalDateTime to RFC3339; timezone UNKNOWN_FAIL_CLOSED. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-006-BBE12B4D2327,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,id,NONE,IDENTIFIER_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No agent_state_id in IdentifierSet; C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-F145E3C14163,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,currentStep,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-B13DC9B5F4E9,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,workMode,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-DAEECAD1E43C,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,thresholds,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-A11A4F794A1E,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,budget,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-E5A6220B52B4,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,failureBackoff,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-739F0B565839,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,triedTools,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-07FB21E5452B,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,evidenceFusionState,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-22500CD6393E,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,stopConditions,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-006-1B342EBD18DD,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,createdAt,ContractEnvelope,TYPE_MISMATCH,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,LocalDateTime timezone UNKNOWN_FAIL_CLOSED. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-006-D74E0CF80A7B,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,updatedAt,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No updated_at target in candidate contracts. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-007-38B037887A1D,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,timestamp,AuditRef,AUDIT_SEMANTICS_MISMATCH,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Event timestamp vs AuditRef.created_at semantics not proven identical; timezone UNKNOWN_FAIL_CLOSED. AUDIT_SEMANTICS candidate. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-007-A427F5588875,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,eventType,AuditRef,ENUM_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,ENUM_MISMATCH: legacy event_type domain != AuditRef.audit_type enum. C-OD-002 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-007-9EDF80A7ED4B,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,toolCall,NONE,AUDIT_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=no,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,AUDIT_SEMANTICS: AuditRef must not duplicate audit payloads; payloads remain SOURCE_ONLY. C-OD-002 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-007-545582FA95D5,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,cdpUpdate,NONE,AUDIT_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=no,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,AUDIT_SEMANTICS: AuditRef must not duplicate audit payloads; payloads remain SOURCE_ONLY. C-OD-002 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-007-4FDAA8E5CA13,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,agentDecision,NONE,AUDIT_SEMANTICS_MISMATCH,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=no,phi_capable_structure_review_required,phi_capable_payload_structure,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,AUDIT_SEMANTICS: AuditRef must not duplicate audit payloads; payloads remain SOURCE_ONLY. C-OD-002 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-007-86D29E50DA72,A65C-C01-20260807-FD246A2,TASK-C01,WF-007,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AuditTrail.java,createdAt,AuditRef,TYPE_MISMATCH,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,LocalDateTime to RFC3339; timezone UNKNOWN_FAIL_CLOSED. Dual timestamp fields (timestamp vs createdAt) need architecture review. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-015-D39F7834919C,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,traceId,ContractEnvelope,TRACE_SEMANTICS_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Name-similar to envelope.trace_id / TraceRef.trace_id but legacy ToolContext != contracts ToolContext. Same class name != EXACT. C-OD-003 open. AuditRef != TraceRef. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-015-44353649B012,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,cdpReference,ToolContext,TYPE_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,Nested CDPReference object wraps into current_state_ref; not EXACT. C-OD-003 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-015-D9662CBC02B5,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,cdpReference.readFields,ToolContext,TYPE_MISMATCH,ADAPTER_REQUIRED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,ADAPTER_REQUIRED,architecture,independent_C01_review,OPEN,List<String> vs array of jsonPointer with pattern constraints; authorization_scope separate. StatePatch/read != field authorization. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-015-FCEA04559D6E,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,agentStateSummary,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No agentStateSummary object on contracts ToolContext. C-OD-003 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-015-6E52C746A51B,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,agentStateSummary.currentStep,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent state summary leaf has no contracts ToolContext field. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-015-24FE6169FBAE,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,agentStateSummary.workMode,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,Agent state summary leaf has no contracts ToolContext field. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-015-DFD7507AEBD0,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,constraints,NONE,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,architecture,independent_C01_review,OPEN,Constraints (time/cost/risk) are not the same as ToolContext.deadline RFC3339; insufficient evidence for EXACT/RENAMED. C-OD-003 open. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION.
A65C-C01-GAP-WF-015-6456B3F23ADD,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,constraints.maxTimeSeconds,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No direct target for legacy constraint leaf; deadline/locale/authorization_scope differ. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
A65C-C01-GAP-WF-015-A24D53131E44,A65C-C01-20260807-FD246A2,TASK-C01,WF-015,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool/ToolContext.java,constraints.maxCost,NONE,NO_TARGET_FIELD,DOCUMENTED_ONLY,runtime_wiring_authorized=no;runtime_wiring_created=no;evidence_only=yes,none_direct_static_mapping,low,INSUFFICIENT_EVIDENCE,platform-contracts,independent_C01_review,OPEN,No direct target for legacy constraint leaf; deadline/locale/authorization_scope differ. | proposed_resolution is candidate only; not AUTHORIZED_RESOLUTION. | REVIEW_REMEDIATION F-A65C-C01-R05.
