mapping_id,execution_id,task_id,source_asset_id,source_path,source_symbol,source_field_path,source_type,source_requiredness,source_nullability,source_enum_or_domain,target_contract_name,target_schema_path,target_json_pointer,target_type,target_requiredness,target_nullability,mapping_class,transform_class,compatibility_class,phi_risk,runtime_wiring_required,contract_mutation_required,evidence_reference,reviewer_role,status,notes
A65C-C01-WF-004-6ED3B00C4AB4,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,workupPlan,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:workup_plan,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /workup_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-C28A53E50302,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,managementPlan,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:management_plan,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /management_plan/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-4DA644426BF5,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,triage,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:triage,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /triage/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-6C7E72D8F570,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,uncertainty,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_domain:uncertainty,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,Legacy JSON CLOB field aligns with StatePatch operation path domain /uncertainty/... but source stores whole blob String/Map; not a StatePatch field. StatePatch validation != field authorization. runtime_wiring_authorized=no.
A65C-C01-WF-004-71CA032D83AA,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,audit,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_audit_payload,,,,,,,SOURCE_ONLY,MANUAL_ADAPTER_REQUIRED,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,AUDIT_SEMANTICS: CDP.audit is embedded audit payload JSON; AuditRef is reference-only and must not duplicate payloads. C-OD-002 open.
A65C-C01-WF-004-31B2DBD8AC4C,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,executionTrace,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,json_clob_trace_summary,,,,,,,SOURCE_ONLY,MANUAL_ADAPTER_REQUIRED,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,TRACE_SEMANTICS: executionTrace is summary payload; TraceRef is reference-only. AuditRef != TraceRef. C-OD-006 open.
A65C-C01-WF-004-18DB4C9783D3,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,createdAt,LocalDateTime,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,ContractEnvelope,contracts/v1/schemas/contract-envelope.schema.json,/created_at,string;format:date-time;pattern,REQUIRED,NON_NULL_TYPED,TYPE_COERCION_REQUIRED,TIMESTAMP_TO_RFC3339,UNKNOWN_FAIL_CLOSED,low,yes,no,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,LocalDateTime to RFC3339 date-time; timezone semantics UNKNOWN_FAIL_CLOSED.
A65C-C01-WF-004-123C4D5A01F0,A65C-C01-20260807-FD246A2,TASK-C01,WF-004,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDP.java,CDP,updatedAt,LocalDateTime,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,,,,,,,SOURCE_ONLY,TIMESTAMP_TO_RFC3339,DOCUMENTED_ONLY,low,yes,yes,git-blob:bfdfe43ac328feb4280ba0a77a9024b77f1a8b44,pending_independent_review,GAP_RECORDED,No general updated_at on IdentifierSet/ContractEnvelope/StatePatch for entity update time. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-005-5FE24FA3724E,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,id,Long,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,,,,,,,SOURCE_ONLY,NUMERIC_TO_DECIMAL_STRING,DOCUMENTED_ONLY,low,yes,yes,git-blob:5ab421ac25d7b2044bb0a393a5c873bd8c64aa43,pending_independent_review,GAP_RECORDED,IDENTIFIER_SEMANTICS: numeric DB Long id has no CDPVersion identity field in Shared Contracts; decimal-string coercion alone does not create a target. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-005-3D361F649A49,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,cdpId,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/cdp_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,low,yes,no,git-blob:5ab421ac25d7b2044bb0a393a5c873bd8c64aa43,pending_independent_review,GAP_RECORDED,Structural rename cdpId->cdp_id. | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-005-928675E7CD40,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,versionNumber,Integer,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,StatePatch,contracts/v1/schemas/state-patch.schema.json,/base_version,integer,REQUIRED,NON_NULL_TYPED,RENAMED,NONE,ADAPTER_REQUIRED,low,yes,no,git-blob:5ab421ac25d7b2044bb0a393a5c873bd8c64aa43,pending_independent_review,GAP_RECORDED,"VERSIONING: CDPVersion.versionNumber is legacy state version, not contract_version 1.0.0. | REVIEW_REMEDIATION: F-A65C-C01-R03: COMPATIBLE_AS_IS invalid when target REQUIRED and source requiredness UNKNOWN_FAIL_CLOSED."
A65C-C01-WF-005-096EB8EE7E59,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,cdpDataJson,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,OBJECT_WRAPPER,ADAPTER_REQUIRED,phi_capable_payload_structure,yes,no,git-blob:5ab421ac25d7b2044bb0a393a5c873bd8c64aa43,pending_independent_review,GAP_RECORDED,Full serialized CDP snapshot has no direct Shared Contract field; CommitResult/StatePatch do not carry whole CDP JSON.
A65C-C01-WF-005-4D84511A369A,A65C-C01-20260807-FD246A2,TASK-C01,WF-005,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/CDPVersion.java,CDPVersion,createTime,LocalDateTime,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,ContractEnvelope,contracts/v1/schemas/contract-envelope.schema.json,/created_at,string;format:date-time;pattern,REQUIRED,NON_NULL_TYPED,TYPE_COERCION_REQUIRED,TIMESTAMP_TO_RFC3339,UNKNOWN_FAIL_CLOSED,low,yes,no,git-blob:5ab421ac25d7b2044bb0a393a5c873bd8c64aa43,pending_independent_review,GAP_RECORDED,LocalDateTime to RFC3339; timezone UNKNOWN_FAIL_CLOSED.
A65C-C01-WF-006-890F9B1E3C1E,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,id,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,No agent_state_id in IdentifierSet; C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-D6B903623617,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,sessionId,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/session_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,low,yes,no,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,sessionId->session_id | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-006-854A8499D32B,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,cdpId,String,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,IdentifierSet,contracts/v1/schemas/identifier-set.schema.json,/cdp_id,string;pattern,OPTIONAL,NON_NULL_TYPED,RENAMED,STRING_NORMALIZATION,ADAPTER_REQUIRED,low,yes,no,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,cdpId->cdp_id | REVIEW_REMEDIATION: F-A65C-C01-R01: Java String does not prove opaqueIdentifier pattern ^[A-Za-z0-9][A-Za-z0-9._:-]*$; COMPATIBLE_AS_IS downgraded.
A65C-C01-WF-006-F01B751454E6,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,currentStep,Integer,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-02BB9913A6C5,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,workMode,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,COMMENT_OR_NAME_DOMAIN_UNVERIFIED,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-B50FEA9D5209,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,thresholds,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-84C2F2D0BA3F,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,budget,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-72923F22381D,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,failureBackoff,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-B7C7A62EAD0C,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,triedTools,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-D3EEB4F6BE76,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,evidenceFusionState,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-5E27E2C04684,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,stopConditions,String,UNKNOWN_FAIL_CLOSED,UNKNOWN_FAIL_CLOSED,,,,,,,,SOURCE_ONLY,NONE,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,Agent strategy/state field has no Shared Contract v1 field; not CommitResult/StatePatch semantics. C-OD-001 open. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
A65C-C01-WF-006-C329982AA606,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,createdAt,LocalDateTime,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,ContractEnvelope,contracts/v1/schemas/contract-envelope.schema.json,/created_at,string;format:date-time;pattern,REQUIRED,NON_NULL_TYPED,TYPE_COERCION_REQUIRED,TIMESTAMP_TO_RFC3339,UNKNOWN_FAIL_CLOSED,low,yes,no,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,LocalDateTime timezone UNKNOWN_FAIL_CLOSED.
A65C-C01-WF-006-FE996E9FB2C8,A65C-C01-20260807-FD246A2,TASK-C01,WF-006,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/AgentState.java,AgentState,updatedAt,LocalDateTime,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,ANNOTATION_OR_COLUMN_NONNULL_EVIDENCE,,,,,,,,SOURCE_ONLY,TIMESTAMP_TO_RFC3339,DOCUMENTED_ONLY,low,yes,yes,git-blob:ca917adb8db6835d340d16d917cf5622fe9878dd,pending_independent_review,GAP_RECORDED,No updated_at target in candidate contracts. | REVIEW_REMEDIATION: F-A65C-C01-R05: No evidence legacy semantic must survive cross-boundary contract; DOCUMENTED_ONLY.
