scope_id,source_phase,lane,classification,title,dependency,allowed_work,forbidden_work,clinical_impact,contract_impact,capability_impact,runtime_impact,architecture_impact,freeze_gate,implementation_authorized,exit_gate,rejoin_gate,stop_condition,notes
NC-CLOSE-CI-01,A9,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,A9-MVP Freeze-blocking CI,NC-CLOSE-BIND-01 soft; NC-CLOSE-ADR-* soft for some rules,Plan Java/Python/FE compile-test-build-typecheck; Contracts Capability ModelRuntime Legacy validations; Provider SDK and State-Committer ownership rules; secret and dependency scans; Prompt schema validation; clinical-block assertion,Activate clinical capability; load clinical Prompt; invoke real provider; use PHI; create clinical gold; claim CI PASS before merge+verify,none,validate_only,validate_only,test_only,none,A11 CI/CD gate,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Batch NC-CLOSE-03; no workflow files in this amendment PR; CI remains NO_CI_CONFIGURED until verified
NC-CLOSE-CI-02,A9,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,A9 support docs-link and migration dry-run,NC-CLOSE-CI-01,Bounded docs-link check and migration dry-run if separately authorized,Unlimited CI expansion; deployment automation as Freeze MVP,none,none,none,none,none,A11 support optional,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Support only; not Freeze-infinite expansion
NC-CLOSE-CI-03,A9,PHASE_A_NC_CLOSURE,DEFER_AFTER_FREEZE,A9-FULL performance publish deploy full-lint,NC-CLOSE-CI-01,Deferred performance artifact publishing deployment automation full lint expansion,Treat A9-FULL as Freeze blocker by default,none,none,none,none,none,Post-Freeze optional,false,DEFER_AFTER_FREEZE,N/A,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Deferred after Freeze
NC-CLOSE-WF-01,A10,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,Fixed Workflow verification,Existing fixed Workflow; ADR-05 soft; A6.5 mappings input,Verify existing Workflow runtime or explicit failure reason; fixtures; failure and fallback; double-run comparison; fallback retention,Modify clinical policy; add clinical decisions; fill clinical rules,none,none,none,verify_existing,none,A11 fixed Workflow evidence,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Batch NC-CLOSE-04
NC-CLOSE-TRACE-01,A10,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,AOP Trace and OTel boundary verification,A6.5 observability mappings HARD INPUT; ADR-10 ADR-11 ADR-12 soft,Verify TraceExecution aspect TraceContext Feign coverage failure isolation PHI-safe metadata structure async propagation OTel evidence and span AgentEvent ClinicalDecisionRecord ComplianceAudit boundaries,Redo A6.5 inventory; change clinical decision semantics; enable clinical activation via Trace,none,none,none,verify_existing,none,A11 AOP/Trace gate,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_PHI_BOUNDARY_REACHED,Batch NC-CLOSE-04; reuse A6.5 mappings
NC-CLOSE-RUNTIME-01,A1-A3,PHASE_A_NC_CLOSURE,PARALLEL_BUT_PREEXISTING_AUTHORITY,A1-A3 runtime evidence coordination,Historical A1 A2 A3 authority,Coordinate closure accounting for missing failed or partial runtime evidence under preexisting authority,Claim this amendment newly authorizes A1-A3; import PHI or clinical fixtures for startup,none,none,none,runtime_evidence,none,A11 compile/startup baseline,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_PHI_BOUNDARY_REACHED,Batch NC-CLOSE-05; NOT new authority
NC-CLOSE-A4-01,A4,PHASE_A_NC_CLOSURE,NOT_REQUIRED_IN_AMENDMENT,A4 non-clinical inventory default,A4 BASELINE_MERGED,Default no new A4 authority in this amendment,Expand clinical or data-source approval via A4,none,none,none,none,none,A11 inventory support,false,N/A,N/A,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Default classification
NC-CLOSE-A4-02,A4,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,A4 bounded inventory delta refresh if needed,A4 BASELINE_MERGED,Bounded non-clinical inventory delta refresh for Freeze accounting only,Clinical source approval; patient-data validation claims,none,none,none,none,none,A11 inventory support,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Optional support only
NC-CLOSE-E2E-01,A11,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,First vertical-slice E2E DESIGN_ONLY,ADR and Workflow soft,Design-only first vertical slice with blocked clinical placeholders mocked boundaries gate ordering failure matrix version provenance expectations,Run real clinical E2E; approve clinical behavior; create clinical gold,none,none,none,design_only,none,A11 first E2E design,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Batch NC-CLOSE-06; DESIGN_ONLY
NC-CLOSE-COVERAGE-01,A11,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,Coverage Migration Decommission delta reconciliation,A7-NC COMPLETE,Reconcile A7-NC delta; owner phase contract completion-gate and decommission mapping; Future Extensions REFERENCE_ONLY,Convert Future Extension Design into current implementation requirements,none,map_only,map_only,none,none,A11 Coverage/Migration gates,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_FUTURE_EXTENSION_BOUNDARY_REACHED,Batch NC-CLOSE-06
NC-CLOSE-REC-01,A11,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,Bounded current-state reconciliation,Historical addendum and P7 evidence preserved,Dated current-state reconciliation of control truth without rewriting historical rows,Rewrite PR29 body; rewrite P7 evidence meaning; claim Frozen Baseline ready,none,none,none,none,none,clarity only,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_ARCHITECTURE_BOUNDARY_REACHED,Batch NC-CLOSE-06; historical-safe
SUP-NC-CLOSE-01,SUPPORT,PHASE_A_NC_CLOSURE,IN_LANE_SUPPORT,External local infrastructure evidence boundary,Docker DB Redis Neo4j Nacos local services FE-BE OTel test backend,Allow future infrastructure runtime evidence with PHI=0 clinical decision=0 real provider=0,Import real patient data; enable clinical decisions; call real providers,none,none,none,infra_only,none,A11 runtime support,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility after NC+A6.5+Full A7 Exit,PHASE_A_NC_CLOSURE_PROVIDER_BOUNDARY_REACHED,Not a clinical activation path
EXCL-CLIN-01,A6.5,PHASE_A_NC_CLOSURE,CLINICAL_EXCLUDED,Clinical governance and A7-CL exclusion,B04 C02 E01 E02 A6.5 Exit A7-CL CL-01 CL-02,None in this lane,Any clinical content Prompt eligibility Capability binding evaluation rules thresholds hypotheses medical-source gold PHI,blocked,blocked,blocked,blocked,none,FB-20 FB-21 preserved,false,N/A,Full A7 Exit only,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Exact clinical exclusion register row
EXCL-FUT-01,EXTENSIONS,PHASE_A_NC_CLOSURE,FUTURE_EXTENSION_EXCLUDED,Future Extension Design exclusion,docs/refactoring/extensions/**,REFERENCE_ONLY reading,Any implementation of Device Connector Digital Pulse Tongue Imaging Wearable EHR Structured Medical Provider Drug Regulatory Device Temporal Special Population Chronic Multimodal tcm_four_diagnosis_v1,none,none,none,none,none,N/A,false,N/A,N/A,PHASE_A_NC_CLOSURE_FUTURE_EXTENSION_BOUNDARY_REACHED,All future extensions NOT_AUTHORIZED
EXCL-PB-01,PHASE_B,PHASE_A_NC_CLOSURE,CLINICAL_EXCLUDED,Phase B exclusion,Phase B NOT_AUTHORIZED,None,Any Phase B Clinical State State Committer Safety Pack work under this lane,blocked,none,blocked,blocked,none,N/A,false,N/A,N/A,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Phase B must not become NC parallel lane
EXIT-NC-CLOSE-01,A11,PHASE_A_NC_CLOSURE,IN_LANE_AUTHORITATIVE,PHASE_A_NC_CLOSURE_EXIT Independent Exit Review,All required lane-owned batches MERGED_AND_VERIFIED,Independent Exit Review proving NC non-clinical Freeze gaps closed while Freeze may remain NOT_READY_BLOCKED_CLINICAL,Claim PHASE_A_FROZEN_BASELINE; waive A6.5 Exit or Full A7 Exit; authorize A11 PASS,none,controlled,unchanged,unchanged,unchanged,PHASE_A_NC_CLOSURE_EXIT,false,PHASE_A_NC_CLOSURE_EXIT,A11 eligibility only,PHASE_A_NC_CLOSURE_CLINICAL_BOUNDARY_REACHED,Batch NC-CLOSE-07; NC COMPLETE != Frozen Baseline
