code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
-40,process,-.2,Diagnostic endoscopy,诊断内镜检查,Diagnostic endoscopy,诊断内镜检查,rhinoscopy; pharyngoscopy; laryngoscopy; tracheoscopy; bronchoscopy; mediastinoscopy; hysteroscopy; colposcopy; laparoscopy; gastroscopy; colonoscopy; sigmoidoscopy; rectoscopy; anoscopy; arthroscopy,鼻镜检查；咽镜检查；喉镜检查；气管镜检查；支气管镜检查；纵隔镜检查；宫腔镜检查；阴道镜检查；腹腔镜检查；胃镜检查；结肠镜检查；乙状结肠镜检查；直肠镜检查；肛门镜检查；关节镜检查,ophtalmoscopy ,眼底镜检查,"looking inside the body for medical reasons using an endoscope, an instrument used to examine the interior of a hollow organ or cavity of the body",内镜检查,,,,,
-41,process,-.2,Diagnostic radiology/imaging,诊断放射学/影像学,Diagnostic radiology/imaging,诊断放射学/影像学,x-ray/ultrasound imaging; computed tomography (CT); nuclear medicine; positron emission tomography (PET); magnetic resonance imaging (MRI); angiography; bone/thyroid/heart scintigraphy; isotope scanning; thermography,X线/超声成像；计算机断层扫描（CT）；核医学；正电子发射断层扫描（PET）；磁共振成像（MRI）；血管造影；骨/甲状腺/心肌闪烁扫描；同位素扫描；热成像,radiotherapy ,放射治疗,taking images of anatomic structures through the use of electromagnetic radiation or sound waves,利用电磁辐射或声波成像解剖结构,,,,,
-42,process,-.2,Electrical tracing,心电图描记术,Electrical tracing,心电图描记术,electrocardiogram; exercise electrocardiogram; Holter monitoring; electromyogram (EMG); electroencephalogram (EEG); electronystagmography (ENG),心电图；运动心电图；Holter监测；肌电图（EMG）；脑电图（EEG）；眼震电图（ENG）,,,"a test used to measure the electrical activity of an organ (e.g. heart, nerve, brain, muscle)",电生理检查,,,,,
-43,process,-.2,Other diagnostic procedure,其他诊断程序,Other diagnostic procedure,其他诊断程序,ophtalmoscopy; dermatoscopy; diagnostic laparotomy; dementia test; intelligence test; depression test; anxiety test; skin photo,眼底镜检查；皮肤镜检查；诊断性剖腹探查术；痴呆症筛查试验；智力测试；抑郁量表；焦虑量表；皮肤照片,,,a skin photo is a photography/video for diagnostic purpose,皮肤照片是指用于诊断目的的摄影或视频,,,,,
-44,process,-.2,Preventive immunization/medication,预防性免疫接种/药物,Preventive immunization/medic,预防性免疫接种/药物,active/passive immunization; prophylactic treatment with drugs e.g. malaria prophylaxis; desensitisation,主动/被动免疫；药物预防治疗例如疟疾预防；脱敏治疗,,,"immunization/desensitisation/preventive medication used to avoid conditions/reactions, not present at the time of prescribing",免疫/脱敏/预防用药，用于避免在开处方时不存在的状况/反应,,,"If the patient has a condition (e.g. hypertension), use the code for medication ",若患者有某种情况（例如高血压），使用药物的编码,
-45,process,-.2,Observation/health education/advice/diet,观察/健康教育/建议/饮食,Observ/health educat/advice/diet,观察/健康教育/指导/饮食,advice on healthy behaviour; advice on prevention of health problems; advice on pregnancy and family planning; advice on regarding the use of health services; advice on regarding occupational health/social problems; watchful waiting,健康行为建议；预防健康问题的建议；妊娠和计划生育建议；关于使用卫生服务的建议；关于职业健康/社会问题的建议；观察等待,therapeutic counselling/listening ,治疗性咨询/倾听,prevention of health problems and advice on healthy behaviour,健康问题的预防及健康行为的建议,,,,,
-46,process,-.2,Consultation with primary care provider,与初级保健提供者会诊,Consultation primary care provider,门诊咨询 PRIMARY CARE提供者,telemedicine consultation with primary care provider,远程医疗会诊咨询服务提供者,consultation with specialist ,专科会诊,"consultation with another primary care provider, regardless whether the patient is present or not",与另一主要保健提供者会诊，无论患者是否在场,,,Treatment responsibility remains at the original primary care provider.,治疗责任仍由原初级保健提供者承担。,
-47,process,-.2,Consultation with specialist,专科会诊,Consultation with specialist,专科会诊,telemedicine consultation with specialist,远程专科会诊,consultation with primary care provider ,与初级保健提供者会诊,"consultation with a specialist, regardless whether the patient is present or not",专科会诊，无论患者是否在场,,,Treatment responsibility remains at the original primary care provider.,治疗责任仍由原初级保健提供者承担。,
-48,process,-.2,Clarification/discussion of patient's RFE/demand,患者RFE/需求的澄清/讨论,Clarification/discussion RFE/demand,说明/讨论 RFE/需求,discussion about the need of screening tests,筛查试验必要性的讨论,,,"dialogue between the primary health care provider and the patient about the patient’s reason for encounter or demand, and their mutual assessment of opportunities for screening/treatment/other interventions.",初级保健提供者与患者之间关于就诊原因或需求的对话，以及双方对筛查、治疗或其他干预措施机会的共同评估。,Observation/health education/advice/diet ,观察/健康教育/建议/饮食,,,
-49,process,-.2,Other preventive procedure,其他预防性操作,Other preventive procedure,其他预防性操作,assessment of health conditions and environmental risks,健康状况和环境风险的评估,complete check-up/well-baby exam ,全面体检/健康儿童检查,,,,,,,
-50,process,-.3,Medication/prescription/renewal,药物/处方/续方,Medication/prescr/renewal,药物/处方/续方,prescribing of medication; prescribing of an injectable drug; renewal of medication; administration of medication,开具药物处方；开具注射用药处方；续方；给药administration of medication可以译为药物使用或药物给付，根据上下文选择最合适的表述。在此统一采用“给药”作为翻译。,preventive immunization/medication ,预防性免疫接种/药物,,,,,Clarify what drug is meant.,澄清所指药物。,
-51,process,-.3,Incision/drainage/flushing/aspiration/removal body fluid,切开/引流/冲洗/抽吸/移除体液,I&d/flush/aspiration,冲洗/抽吸,incision of abscess; puncture/aspiration of hematoma; puncture/aspiration of sinus; puncture/aspiration of the urinary bladder; puncture/aspiration of joint; puncture/aspiration of cyst; puncture/aspiration of bursa; puncture/aspiration of ganglion; puncture/aspiration of lungs; puncture/aspiration of stomach; venesection; ascitic fluid puncture; lumbar puncture; tympanostomy; paracentesis; thoracentesis; irrigation of ear/eye,脓肿切开；血肿穿刺抽吸；窦道穿刺抽吸；膀胱穿刺抽吸；关节穿刺抽吸；囊肿穿刺抽吸；滑膜囊穿刺抽吸；腱鞘囊肿穿刺抽吸；肺穿刺抽吸；胃穿刺抽吸；放血疗法；腹水穿刺；腰椎穿刺；鼓室切开术；腹腔穿刺；胸腔穿刺；耳/眼冲洗,blood test ,血液检查,,,,,,,
-52,process,-.3,Excision/removal tissue/biopsy/destruction/debridement/cauterization,切除/移除组织/活检/破坏/清创/电凝,Exc/remov/biopsy/destruc/debrid/caut,切除/移除/活检/破坏/清创/电凝,excision/removal tissue; biopsy of organ; biopsy of skin; excision/removal of nail; extraction of tooth; amputation; embolectomy; vein stripping; sterilisation; uterine curettage; skin curettage; nerve destruction; vein destruction; surgical debridement; mechanical debridement; chemical debridement; autolytic debridement; maggot therapy; burning cauterization; cold cauterization; chemical cauterization; electric cauterization; laser cauterization,切除/移除组织；器官活检；皮肤活检；指甲切除/移除；拔牙；截肢；血栓切除术；静脉剥离；绝育手术；刮宫术（子宫）；刮治术（皮肤）；神经破坏；静脉破坏；外科清创术；机械清创术；化学清创术；自溶性清创术；蛆虫疗法；烧灼电凝固；冷刀电切；化学电凝固；电热凝固；激光电凝固,cervical smear ,宫颈涂片,,,,,,,
-53,process,-.3,Instrumentation/catheterization/intubation/dilation,器械操作/导管插入/气管插管/扩张术,Instrument/catheter/intubate/dilate,器械/导管/插管/扩张,endotracheal intubation; tracheotomy; tympanostomy tube insertion; enema; catheterization; lacrimal dilatation; urethral dilatation; uterine cervical dilatation; artificial rupture of the amniotic membranes; intravenous cannulation,气管插管；气管切开术；鼓膜置管术；灌肠；导尿；泪道扩张术；尿道扩张术；宫颈扩张术；人工破膜；静脉穿刺,implantation of a hormone or long acting drug ,激素或长效药物的植入,,,incision/drainage/flushing/aspiration/removal body fluid ,切开/引流/冲洗/抽吸/移除体液,,,
-54,process,-.3,Repair/fixation-suture/cast/prosthetic device (apply/remove),修复/固定-缝合/石膏/假体装置(应用/移除),Repair/fix-suture/cast/prosth device,修复/缝合/石膏/矫形装置,suture/stitches; surgical glue; strip-plaster; strapping for sprains; treatment of luxation; treatment of fracture; orthopaedic prosthetic(s); brace(s); orthose(s); strapping; sling; hernia support; hearing aids and device(s); visual aids and device(s); technical aids and device(s); denture(s); implantation of a hormone or long acting drug; vaginal pessary/IUD; pacemaker; stent,缝合线/缝针；手术胶水；创可贴；关节扭伤绷带；脱位治疗；骨折治疗；骨科假体；支具；矫形器；绑扎；吊带；疝气支撑；助听器及装置；视力辅助器具及装置；技术辅助器具及装置；义齿；激素或长效药物植入；阴道栓剂/宫内节育器；起搏器；支架,amputation ,截肢,,,,,"In this rubric is included also devices, which are not prosthetic devices. Insertion of IUD should not be used as a problem label, but only as a process code. The problem should be coded with ",在此栏目中还包括非矫形器具的设备。宫内节育器的放置不应作为问题标签使用，而仅作为过程代码使用。问题应编码为,
-55,process,-.3,Local injection/infiltration,局部注射/浸润,Local injection/infiltration,局部注射/浸润,epidural injection; skin injection; subcutaneous tissue injection; intramuscular injection; intravenous injection; joint injection; bursa injection; tendon sheath injection; sclerosing injection for varices; nerve block,epidural 注射；皮肤注射；皮下组织注射；肌肉注射；静脉注射；关节内注射；滑囊注射；腱鞘注射；静脉曲张硬化注射；神经阻滞,vaccination ,疫苗接种,,,,,Double code with ,双重编码与,
-56,process,-.3,Dressing/pressure/compression/tamponade,换药/压力/压缩/填塞,Dressing/pressure/compress/tamponade,换药/压力包扎/压迫/填塞,application of an eye pad; support bandage; wound bandage,眼部敷料应用；支撑绷带；伤口敷料,applying strip-plaster ,"贴敷药膏布-strip-plaster是指医用胶带或膏药形式的外用药物应用方式，但根据要求直接翻译术语：

贴敷剂",,,repair/fixation-suture/cast/prosthetic device ,修复/固定-缝合/石膏/假体装置,,,
-57,process,-.3,Physical medicine/rehabilitation,物理医学/康复,Physical medicine/rehabilitation,物理医学/康复,chiropractic physiotherapy/ergotherapy/podiatry/strength/physical medicine/rehabilitation; fitness training; muscle exercise; speech therapy; specific disability rehabilitation; using heat/cold/ultrasound/electrical current for therapeutic purposes,脊椎疗法/物理治疗/作业治疗/足病治疗/力量训练/物理医学/康复；健身训练；肌肉锻炼；言语治疗；特定残疾康复；使用热疗/冷疗/超声波/电疗等进行治疗目的,psychosocial (drug or alcohol) rehabilitation ,心理社会（药物或酒精）康复,,,,,,,
-58,process,-.3,Therapeutic counselling/listening,治疗性咨询/倾听,Therapeutic counselling/listening,治疗性咨询/倾听,motivational interview; supportive psychotherapy; counselling for a specific disease,动机访谈；支持性心理治疗；针对特定疾病的咨询,observation/health education/advice/diet ,观察/健康教育/建议/饮食,"counselling/listening by the provider with a specific therapeutic aim for a patient to be able to cope with his/her disease, in a more detailed fashion than a simple advice",提供者以特定治疗目标与患者进行咨询/倾听，帮助患者更好地应对疾病，详细程度超过简单的建议,physical medicine/rehabilitation ,物理医学/康复,"Counselling: a term used to describe a process of consultation and discussion in which one individual (the councellor) listens and offers guidance or advice to another who is experiencing difficulties (the patient). The counsellor does not direct or make decisions for the client. The general aim is to solve problems, increase awareness, and promote constructive exploration of difficulties so that the future may be approached more confidently and more constructively.",咨询：描述一种咨询和讨论的过程，在此过程中一位个体（咨询师）倾听并为遇到困难的另一方提供指导或建议（患者）。咨询师不会为来访者做决定或指挥。一般目的是解决问题，增加意识，并促进对困难的建设性探索，以便更加自信和有建设性地面对未来。,
-59,process,-.3,Other therapeutic procedure/minor surgery NEC,其他治疗程序/小手术 NEC,Other therap proced/minor surg NEC,其他治疗程序/小型手术 NEC,cardiopulmonary resuscitation; oxygen therapy; acupuncture; removal of foreign body; blood transfusion; plastic surgery; transplantation; dialysis; delivery/ caesarean section/major surgery,心肺复苏；氧气治疗；针灸；异物取出；输血；整形手术；移植；透析；分娩/剖宫产/大手术,,,,,,,,,
-60,process,-.4,Result test/procedure,检查结果,Result test/procedure,检查结果,,,,,"results from tests or procedures ordered / performed by the health care provider: blood, imaging, electrical tracing or other",由医护人员开具/执行的检查或程序结果：血液、影像、电图或其他,,,This code can only be used to classify a reason for encounter.,此编码仅用于分类就诊原因。,
-61,process,-.4,Result examination/test/record/letter from other provider,其他提供者的检查/检验/记录/信件结果,Result exam/test/lett oth provider,其他提供者的检查/试验/报告结果,,,,,results from tests or procedures ordered /performed by other health care providers,其他医疗卫生提供者开具/执行的检查或操作的结果,,,This code can only be used to classify a reason for encounter.,此编码仅用于分类就诊原因。,
-62,process,-.5,Administrative procedure,行政程序,Administrative procedure,行政程序,"certificates (e.g. sick leave/driver´s licence/death); questionnaire ; billing issues, health record issues; filling in documents or forms",证明文件（例如病假/驾驶执照/死亡证明）；问卷；收费问题，健康记录问题；填写文档或表格,medical examination/health evaluation complete ,医学检查/健康评估完成,"this code is designed to classify those instances where provision of a written document or form by the provider for the patient or agency is warranted by existing regulations, laws or customs.",此编码设计用于分类那些根据现有法规、法律或惯例，由提供者为患者或机构提供书面文件或表格的情况。,,,,,
-63,process,-.6,Follow-up encounter unspecified,随访就诊未特指,Follow-up encounter unspecified,随访就诊未特指,,,,,encounter which was recommended by a health care provider as a follow-up encounter,由医疗保健提供者推荐的随访就诊 encounters which were recommended by a healthcare provider as follow-up encounters,,,This code can only be used to classify a reason for encounter.,此编码仅用于分类就诊原因。,
-64,process,-.6,Encounter/problem initiated by provider,医师发起的就诊/问题,Encounter/prob initiated by provider,医师发起的就诊/问题启动,"the patient is told to return for additional management; problem managed by the provider, that was not on the patient’s agenda",患者被告知需回访以进行进一步管理；由提供者处理而不在患者的议程上的问题,exams requested by a third party ,第三方要求的检查项目,,,,,This code can only be used to classify a reason for encounter.,此编码仅用于分类就诊原因。,
-65,process,-.6,Encounter/problem initiated by other than patient/provider,非患者/提供者发起的就诊/问题,Enc/prob init by other than pt/prov,ENC/PROB 初始由除患者/提供者以外的原因引起,,,exams requested by a third party ,第三方要求的检查项目,encounter requested by a third party,第三方要求的就诊记录,,,"This code can only be used to classify a reason for encounter. If the patient is unable to state the reason for encounter, use the reason stated by the accompanying person.",此编码仅用于分类就诊原因。如果患者无法说明就诊原因，则使用陪同人员所述的原因。,
-66,process,-.6,Referral to other provider/nurse/therapist/social worker,转诊至其他提供者/护士/治疗师/社工,Referral to non-md provider,转诊至非医师提供者,referral to nurse/physiotherapist/occupational therapist/chiropodist/ orthodontist/chiropractor/optician/midwife/dietician/dentist/home health worker/social worker/psychologist,转诊至护士/物理治疗师/职业治疗师/足病医生/牙科矫正医师/脊骨疗法医师/验光师/助产士/营养师/牙医/家庭保健工作者/社会工作者/心理学家,referral to physician ,转诊至医师,,,"If the provider performs the service by himself, consider using codes -50-59.",如果提供者亲自执行服务，考虑使用编码 -50-59。,,,
-67,process,-.6,Referral to physician/specialist/clinic/hospital,转诊至医师/专科医生/诊所/医院,Referral to physician/hospital,转诊至医师/医院,referral to another GP/FP/specialist; referral to disease-specific out-/in-patient clinics,转诊至其他全科医生/家庭医生/专科医生；转诊至特定疾病的门诊/住院诊所,referral to institution for rehabilitation ,康复机构转诊,,,,,,,
-68,process,-.6,Other referral NEC,其他转诊 NEC,Other referral NEC,其他转诊 NEC,"referral to service outside the regular health service (e.g. patient associations, unemployment services); referral to nursing home/hospice; referral to service for rehabilitation",转诊至常规医疗服务以外的服务（例如患者协会、失业服务等）；转诊至护理院/临终关怀机构；转诊至康复服务机构,referral to other provider/nurse/therapist/social worker ,转诊至其他提供者/护士/治疗师/社工,,,,,,,
-69,process,-.6,Other reason for encounter NEC,其他就诊原因 NEC,Other reason for encounter NEC,其他就诊原因 NEC,,,,,,,,,"This code can only be used to classify a reason for encounter. If the patient is unable to state the reason for encounter, use the reason stated by the accompanying person.",此编码仅用于分类就诊原因。如果患者无法说明就诊原因，则使用陪同人员所述的原因。,
A01,symptom,A.1,Pain general/multiple sites,多处疼痛,Pain general/multiple sites,多处疼痛,chronic general pain; multiple aches,慢性广泛疼痛；多处痛症,,,,,,,,,R52.0; R52.1; R52.2; R52.9
A02,symptom,A.1,Chills,寒战,Chills,寒战,rigors; shivers,阵寒；战栗,fever ,发热,,,,,,,R68.8
A03,symptom,A.1,Fever,发热,Fever,发热,pyrexia,发热,fever with rash ,发热伴皮疹,,,,,,,R50.8; R50.9
A04,symptom,A.1,Weakness/tiredness general,乏力/疲倦（全身）,Weakness/tiredness general,乏力/疲倦（全身）,chronic fatigue syndrome; exhaustion; fatigue; lassitude; lethargy; postviral fatigue,慢性疲劳综合征；耗竭；疲劳；乏力；懒散；病毒后疲劳,malaise/feeling ill ,乏力/自觉不适,,,,,,,G93.3; R53
A05,symptom,A.1,Feeling ill,自觉不适,Feeling ill,自觉不适,malaise,乏力,senescence/senility ,衰老/老年期,,,,,,,R53
A06,symptom,A.1,Fainting/syncope,晕厥,Fainting/syncope,晕厥,blackout; collapse; vasovagal attack,晕厥；休克；血管迷走神经性发作,coma ,昏迷,,,,,,,R55
A07,symptom,A.1,Coma,昏迷,Coma,昏迷,stupor,昏迷状态,syncope ,晕厥,,,,,,,R40.0; R40.1; R40.2
A08,symptom,A.1,Swelling,肿胀,Swelling,肿胀,lump; mass NOS,肿块 NOS,enlarged lymph gland ,肿大的淋巴结,,,,,,,R68.8
A09,symptom,A.1,Sweating problem,汗出异常,Sweating problem,汗出异常,"hyperhydrosis, diffuse and localised",多汗症，弥漫性和局灶性,sweat gland disease ,汗腺疾病,,,,,,,R61.0; R61.1; R61.9
A10,symptom,A.1,Bleeding/haemorrhage NOS,出血/血肿 NOS,Bleeding/haemorrhage NOS,出血/血肿 NOS,bleeding/haemorrhage not just from one site/organ,出血/血肿不仅来自一个部位/器官,,,,,,,,,R58
A11,symptom,A.1,Chest pain NOS,胸痛 NOS,Chest pain NOS,胸痛 NOS,,,pain attributed to heart ,心源性疼痛,,,,,,,R07.4
A13,symptom,A.1,Concern about/fear of medical treatment,对医疗治疗的担忧/恐惧,Concern/fear medical treatment,担忧/恐惧医疗治疗,concern about/fear of the consequences of drug/medical treatment,,adverse effect of drug ,药物不良反应,,,,,,,Z71.1
A16,symptom,A.1,Irritable infant,易激惹婴儿,Irritable infant,易激惹婴儿,excessively crying/restless infant,易怒/哭闹的婴儿,infantile colic ,婴儿肠绞痛,,,,,,,R68.1
A18,symptom,A.1,Concern about appearance,外观担忧,Concern about appearance,外观担忧,,,concern about appearance of ears ,耳外形的关注,,,,,,,R46.8
A20,symptom,A.1,Euthanasia request/discussion,euthanasia请求/讨论,Euthanasia request/discussion,euthanasia请求/讨论,,,,,,,,,,,Z71.8
A21,symptom,A.1,Risk factor for malignancy,恶性肿瘤的风险因素,Risk factor for malignancy,恶性肿瘤的风险因素,other risk factor for malignancy; past treatment of malignancy; personal/family history of malignancy,其他恶性肿瘤的风险因素；既往恶性肿瘤治疗史；个人/家族恶性肿瘤病史,,,,,,,,,Z80.0; Z80.1; Z80.2; Z80.3; Z80.4; Z80.5; Z80.6; Z80.7; Z80.8; Z80.9; Z85.0; Z85.1; Z85.2; Z85.3; Z85.4; Z85.5; Z85.6; Z85.7; Z85.8; Z85.9; Z92.6
A23,symptom,A.1,Risk factor NOS,未特指的风险因素 NOS,Risk factor NOS,未特指的风险因素 NOS,contact with infectious disease; other risk factor for other disease; personal/family history for other disease; previous episode for other disease,接触传染病；其他疾病的其他危险因素；其他疾病的个人/家族史；其他疾病的既往发作史,risk factor for malignancy ,恶性肿瘤的风险因素,,,,,,,Z20.0; Z20.1; Z20.2; Z20.3; Z20.4; Z20.5; Z20.6; Z20.7; Z20.8; Z20.9; Z28.0; Z28.1; Z28.2; Z28.8; Z28.9; Z72.0; Z72.1; Z72.2; Z72.3; Z72.4; Z72.5; Z73.2; Z81.0; Z81.1; Z81.2; Z81.3; Z81.4; Z81.8; Z82.0; Z82.1; Z82.2; Z82.5; Z82.6; Z82.7; Z82.8; Z83.0; Z83.1; Z83.2; Z83.3; Z83.4; Z83.5; Z83.6; Z83.7; Z84.0; Z84.1; Z84.2; Z84.3; Z84.8; Z86.0; Z86.1; Z86.2; Z86.3; Z86.4; Z86.5; Z86.6; Z87.0; Z87.1; Z87.2; Z87.3; Z87.4; Z87.5; Z87.6; Z87.7; Z87.8; Z88.0; Z88.1; Z88.2; Z88.3; Z88.4; Z88.5; Z88.6; Z88.7; Z88.8; Z88.9; Z91.0; Z91.1; Z91.2; Z91.3; Z91.4; Z91.5; Z91.6; Z91.7: Z91.8; Z92.0; Z92.1; Z92.2; Z92.3; Z92.4; Z92.5; Z92.8; Z92.9
A25,symptom,A.1,Fear of death/dying,死亡恐惧症,Fear of death/dying,死亡恐惧症,,,,,,,,,,,Z71.1
A26,symptom,A.1,"Fear of cancer, NOS",恐癌症，NOS,"Fear of cancer, NOS",恐癌症，NOS,,,"if the patient has cancer, code the disease",如果患者有癌症，编码疾病,concern about/fear of cancer not related to a specific chapter in a patient without the disease/until the diagnosis is proven,癌恐症，指患者在未确诊前对罹患癌症的担忧/恐惧,,,,,Z71.1
A27,symptom,A.1,Fear of other disease NOS,其他疾病恐惧症 NOS,Fear of other disease NOS,其他疾病恐惧症 NOS,,,fear of cancer NOS ,恐癌症 NOS,concern about/fear of an other disease not related to a specific chapter in a patient without the disease/until the diagnosis is proven,疑虑/恐惧其他无关特定章节的疾病（患者无该病/直到诊断证实）,,,,,Z71.1
A28,symptom,A.1,Limited function/disability NOS,限功能/残疾 NOS,Limited function/disability NOS,限功能/残疾 NOS,,,falls ,跌倒,limitation of function/disability not related to a problem in any other chapter,功能障碍/残疾，与任何其他章节中的问题无关,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,R26.3; R29.6; Z73.6; Z74.0; Z74.1; Z74.2; Z74.3; Z74.8; Z74.9; Z99.0; Z99.3; Z99.8; Z99.9
A29,symptom,A.1,General symptom/complaint other,一般症状/主诉其他,General symptom/complaint other,一般症状/主诉其他,Clumsiness; drowsiness; falls; somnolence,笨拙；嗜睡；跌倒；昏睡,,,,,,,,,R68.0; R68.8
