HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）
HP:0000012,Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.","Urinary urgency is the strong, sudden need to urinate and is usually due to bladder spasms or contractions. This symptom is suggestive of, but not necessarily conclusive for urodynamically demonstrable detrusor hyperactivity.",Urinary urgency; Urgent micturition; Overactive bladder,Urgency frequency syndrome; Overactive bladder syndrome,HP:0000009,,是,,否,,,SNOMEDCT_US:75088002; UMLS:C0085606; UMLS:C3544092; UMLS:C4020898
HP:0000013,Hypoplasia of the uterus,Underdevelopment of the uterus.,,Underdeveloped uterus; Hypoplastic uterus; Rudimentary uterus; Small uterus,,HP:0008684,,是,HP:0001154; HP:0008637,否,,,SNOMEDCT_US:35850006; UMLS:C0266399
HP:0000014,Abnormality of the bladder,An abnormality of the urinary bladder.,,,,HP:0010936,HP:0000009,否,,否,,,UMLS:C0149632
HP:0000015,Bladder diverticulum,Diverticulum (sac or pouch) in the wall of the urinary bladder.,,Bladder diverticula,,,HP:0008691; HP:0012619,否,,否,,,SNOMEDCT_US:197866008; UMLS:C0156273
HP:0000016,Urinary retention,Inability to completely empty the urinary bladder during the process of urination.,Urinary retention is the inability of the urinary bladder to empty. The cause may be neurologic or nonneurologic.,Increased post-void residual urine volume,,HP:0000009,,是,,否,,,SNOMEDCT_US:130951007; SNOMEDCT_US:267064002; SNOMEDCT_US:449491000124101; UMLS:C0080274
HP:0000017,Nocturia,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,Often occurring as a result of heart insufficiency.,Nycturia,,HP:0000009,,是,,否,,,SNOMEDCT_US:139394000; UMLS:C0028734
HP:0000019,Urinary hesitancy,Difficulty in beginning the process of urination.,,Difficulty with flow,,HP:0000009,,是,,否,,,SNOMEDCT_US:5972002; UMLS:C0152032
HP:0000020,Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,Urinary incontinence can be defined as the complaint of any involuntary leakage of urine.,Loss of bladder control; Bladder incontinence,,HP:0000009,HP:0010992,否,HP:0006942; HP:0008681,否,,,SNOMEDCT_US:165232002; UMLS:C0042024
HP:0000021,Megacystis,Dilatation of the bladder postnatally.,,,,HP:0010955,,是,HP:0002838,否,,,UMLS:C1855311
HP:0000022,Abnormal male internal genitalia morphology,An abnormality of the male internal genitalia.,"The internal genital structures of the male including the testis, epididymis, vas deferens, seminal vesicle, ejaculatory duct, bulbourethral gland, and the prostate.",,,HP:0010461; HP:0000812,HP:0008775; HP:0009714; HP:0012872,否,,否,,,UMLS:C4025899
HP:0000023,Inguinal hernia,Protrusion of the contents of the abdominal cavity through the inguinal canal.,Inguinal hernia appears as a bulge in the groin.,,,HP:0004299,,是,,否,,,MEDDRA:10022016; SNOMEDCT_US:396232000; UMLS:C0019294
HP:0000024,Prostatitis,The presence of inflammation of the prostate.,,Inflammation of the prostate,,HP:0008775; HP:0012649,,是,,否,,,SNOMEDCT_US:9713002; UMLS:C0033581
HP:0000025,Functional abnormality of male internal genitalia,,,,,HP:0012874,HP:0000026; HP:0008669,否,,否,,,UMLS:C4025898
HP:0000026,Male hypogonadism,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",,Decreased function of male gonad,,HP:0000135; HP:0000025,,是,HP:0008649,否,,,SNOMEDCT_US:48723006; UMLS:C0151721
HP:0000027,Azoospermia,"Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.",,Absent sperm in semen,,HP:0008669,HP:0011961; HP:0011962; HP:0011963,否,,否,,,SNOMEDCT_US:425558002; SNOMEDCT_US:48188009; UMLS:C0004509
HP:0000028,Cryptorchidism,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.","The gonad is mobile and can be retracted superiorly by the cremaster muscle reflex stimulated, for instance, by cold or touch. A retracted testis is not cryptorchidism. An abdominal testis cannot be distinguished by physical examination from an (Apparently) absent testis and requires radiological (or, rarely, surgical) procedures for assessment.",Undescended testis; Undescended testes; Cryptorchism,,HP:0000035,HP:0008689; HP:0012741,否,HP:0000797,否,,,Fyler:4493; SNOMEDCT_US:204878001; UMLS:C0010417
HP:0000029,Testicular atrophy,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,,Testicular degeneration,,HP:0000035,,是,,否,,,SNOMEDCT_US:17585008; UMLS:C0156312
HP:0000030,Testicular gonadoblastoma,The presence of a gonadoblastoma of the testis.,,,"Gonadoblastoma, male",HP:0010788; HP:0000150,,是,,否,,,NCIT:C3754; UMLS:C1515283
HP:0000031,Epididymitis,The presence of inflammation of the epididymis.,,,,HP:0012649; HP:0009714,,是,,否,,,SNOMEDCT_US:31070006; UMLS:C0014534
HP:0000032,Abnormal male external genitalia morphology,Any structural abnormality of male external genitalia.,,Abnormality of male external genitalia,,HP:0010461; HP:0000811,HP:0000033; HP:0000035; HP:0000036; HP:0000037; HP:0000045; HP:0000050; HP:0008730; HP:0100848,否,,否,,,UMLS:C4025897
HP:0000033,"Ambiguous genitalia, male",Ambiguous genitalia in an individual with XY genetic gender.,,Ambiguous genitalia in males,,HP:0000062; HP:0000032,,是,,否,,,UMLS:C4021823
HP:0000034,Hydrocele testis,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,,Testicular hydrocele,,HP:0000035,HP:0100673,否,,否,,,SNOMEDCT_US:26614003; SNOMEDCT_US:386152007; SNOMEDCT_US:55434001; UMLS:C1720771
HP:0000035,Abnormal testis morphology,An anomaly of the testicle (the male gonad).,,Anomaly of the testes; Abnormality of the testis,,HP:0000032,HP:0000028; HP:0000029; HP:0000034; HP:0008720; HP:0008733; HP:0010470; HP:0010788; HP:0010789; HP:0012215; HP:0012646; HP:0012860; HP:0012870; HP:0100796; HP:0100813,否,,否,,,SNOMEDCT_US:55631001; UMLS:C0266423
HP:0000036,Abnormal penis morphology,Abnormality of the male external sex organ.,,Abnormality of the penis,,HP:0000032,HP:0000040; HP:0008708; HP:0008736; HP:0100587; HP:0100599; HP:0100600; HP:0100623; HP:0100850,否,,否,,,UMLS:C4025896
HP:0000037,Male pseudohermaphroditism,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",,,,HP:0000032,HP:0008656,否,,否,,,SNOMEDCT_US:111332007; UMLS:C0238395
HP:0000039,Epispadias,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.","Epispadias may be present in a phenotypic male, female, or an individual with ambiguous genitalia. A meatus in a phenotypic male may be positioned either on the glans (glandular or balanic epispadias), the shaft (penile epispadias) or at the attachment of the penis to the abdominal wall (penopubic epispadias). Alternatively, the urethra may be an open groove along the dorsal shaft of the penis, with no readily recognized meatus. Epispadias is a frequent component of Bladder exstrophy, but should be coded separately.",,,HP:0100627,,是,,否,,,SNOMEDCT_US:406477003; UMLS:C0563449
HP:0000040,Long penis,Penile length more than 2 SD above the mean for age.,"Penile length is the distance between the midline attachment of the gently stretched, flaccid penis above the pubic symphysis and tip of the glans.",Enlarged penis; Long penis,,HP:0000036,,是,,否,,,SNOMEDCT_US:88673001; UMLS:C0269011
HP:0000041,Chordee,"A congenital anomaly of the penis characterized by ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees.","The degree of variation of penis curvature is a continuum, but traditionally 30 degrees is considered the threshold for surgical intervention on chordee. Bowing usually becomes more obvious in an erect penis, but is frequently also palpable when stretching a flaccid penis. Chordee can be congenital or acquired; if the former, it can be associated with Webbed Penis or Hypospadias, which should be coded separately.",,,,,是,,否,,,SNOMEDCT_US:4287008; UMLS:C0221182
HP:0000042,Absent external genitalia,Lack of external genitalia in a male or female individual.,,Absent external genitalia,,HP:0000811,,是,,否,,,UMLS:C1848869
HP:0000044,Hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,,Hypogonadotrophic hypogonadism; Low gonadotropins (secondary hypogonadism),Isolated hypogonadotropic hypogonadism,HP:0000135,,是,HP:0003335; HP:0008224,否,,,SNOMEDCT_US:33927004; UMLS:C0271623; UMLS:C3489396
HP:0000045,Abnormal scrotum morphology,"Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord.",,Abnormality of the scrotum,,HP:0000032,HP:0000046; HP:0000048; HP:0000049; HP:0003246; HP:0008707; HP:0012855; HP:0012856; HP:0012871; HP:0100600; HP:0100674; HP:0100675; HP:0100676; HP:0100849,否,,否,,,UMLS:C4025895
HP:0000046,Small scrotum,Apparently small scrotum for age.,"A small scrotum is often accompanied by Cryptorchidism which should be coded separately. The size of the scrotum is dependent on the ambient temperature: a low temperature may cause the testes to retract, leading to the false impression of a small scrotum.",Smaller than typical growth of scrotum; Hypoplastic scrotum; Underdeveloped scrotum; Scrotal hypoplasia,,HP:0000050; HP:0000045,,是,HP:0030276,否,,,SNOMEDCT_US:204912007; UMLS:C0431659
HP:0000047,Hypospadias,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",,Hypospadia,,HP:0100627,HP:0000051; HP:0000808; HP:0003244; HP:0012853,否,,否,,,Fyler:4504; SNOMEDCT_US:204888000; UMLS:C1691215
HP:0000048,Bifid scrotum,Midline indentation or cleft of the scrotum.,A testis may or may not be present in each half of the scrotum.,Scrotal cleft; Cleft of scrotum,,HP:0000045,,是,,否,,,SNOMEDCT_US:236780002; UMLS:C0341787
HP:0000049,Shawl scrotum,Superior margin of the scrotum superior to the base of the penis.,"A congenital overriding scrotum may disappear with growth and development, especially during puberty. If the entire scrotum is located superior to the penis, the term Penoscrotal transposition is used instead.",Overriding scrotum; Scrotum surrounds penis,,HP:0000045,,是,,否,,,UMLS:C1858539
HP:0000050,Hypoplastic male external genitalia,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).",,Underdeveloped male genitalia; Small male external genitalia; Hypoplastic male genitalia,,HP:0000032; HP:0003241,HP:0000046; HP:0008734; HP:0008736,否,HP:0008710; HP:0008721,否,,,UMLS:C1852534
HP:0000051,Perineal hypospadias,Hypospadias with location of the urethral meatus in the perineal region.,,,,HP:0000047,,是,,否,,,SNOMEDCT_US:204890004; UMLS:C0452148
HP:0000052,"Urethral atresia, male",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,,,,HP:0000068,,是,,否,,,UMLS:C4025894
HP:0000053,Macroorchidism,The presence of abnormally large testes.,,Large testis; Large testicles,,,HP:0002050; HP:0008640,否,,否,,,UMLS:C1263023
HP:0000054,Micropenis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.",,Short penis; Small penis,,HP:0008736,,是,HP:0000038,否,,,SNOMEDCT_US:34911001; UMLS:C4551492
HP:0000055,Abnormal female external genitalia morphology,Any structural abnormality of the female external genitalia.,,Abnormality of female external genitalia; Abnormal female external genitalia,,HP:0010460; HP:0000811,HP:0000056; HP:0000058; HP:0000061; HP:0000067; HP:0010458; HP:0012815; HP:0100677,否,,否,,,UMLS:C4021822
HP:0000056,Abnormal clitoris morphology,Any structural abnormality of the clitoris.,,Abnormality of the clit; Abnormality of the clitoris,,HP:0000055,,是,,否,,,UMLS:C4025893
HP:0000058,Abnormal labia morphology,"An anomaly of the labia, the externally visible portions of the vulva.",,Abnormality of the labia,,HP:0000055,HP:0000065; HP:0000066; HP:0012880; HP:0012881,否,,否,,,UMLS:C4025892
HP:0000059,Hypoplastic labia majora,Undergrowth of the outer labia.,,Small labia majora; Hypoplasia of labia majora; Underdeveloped vaginal lips,,HP:0012881; HP:0000066,,是,,否,,,SNOMEDCT_US:289469003; UMLS:C0566899
HP:0000060,Clitoral hypoplasia,Developmental hypoplasia of the clitoris.,,Underdeveloped clit; Small clitoris; Hypoplastic clitoris,,HP:0012815,,是,,否,,,UMLS:C1844527
HP:0000061,"Ambiguous genitalia, female",Ambiguous genitalia in an individual with XX genetic gender.,,Atypical appearance of female genitals,Ambiguous genitalia due to virilization,HP:0000062; HP:0000055,,是,HP:0008690,否,,,UMLS:C1859980; UMLS:C4025891
HP:0000062,Ambiguous genitalia,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,"Note that this term can include or combine variations in size and shape, with partial or complete absence of structures. It is preferable to describe the individual components, which are defined below. It is nonetheless a widely used bundled term and as such is retained here. The distinction of this finding from a marked degree of Hypospadias is an example of how this term can be problematic. Genetic gender is determined at fertilization, whereby the presence of a Y chromosome determines male gender. Normally, genetic gender determines gonadal gender which in turn determines phenotypic gender. Testicular development is an active process requiring expression of the primary testis determining gene SRY, which is located on the Y chromosome.",Ambiguous external genitalia at birth; Intersex genitalia; Ambiguous external genitalia,,HP:0000811,HP:0000033; HP:0000061; HP:0003248; HP:0010459; HP:0012861,否,HP:0008685; HP:0008693,否,,,SNOMEDCT_US:21321009; UMLS:C0266362
HP:0000063,Fused labia minora,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,,Fused inner lips,,HP:0012880,,是,,否,,,UMLS:C1837532
HP:0000064,Hypoplastic labia minora,,,Underdeveloped inner lips,,HP:0000066; HP:0012880,,是,,否,,,UMLS:C1849295
HP:0000065,Labial hypertrophy,,,Enlargement of the vaginal lips; Enlarged vaginal lips; Enlargement of the labia,,HP:0000058,HP:0008683; HP:0008739,否,,否,,,SNOMEDCT_US:16924008; UMLS:C0404531
HP:0000066,Labial hypoplasia,,,Hypoplastic labia; Underdeveloped labia,,HP:0012815; HP:0000058,HP:0000059; HP:0000064,否,,否,,,UMLS:C1850325
HP:0000067,"Urethral atresia, female",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,,,,HP:0000068; HP:0000055,,是,,否,,,UMLS:C4025890
HP:0000068,Urethral atresia,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,,Absent urethral opening; Urethral opening absent,,HP:0000795,HP:0000052; HP:0000067,否,,否,,,UMLS:C1610065
HP:0000069,Abnormality of the ureter,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,,Ureter issue; Abnormality of the ureters; Ureteral anomalies,,HP:0010935,HP:0100516,否,HP:0006001,否,,,UMLS:C1840382
HP:0000070,Ureterocele,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,,,,,,是,,否,,,SNOMEDCT_US:12818004; UMLS:C0041960
HP:0000071,Ureteral stenosis,"The presence of a stenotic, i.e., constricted ureter.",,Ureteric stenosis; Narrowing of the ureter,,HP:0006000,HP:0000074; HP:0008714,否,,否,,,SNOMEDCT_US:95574003; UMLS:C0521618
HP:0000072,Hydroureter,The distention of the ureter with urine.,,Swelling of ureter; Wide ureter; Ureteral dilatation; Dilated ureter; Megaureter,Uroureter,,HP:0008676,否,HP:0006003,否,,,SNOMEDCT_US:69758005; SNOMEDCT_US:95576001; UMLS:C0521620; UMLS:C4020897
HP:0000073,Ureteral duplication,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",,Double ureter,,,HP:0008705; HP:0012571; HP:0012572,否,,否,,,SNOMEDCT_US:49496001; UMLS:C0221365
HP:0000074,Ureteropelvic junction obstruction,Blockage of urine flow from the renal pelvis to the proximal ureter.,,Ureteropelvic junction stenosis; Pelviureteric junction obstruction,,HP:0000071,,是,,否,,,SNOMEDCT_US:95575002; UMLS:C0521619
HP:0000075,Renal duplication,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.",,Duplex kidney; Duplicated kidney; Extra kidney,Supernumerary kidney,HP:0012210; HP:0005217,HP:0005580; HP:0008738,否,,否,,2008-02-25T12:45:00Z,SNOMEDCT_US:30275001; UMLS:C0266298
HP:0000076,Vesicoureteral reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,,VUR; Vesico-ureteral reflux; Ureteral reflux; Ureteric reflux; Vesicoureteric reflux,,HP:0000009,,是,HP:0005998; HP:0006002; HP:0008667,否,,,Fyler:4510; SNOMEDCT_US:197811007; UMLS:C0042580
HP:0000077,Abnormality of the kidney,An abnormality of the kidney.,The kidney is a paired organ whose primary function is the production of urine.,Renal anomalies; Abnormal kidney; Renal anomaly; Abnormality of the kidney,,HP:0010935,HP:0009726; HP:0012210; HP:0012211,否,,否,,,SNOMEDCT_US:44513007; SNOMEDCT_US:90708001; UMLS:C0022658; UMLS:C0266292
HP:0000078,Abnormality of the genital system,An abnormality of the genital system.,,Genital anomalies; Genital abnormalities; Genital defects; Genital abnormality,Abnormality of the reproductive system,HP:0000119,HP:0000080; HP:0010787; HP:0012243,否,,否,,,UMLS:C0281966; UMLS:C0744356
HP:0000079,Abnormality of the urinary system,An abnormality of the urinary system.,,Urinary tract abnormality; Urinary tract anomalies; Urinary tract abnormalities,,HP:0000119,HP:0000809; HP:0010935; HP:0010936; HP:0011277,否,,否,,,UMLS:C4021821
HP:0000080,Abnormality of reproductive system physiology,An abnormal functionality of the genital system.,,Genital functional abnormality; Abnormality of reproductive system physiology,,HP:0000078,HP:0000135; HP:0000144; HP:0012874,否,,否,,,UMLS:C4020896; UMLS:C4021820
HP:0000081,Duplicated collecting system,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.",,Double collecting system; Duplicated renal collecting system; Double urinary collecting systems on intravenous pyelography; Duplex collecting system,,HP:0004742,,是,,否,,2008-02-25T12:45:00Z,UMLS:C1858565
HP:0000083,Renal insufficiency,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.",,Renal failure; Renal failure in adulthood,,HP:0012211,HP:0001919; HP:0004713; HP:0012622,否,HP:0000084; HP:0004723,否,,,SNOMEDCT_US:236423003; SNOMEDCT_US:42399005; UMLS:C0035078; UMLS:C1565489; UMLS:C1839604
HP:0000085,Horseshoe kidney,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,,Horseshoe kidney; Horseshoe kidneys,,HP:0100542,,是,,否,,,Fyler:4507; SNOMEDCT_US:41729002; UMLS:C0221353
HP:0000086,Ectopic kidney,A developmental defect in which a kidney is located in an abnormal anatomic position.,,Displaced kidney; Abnormal kidney location; Renal ectopia; Ectopic kidneys,,HP:0100542,HP:0000125; HP:0004736,否,,否,,,SNOMEDCT_US:16507009; UMLS:C0238207
HP:0000089,Renal hypoplasia,Hypoplasia of the kidney.,"Oligomeganephronic renal hypoplasia differs from simple hypoplasia, in which the renal mass is reduced but the number of nephrons is normal.",Hypoplastic kidney; Underdeveloped kidneys; Small kidneys; Hypoplastic kidneys,,HP:0008678,HP:0012583; HP:0012584,否,HP:0001968; HP:0004741; HP:0008641,否,,,SNOMEDCT_US:32659003; UMLS:C0266295
HP:0000090,Nephronophthisis,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,Nephronophthisis is here regarded as a phenotypic feature. The disease of the same name results in progressive symmetrical destruction of the kidneys involving both the tubules and glomeruli.,juvenile nephronophthisis,,HP:0100957,,是,HP:0004748,否,,,SNOMEDCT_US:204958008; UMLS:C0687120
HP:0000091,Abnormal renal tubule morphology,An abnormality of the renal tubules.,"The renal tubules are reabsorptive canals that are involved in the secreting, collecting, and conducting of the urine.",Abnormality of the renal tubule; Morphologic abnormality of the renal tubules,,HP:0012575,HP:0001969; HP:0008660; HP:0008682,否,,否,,,UMLS:C4021826
HP:0000092,Renal tubular atrophy,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.","Atrophic tubules must be distinguished from acute tubular injury as both can show extensive tubular epithelial changes. In acute tubular injury, tubules are often dilated and tubular basement membranes are smooth and maintain normal thickness, in contrast to the contracted tubules with thickened and wrinkled tubular basement membranes of tubular atrophy. Further, in acute tubular injury, tubules are usually back-to-back or mildly separated by interstitial edema, while in tubular atrophy tubules can be separated by interstitial fibrosis. Uniform thickening of tubular basement membranes without shrinkage and otherwise healthy epithelial cells can be seen in diabetic nephropathy. Duplication, or lamellation, thickening, and disruption of tubular basement membranes with tubular dilatation can be seen in medullary cystic kidney disease/nephronophthisis.",Tubular atrophy; Renal tubular cell atrophy,,,,是,HP:0005578,否,,,UMLS:C1858395
HP:0000093,Proteinuria,Increased levels of protein in the urine.,,High urine protein levels; Protein in urine,,,HP:0003126; HP:0012593; HP:0012595; HP:0012596; HP:0012597,否,,否,,,SNOMEDCT_US:29738008; UMLS:C0033687
HP:0000095,Abnormal renal glomerulus morphology,A structural anomaly of the glomerulus.,"Each human kidney contains approximately one million nephrons. The glomerulus is the most proximal component of the nephron. The glomerulus of the mammalian kidney is a highly developed vascular bed that acts as a filter, allowing a filtrate of small molecules, such as water, sugars, electrolytes and small proteins, to pass through a barrier that retains high molecular weight proteins and cells in the circulation.",Abnormality of renal glomerulus morphology; Morphologic abnormality of the renal glomerulus,,,HP:0000096; HP:0000099; HP:0000111; HP:0001966; HP:0100611; HP:0100820,否,,否,,,UMLS:C4025889
HP:0000096,Glomerular sclerosis,Accumulation of scar tissue within the glomerulus.,,Glomerulosclerosis,,HP:0000095,HP:0000097; HP:0004737,否,HP:0030761,否,,,SNOMEDCT_US:197661001; SNOMEDCT_US:82646005; UMLS:C0178664
