HPO编码,标准名称（英文）,标准名称（中文）,定义（中文）
HP:0000356,Abnormality of the outer ear,外耳异常,
HP:0000357,Abnormal location of ears,耳位异常,
HP:0000358,Posteriorly rotated ears,后旋耳,
HP:0000359,Abnormality of the inner ear,内耳异常,
HP:0000360,Tinnitus,耳鸣,
HP:0000362,Otosclerosis,耳硬化症,
HP:0000363,Abnormal earlobe morphology,耳垂形态异常,
HP:0000364,Hearing abnormality,听力异常,
HP:0000365,Hearing impairment,听力受损,
HP:0000366,Abnormality of the nose,鼻异常,
HP:0000369,Low-set ears,低位耳,
HP:0000370,Abnormality of the middle ear,中耳异常,
HP:0000371,Acute otitis media,急性中耳炎,
HP:0000372,Abnormal auditory canal morphology,耳道形态异常,
HP:0000375,Abnormal cochlea morphology,耳蜗异常,
HP:0000376,Incomplete partition of the cochlea type II,II型耳蜗分隔不全,
HP:0000377,Abnormal pinna morphology,耳廓形态异常,
HP:0000378,Cupped ear,杯状耳,
HP:0000381,Stapes ankylosis,镫骨固定,
HP:0000383,Abnormal periauricular region morphology,耳前区形态异常,
HP:0000384,Preauricular skin tag,耳前皮赘,
HP:0000385,Small earlobe,小耳垂,
HP:0000387,Absent earlobe,耳垂缺如,
HP:0000388,Otitis media,中耳炎,
HP:0000389,Chronic otitis media,慢性中耳炎,
HP:0000391,Thickened helices,耳轮增厚,
HP:0000394,Lop ear,垂耳,
HP:0000395,Prominent antihelix,对耳轮突出,
HP:0000396,Overfolded helix,耳轮过度卷曲,
HP:0000399,Prelingual sensorineural hearing impairment,学语前感音神经性听力受损,
HP:0000400,Macrotia,巨耳畸形,
HP:0000402,Stenosis of the external auditory canal,外耳道狭窄,
HP:0000403,Recurrent otitis media,反复发作型中耳炎,
HP:0000405,Conductive hearing impairment,传导性听力受损,
HP:0000407,Sensorineural hearing impairment,感音神经性听力受损,
HP:0000408,Progressive sensorineural hearing impairment,渐进性感音神经性听力受损,
HP:0000410,Mixed hearing impairment,混合性听力受损,
HP:0000411,Protruding ear,招风耳,
HP:0000413,Atresia of the external auditory canal,外耳道闭锁,
HP:0000414,Bulbous nose,蒜头鼻,
HP:0000415,Abnormal choanae morphology,鼻后孔形态异常,
HP:0000417,Slender nose,鼻细长,
HP:0000418,Narrow nasal ridge,鼻脊狭窄,
HP:0000419,Abnormal nasal septum morphology,鼻中隔形态异常,
HP:0000420,Short nasal septum,鼻中隔短小,
HP:0000421,Epistaxis,鼻衄,
HP:0000422,Abnormal nasal bridge morphology,鼻梁形态异常,
HP:0000426,Prominent nasal bridge,鼻梁突出,
HP:0000429,Abnormal morphology of the nasal alae,鼻翼形态异常,
HP:0000430,Underdeveloped nasal alae,鼻翼发育不全,
HP:0000431,Wide nasal bridge,宽鼻梁,
HP:0000433,Abnormal nasal mucosa morphology,鼻粘膜形态异常,
HP:0000434,Nasal mucosa telangiectasia,鼻粘膜毛细血管扩张,
HP:0000436,Abnormal nasal tip morphology,鼻尖形态异常,
HP:0000437,Depressed nasal tip,鼻尖凹陷,
HP:0000444,Convex nasal ridge,凸鼻嵴,
HP:0000445,Wide nose,宽鼻,
HP:0000446,Narrow nasal bridge,鼻梁狭窄,
HP:0000447,Pear-shaped nose,梨形鼻,
HP:0000448,Prominent nose,鼻前突,
HP:0000451,Triangular nasal tip,三角鼻尖,
HP:0000452,Choanal stenosis,鼻后孔狭窄,
HP:0000453,Choanal atresia,鼻后孔闭锁,
HP:0000454,Flared nostrils,喇叭状鼻孔,
HP:0000455,Broad nasal tip,宽鼻尖,
HP:0000456,Bifid nasal tip,鼻尖裂,
HP:0000457,Depressed nasal ridge,鼻嵴凹陷,
HP:0000458,Anosmia,嗅觉缺失,
HP:0000460,Narrow nose,鼻缩窄,
HP:0000463,Anteverted nares,鼻孔前翻,
HP:0000464,Abnormality of the neck,颈部异常,
HP:0000465,Webbed neck,蹼颈,
HP:0000466,Limited neck range of motion,颈部运动范围受限,
HP:0000467,Neck muscle weakness,颈肌无力,
HP:0000468,Increased adipose tissue around the neck,颈周脂肪组织增多,
HP:0000470,Short neck,短颈,
HP:0000471,Gastrointestinal angiodysplasia,胃肠道血管发育不良,
HP:0000472,Long neck,长颈,
HP:0000473,Torticollis,斜颈,
HP:0000474,Thickened nuchal skin fold,颈部皮肤皱襞增厚,
HP:0000475,Broad neck,宽颈,
HP:0000476,Cystic hygroma,囊状水瘤,
HP:0000478,Abnormality of the eye,眼部异常,
HP:0000479,Abnormal retinal morphology,视网膜形态异常,
HP:0000480,Retinal coloboma,视网膜缺损,
HP:0000481,Abnormal cornea morphology,角膜形态异常,
HP:0000482,Microcornea,小角膜,
HP:0000483,Astigmatism,散光,
HP:0000484,Hyperopic astigmatism,远视散光,
HP:0000485,Megalocornea,巨角膜,
HP:0000486,Strabismus,斜视,
HP:0000488,Retinopathy,视网膜病变,
HP:0000490,Deeply set eye,眼睛深陷,
HP:0000491,Keratitis,角膜炎,
HP:0000492,Abnormal eyelid morphology,眼睑形态异常,
HP:0000493,Abnormal foveal morphology,黄斑中央凹形态异常,
HP:0000494,Downslanted palpebral fissures,下斜睑裂,
HP:0000495,Recurrent corneal erosions,复发性角膜糜烂,
HP:0000496,Abnormality of eye movement,眼球运动异常,
HP:0000497,Globe retraction and deviation on abduction,外展时眼球回缩和偏斜,
HP:0000498,Blepharitis,眼睑炎,
HP:0000499,Abnormal eyelash morphology,睫毛形态异常,
HP:0000501,Glaucoma,青光眼,
HP:0000502,Abnormal conjunctiva morphology,结膜形态异常,
HP:0000503,Tortuosity of conjunctival vessels,结膜血管迂曲,
HP:0000504,Abnormality of vision,视力异常,
HP:0000505,Visual impairment,视觉障碍,
HP:0000506,Telecanthus,内眦距过宽,
HP:0000508,Ptosis,上睑下垂,
HP:0000509,Conjunctivitis,结膜炎,
HP:0000510,Rod-cone dystrophy,杆锥体营养不良,
HP:0000511,Vertical supranuclear gaze palsy,垂直性核上性凝视麻痹,
HP:0000512,Abnormal electroretinogram,视网膜电图异常,
HP:0000514,Slow saccadic eye movements,慢扫视眼球运动,
HP:0000517,Abnormal lens morphology,晶状体形态异常,
HP:0000518,Cataract,白内障,
HP:0000519,Developmental cataract,发育性白内障,
HP:0000520,Proptosis,眼球突出,
HP:0000522,Alacrima,无泪,
HP:0000523,Subcapsular cataract,囊膜下白内障,
HP:0000524,Conjunctival telangiectasia,结膜毛细血管扩张,
HP:0000525,Abnormality iris morphology,虹膜形态异常,
HP:0000526,Aniridia,无虹膜,
HP:0000527,Long eyelashes,长睫毛,
HP:0000528,Anophthalmia,无眼畸形,
HP:0000529,Progressive visual loss,进行性视力下降,
HP:0000531,Corneal crystals,角膜结晶,
HP:0000532,Abnormal chorioretinal morphology,脉络膜视网膜形态异常,
HP:0000533,Chorioretinal atrophy,脉络膜视网膜萎缩,
HP:0000534,Abnormal eyebrow morphology,眉毛形态异常,
HP:0000537,Epicanthus inversus,内眦赘皮倒转,
HP:0000538,Pseudopapilledema,假性视乳头水肿,
HP:0000539,Abnormality of refraction,屈光异常,
HP:0000540,Hypermetropia,远视,
HP:0000541,Retinal detachment,视网膜脱离,
HP:0000542,Impaired ocular adduction,眼内收障碍,
HP:0000543,Optic disc pallor,视盘苍白,
HP:0000544,External ophthalmoplegia,眼外肌麻痹,
HP:0000545,Myopia,近视,
HP:0000546,Retinal degeneration,视网膜变性,
HP:0000548,Cone/cone-rod dystrophy,锥杆细胞营养不良,
HP:0000549,Abnormal conjugate eye movement,眼球共轭运动异常,
HP:0000550,Undetectable electroretinogram,视网膜电流图熄灭型,
HP:0000551,Color vision defect,色觉缺陷,
HP:0000552,Tritanomaly,蓝色弱,
HP:0000553,Abnormal uvea morphology,葡萄膜形态异常,
HP:0000554,Uveitis,葡萄膜炎,
HP:0000555,Leukocoria,白瞳症,
HP:0000556,Retinal dystrophy,视网膜营养不良,
HP:0000557,Buphthalmos,爆裂眼,
HP:0000558,Rieger anomaly,Rieger综合征,
HP:0000559,Corneal scarring,角膜瘢痕,
HP:0000561,Absent eyelashes,睫毛缺失,
HP:0000563,Keratoconus,圆锥角膜,
HP:0000564,Lacrimal duct atresia,泪道闭锁,
HP:0000565,Esotropia,内斜视,
HP:0000567,Chorioretinal coloboma,脉络膜视网膜缺损,
HP:0000568,Microphthalmia,小眼症,
HP:0000570,Abnormal saccadic eye movements,眼球扫视运动异常,
HP:0000571,Hypometric saccades,扫视不到位,
HP:0000572,Visual loss,视力丧失,
HP:0000573,Retinal hemorrhage,视网膜出血,
HP:0000574,Thick eyebrow,眉毛浓密,
HP:0000575,Scotoma,盲点,
HP:0000576,Centrocecal scotoma,中央盲点,
HP:0000577,Exotropia,外斜视,
HP:0000579,Nasolacrimal duct obstruction,鼻泪管阻塞,
HP:0000580,Pigmentary retinopathy,色素性视网膜病,
HP:0000581,Blepharophimosis,眼睑裂狭小,
HP:0000582,Upslanted palpebral fissure,睑裂上斜,
HP:0000584,Punctate corneal epithelial erosions,点状角膜上皮糜烂,
HP:0000585,Band keratopathy,带状角膜病,
HP:0000586,Shallow orbits,浅眼眶,
HP:0000587,Abnormal optic nerve morphology,视神经形态异常,
HP:0000588,Optic disc coloboma,视盘缺损,
HP:0000589,Coloboma,眼缺损,
HP:0000590,Progressive external ophthalmoplegia,进行性眼外肌麻痹,
HP:0000591,Abnormal sclera morphology,巩膜异常,
HP:0000592,Blue sclerae,蓝巩膜,
HP:0000593,Abnormal anterior chamber morphology,前房形态异常,
HP:0000594,Shallow anterior chamber,浅前房,
HP:0000597,Ophthalmoparesis,眼肌瘫痪,
HP:0000598,Abnormality of the ear,耳部异常,
HP:0000599,Abnormality of the frontal hairline,前额发际线异常,
HP:0000600,Abnormality of the pharynx,咽部异常,
HP:0000601,Hypotelorism,眼距过窄,
HP:0000602,Ophthalmoplegia,眼肌麻痹,
HP:0000603,Central scotoma,中心暗点,
HP:0000605,Supranuclear gaze palsy,核上性凝视麻痹,
HP:0000606,Abnormality of the periorbital region,眶周畸形,
HP:0000607,Periorbital wrinkles,眶周皱纹,
HP:0000608,Macular degeneration,黄斑变性,
HP:0000609,Optic nerve hypoplasia,视神经发育不全,
HP:0000610,Abnormal choroid morphology,脉络膜形态异常,
HP:0000612,Iris coloboma,虹膜缺损,
HP:0000613,Photophobia,畏光,
HP:0000614,Abnormal nasolacrimal system morphology,鼻泪管系统的异常,
HP:0000615,Abnormal pupil morphology,瞳孔形态异常,
HP:0000616,Miosis,瞳孔缩小,
HP:0000617,Abnormality of ocular smooth pursuit,眼部平稳跟踪异常,
HP:0000618,Blindness,失明,
HP:0000619,Impaired convergence,辐凑受损,
HP:0000620,Dacryocystitis,泪囊炎,
HP:0000621,Entropion,眼睑内翻,
HP:0000622,Blurred vision,视力模糊,
HP:0000623,Supranuclear ophthalmoplegia,核上性眼肌麻痹,
HP:0000625,Eyelid coloboma,眼睑缺损,
HP:0000627,Posterior embryotoxon,后胚胎环,
HP:0000629,Periorbital fullness,眶周丰满,
HP:0000630,Abnormal retinal artery morphology,视网膜动脉形态异常,
HP:0000631,Retinal arterial tortuosity,视网膜动脉迂曲,
HP:0000632,Lacrimation abnormality,泪液分泌异常,
HP:0000633,Decreased lacrimation,泪液分泌减少,
HP:0000634,Impaired ocular abduction,眼外展障碍,
HP:0000635,Blue irides,蓝色虹膜,
HP:0000636,Upper eyelid coloboma,上眼睑缺损,
HP:0000637,Long palpebral fissure,睑裂增宽,
HP:0000639,Nystagmus,眼球震颤,
HP:0000640,Gaze-evoked nystagmus,凝视诱发眼震,
HP:0000641,Dysmetric saccades,不规则扫视,
HP:0000642,Red-green dyschromatopsia,红绿色觉障碍,
HP:0000643,Blepharospasm,眼睑痉挛,
HP:0000646,Amblyopia,弱视,
HP:0000647,Sclerocornea,角膜巩膜化,
HP:0000648,Optic atrophy,视神经萎缩,
HP:0000649,Abnormality of visual evoked potentials,视觉诱发电位异常,
HP:0000650,Abnormal amplitude of pattern reversal visual evoked potentials,图形视觉诱发电位振幅异常,
HP:0000651,Diplopia,复视,
HP:0000652,Lower eyelid coloboma,下眼睑缺损,
HP:0000653,Sparse eyelashes,睫毛稀疏,
HP:0000654,Decreased light- and dark-adapted electroretinogram amplitude,光和暗适应视网膜电图振幅降低,
HP:0000656,Ectropion,睑外翻,
HP:0000657,Oculomotor apraxia,眼球运动失用,
HP:0000658,Eyelid apraxia,眼睑失用症,
HP:0000659,Peters anomaly,Peters 综合征,
HP:0000660,Lipemia retinalis,视网膜脂血症,
HP:0000661,Palpebral fissure narrowing on adduction,睑裂内收狭窄,
HP:0000662,Nyctalopia,夜盲症,
HP:0000664,Synophrys,连眉,
HP:0000666,Horizontal nystagmus,水平眼震,
HP:0000667,Phthisis bulbi,眼萎缩,
HP:0000668,Hypodontia,缺牙症,
HP:0000670,Carious teeth,龋齿,
HP:0000674,Anodontia,无牙畸形,
HP:0000675,Macrodontia of permanent maxillary central incisor,上颌恒中切牙巨齿,
HP:0000676,Abnormality of the incisor,切牙异常,
HP:0000677,Oligodontia,少牙畸形,
HP:0000678,Dental crowding,牙列拥挤,
HP:0000679,Taurodontia,牙髓腔增大,
HP:0000680,Delayed eruption of primary teeth,乳牙萌出延迟,
HP:0000682,Abnormal dental enamel morphology,牙釉质形态异常,
HP:0000683,Grayish enamel,灰色牙釉质,
HP:0000684,Delayed eruption of teeth,牙齿萌出延迟,
HP:0000685,Hypoplasia of teeth,牙齿发育不全,
HP:0000687,Widely spaced teeth,牙间隙增宽,
