coverage_id,task_id,asset_id,behavior_domain,suite_class,coverage_obligation,existing_evidence,existing_fixture_or_harness,fixture_class,oracle_class,determinism_class,synthetic_only,phi_required,clinical_gold_required,runtime_required,external_dependency_required,planned_validation_level,coverage_status,gap_type,blocking,required_followup,evidence_reference,notes
A65D-D01-COV-011,TASK-D01,WF-001,tool_invocation_and_state_patch,INTERACTIVE,bounded_synthetic_tool_invocation_and_state_patch_behavior,C01 contract mapping REFERENCE_ONLY,NONE_IN_D01,MOCK_TOOL_RESULT;INVALID_SYNTHETIC,STATE_TRANSITION_ORACLE;ERROR_CLASS_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_HARNESS,GAP_NO_HARNESS,yes,local_in_memory_harness_plan,C01 evidence REFERENCE_ONLY,No runtime store; no clinical oracle.
A65D-D01-COV-012,TASK-D01,WF-001,multi_step_orchestration_path,TRAJECTORY,synthetic_multi_step_orchestration_ordering_and_fallback,inventory workflow asset,NONE_IN_D01,STATE_SEQUENCE_SYNTHETIC;ERROR_INJECTION_SYNTHETIC,EVENT_SEQUENCE_ORACLE;INVARIANT_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_HARNESS,GAP_NO_HARNESS,yes,trajectory_harness_plan,WF-001 path,Non-clinical mechanics only.
A65D-D01-COV-013,TASK-D01,WF-001,identifier_propagation,STATIC,identifier_format_and_propagation_invariants,C01 IdentifierSet mapping REFERENCE_ONLY,NONE_IN_D01,MINIMAL_SYNTHETIC,IDENTIFIER_PROPAGATION_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,PARTIALLY_COVERED,none,no,reuse_C01_identifier_rules_as_oracle_input,C01 mapping,Extra behavior obligation beyond suite triad.
A65D-D01-COV-014,TASK-D01,WF-002,agent_loop_structure,STATIC,static_agent_loop_symbol_and_control_structure_inventory,inventory TRACKED_FILE; path exists,NONE_IN_D01,CONTRACT_FIXTURE,SCHEMA_ORACLE;SNAPSHOT_STRUCTURE_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,PARTIALLY_COVERED,none,no,symbol_map_in_D01_impl,blob:3f5dcd0a,Static planning ready.
A65D-D01-COV-015,TASK-D01,WF-002,pause_resume_retry,INTERACTIVE,synthetic_pause_resume_retry_without_external_llm,none,NONE_IN_D01,BOUNDARY_SYNTHETIC;ERROR_INJECTION_SYNTHETIC;MOCK_TOOL_RESULT,STATE_TRANSITION_ORACLE;ERROR_CLASS_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_HARNESS,GAP_NO_HARNESS,yes,mocked_loop_harness,WF-002 path,NONDETERMINISTIC_BLOCKED if external model required.
A65D-D01-COV-016,TASK-D01,WF-002,agent_trajectory_mechanics,TRAJECTORY,multi_step_synthetic_agent_path_with_terminal_condition,none,NONE_IN_D01,STATE_SEQUENCE_SYNTHETIC,EVENT_SEQUENCE_ORACLE;INVARIANT_ORACLE,SEEDED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_HARNESS,GAP_NO_HARNESS,yes,trajectory_harness_plan,WF-002 path,No diagnosis correctness.
A65D-D01-COV-017,TASK-D01,WF-002,observability_failure_boundary_reuse,INTERACTIVE,reuse_C03_synthetic_observability_failure_scenarios_as_reference_only,C03 observability test matrix MERGED_AND_VERIFIED,C03 PLANNED synthetic definitions,TRACE_CONTEXT_SYNTHETIC;ERROR_INJECTION_SYNTHETIC,TRACE_LINKAGE_ORACLE;ERROR_CLASS_ORACLE,MOCKED_DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,PARTIALLY_COVERED,none,no,REFERENCE_ONLY_no_runtime_claim,C03 evidence REFERENCE_ONLY,C03 matrix is definition-only; not runtime PASS.
A65D-D01-COV-018,TASK-D01,PROMPT-001,prompt_manager_structure,STATIC,path_type_symbol_hash_and_consumer_relationship_without_body,inventory PROMPT_ASSET; path exists,NONE_IN_D01,CONTRACT_FIXTURE,SCHEMA_ORACLE;EXACT_VALUE_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,PARTIALLY_COVERED,none,no,structural_inventory_only,blob:dd1c1d89,PROMPT_BODY_NOT_AUTHORIZED.
A65D-D01-COV-019,TASK-D01,PROMPT-001,prompt_resolution_mechanics,INTERACTIVE,synthetic_id_to_path_resolution_without_prompt_text,none,NONE_IN_D01,MINIMAL_SYNTHETIC;INVALID_SYNTHETIC,EXACT_VALUE_ORACLE;ERROR_CLASS_ORACLE,DETERMINISTIC,yes,no,no,no,no,PLAN_DEFINITION,GAP_NO_HARNESS,GAP_NO_HARNESS,yes,harness_using_synthetic_ids_only,PROMPT-001 path,No clinical instruction extraction.
A65D-D01-COV-020,TASK-D01,PROMPT-001,clinical_prompt_semantics,TRAJECTORY,clinical_prompt_trajectory_evaluation,B04 BLOCKED; C02 BLOCKED_BY_TASK_B04,NONE,NOT_APPLICABLE,NO_SAFE_ORACLE,NOT_APPLICABLE,yes,no,no,no,no,PLAN_DEFINITION,GAP_BLOCKED_CLINICAL_GOLD,GAP_BLOCKED_CLINICAL_GOLD,yes,remains_blocked_until_separate_clinical_authorization,B04/C02 isolation,Cannot evaluate clinical prompt correctness under D01.
A65D-D01-COV-021,TASK-D01,PROMPT-001,prompt_body_access,STATIC,explicit_disposition_prompt_body_not_authorized_for_d01,planning boundary,NONE,NOT_APPLICABLE,NO_SAFE_ORACLE,NOT_APPLICABLE,yes,no,no,no,no,PLAN_DEFINITION,GAP_BLOCKED_CLINICAL_GOLD,GAP_BLOCKED_CLINICAL_GOLD,yes,A65D-OD-003,PROMPT-001 boundary,Extra disposition row locking body-access prohibition.
