asset_id,path,asset_name,asset_category,asset_type,format,language,current_status,current_consumer,declared_owner,source_of_truth,version,last_known_usage,clinical_relevance,runtime_relevance,contract_relevance,contains_prompt_logic,contains_clinical_logic,contains_thresholds,contains_medical_sources,potential_patient_data,provenance_status,license_status,schema_status,test_coverage,duplicate_or_overlap,candidate_target,proposed_disposition,validation_level,implementation_batch,blocking_dependencies,risk_level,decision_status,required_evidence,notes
DOC-011,docs/AI医生/项目文档/10.实现与部署/项目结构设计.md,项目结构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-012,docs/AI医生/项目文档/11.错误处理与异常/异常场景处理设计.md,异常场景处理设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-013,docs/AI医生/项目文档/11.错误处理与异常/错误处理策略设计.md,错误处理策略设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-014,docs/AI医生/项目文档/11.错误处理与异常/错误处理规范.md,错误处理规范,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-015,docs/AI医生/项目文档/12.性能与评估/复杂度分析.md,复杂度分析,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-016,docs/AI医生/项目文档/12.性能与评估/性能优化设计.md,性能优化设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-017,docs/AI医生/项目文档/12.性能与评估/评估验证体系.md,评估验证体系,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-018,docs/AI医生/项目文档/13.技术细节/AOP切面设计思路.md,AOP切面设计思路,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-019,docs/AI医生/项目文档/13.技术细节/DR.KNOWS路径推理设计.md,DR.KNOWS路径推理设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-020,docs/AI医生/项目文档/13.技术细节/LangChain架构开发流程.md,LangChain架构开发流程,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,MED,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-021,docs/AI医生/项目文档/13.技术细节/路径注入LLM详细说明.md,路径注入LLM详细说明,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-022,docs/AI医生/项目文档/2.架构设计/主Agent架构设计.md,主Agent架构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-023,docs/AI医生/项目文档/2.架构设计/双通道推理架构.md,双通道推理架构,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-024,docs/AI医生/项目文档/2.架构设计/工具系统架构.md,工具系统架构,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-025,docs/AI医生/项目文档/3.业务功能设计/临床诊疗态流程设计.md,临床诊疗态流程设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-026,docs/AI医生/项目文档/3.业务功能设计/健康管理态流程设计.md,健康管理态流程设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,MED,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-027,docs/AI医生/项目文档/3.业务功能设计/入口判定流程设计.md,入口判定流程设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-028,docs/AI医生/项目文档/3.业务功能设计/终点结论包设计.md,终点结论包设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-029,docs/AI医生/项目文档/4.工具设计/工具业务逻辑设计.md,工具业务逻辑设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-030,docs/AI医生/项目文档/4.工具设计/工具技术实现.md,工具技术实现,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-031,docs/AI医生/项目文档/4.工具设计/工具接口规范.md,工具接口规范,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-032,docs/AI医生/项目文档/5.主agent设计/主Agent业务逻辑设计.md,主Agent业务逻辑设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-033,docs/AI医生/项目文档/5.主agent设计/主Agent技术实现.md,主Agent技术实现,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-034,docs/AI医生/项目文档/5.主agent设计/主Agent核心算法设计.md,主Agent核心算法设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-035,docs/AI医生/项目文档/5.主agent设计/主Agent运行循环设计.md,主Agent运行循环设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-036,docs/AI医生/项目文档/6.数据模型设计/AgentState数据结构设计.md,AgentState数据结构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-037,docs/AI医生/项目文档/6.数据模型设计/AuditTrail数据结构设计.md,AuditTrail数据结构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-038,docs/AI医生/项目文档/6.数据模型设计/CDP数据结构设计.md,CDP数据结构设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P0,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-039,docs/AI医生/项目文档/6.数据模型设计/实体类与DTO设计.md,实体类与DTO设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-040,docs/AI医生/项目文档/7.接口规范/REST API接口规范.md,REST API接口规范,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,HIGH,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-041,docs/AI医生/项目文档/7.接口规范/工具调用协议.md,工具调用协议,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,MED,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-042,docs/AI医生/项目文档/7.接口规范/错误处理规范.md,错误处理规范,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-043,docs/AI医生/项目文档/8.前端设计/入口设计规范.md,入口设计规范,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-044,docs/AI医生/项目文档/8.前端设计/前端页面设计.md,前端页面设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,LOW,LOW,MED,NO,NO,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-045,docs/AI医生/项目文档/8.前端设计/用户交互流程设计.md,用户交互流程设计,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,MED,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,KEEP_READ_ONLY,L0,A6.5-A,code-mapping;owner-assignment,P2,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-046,docs/AI医生/项目文档/9.知识演化设计/知识演化与知识维护-完整设计方案.md,知识演化与知识维护-完整设计方案,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
DOC-047,docs/AI医生/项目文档/9.知识演化设计/知识演化业务逻辑.md,知识演化业务逻辑,DESIGN_DOCUMENT,LEGACY_DESIGN_SPEC,MD,zh,LEGACY_ACTIVE,refactoring-planning;legacy-services,UNASSIGNED,CANDIDATE,UNKNOWN,UNKNOWN,HIGH,LOW,MED,NO,YES,NO,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,NONE,NO,,MAP,L0,A6.5-A,code-mapping;owner-assignment,P1,PROPOSED,document_to_code_mapping;owner;retention_decision,Primary historical design evidence source per A6.5 normative docs; not production truth
