HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）,标准名称（中文）,定义（中文）,精确同义词（中文）,相关同义词（中文）,注释（中文）
HP:0000012,Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.","Urinary urgency is the strong, sudden need to urinate and is usually due to bladder spasms or contractions. This symptom is suggestive of, but not necessarily conclusive for urodynamically demonstrable detrusor hyperactivity.",Urinary urgency; Urgent micturition; Overactive bladder,Urgency frequency syndrome; Overactive bladder syndrome,HP:0000009,,是,,否,,,SNOMEDCT_US:75088002; UMLS:C0085606; UMLS:C3544092; UMLS:C4020898,尿急,,尿急; 急迫尿感; 过度活跃膀胱综合征,急迫性尿频综合征; 过度活动膀胱综合征,尿急是指突然而强烈的排尿欲望，通常由膀胱痉挛或收缩引起。此症状提示可能存在但不一定能通过尿动力学检查证实的逼尿肌过度活动。
HP:0000013,Hypoplasia of the uterus,Underdevelopment of the uterus.,,Underdeveloped uterus; Hypoplastic uterus; Rudimentary uterus; Small uterus,,HP:0008684,,是,HP:0001154; HP:0008637,否,,,SNOMEDCT_US:35850006; UMLS:C0266399,子宫发育不良,,子宫发育不全; 发育不全子宫; 原始子宫; 小子宫,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000014,Abnormality of the bladder,An abnormality of the urinary bladder.,,,,HP:0010936,HP:0000009,否,,否,,,UMLS:C0149632,膀胱异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000015,Bladder diverticulum,Diverticulum (sac or pouch) in the wall of the urinary bladder.,,Bladder diverticula,,,HP:0008691; HP:0012619,否,,否,,,SNOMEDCT_US:197866008; UMLS:C0156273,膀胱憩室,,膀胱憩室,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000016,Urinary retention,Inability to completely empty the urinary bladder during the process of urination.,Urinary retention is the inability of the urinary bladder to empty. The cause may be neurologic or nonneurologic.,Increased post-void residual urine volume,,HP:0000009,,是,,否,,,SNOMEDCT_US:130951007; SNOMEDCT_US:267064002; SNOMEDCT_US:449491000124101; UMLS:C0080274,尿潴留,,排尿后残余尿量增多,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,尿潴留是指膀胱不能排空。原因可能是神经性的或非神经性的。
HP:0000017,Nocturia,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,Often occurring as a result of heart insufficiency.,Nycturia,,HP:0000009,,是,,否,,,SNOMEDCT_US:139394000; UMLS:C0028734,夜尿症,,夜尿症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,常因心力衰竭所致。
HP:0000019,Urinary hesitancy,Difficulty in beginning the process of urination.,,Difficulty with flow,,HP:0000009,,是,,否,,,SNOMEDCT_US:5972002; UMLS:C0152032,排尿踌躇,,流体动力学困难,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000020,Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,Urinary incontinence can be defined as the complaint of any involuntary leakage of urine.,Loss of bladder control; Bladder incontinence,,HP:0000009,HP:0010992,否,HP:0006942; HP:0008681,否,,,SNOMEDCT_US:165232002; UMLS:C0042024,尿失禁,,尿失禁; 膀胱失禁,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,尿失禁可定义为任何形式的非自愿尿液漏出的主诉。
HP:0000021,Megacystis,Dilatation of the bladder postnatally.,,,,HP:0010955,,是,HP:0002838,否,,,UMLS:C1855311,巨膀胱症,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000022,Abnormal male internal genitalia morphology,An abnormality of the male internal genitalia.,"The internal genital structures of the male including the testis, epididymis, vas deferens, seminal vesicle, ejaculatory duct, bulbourethral gland, and the prostate.",,,HP:0010461; HP:0000812,HP:0008775; HP:0009714; HP:0012872,否,,否,,,UMLS:C4025899,男性内生殖器形态异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,男性内生殖器结构包括睾丸、附睾、输精管、精囊、射精管、尿道球腺和前列腺。
HP:0000023,Inguinal hernia,Protrusion of the contents of the abdominal cavity through the inguinal canal.,Inguinal hernia appears as a bulge in the groin.,,,HP:0004299,,是,,否,,,MEDDRA:10022016; SNOMEDCT_US:396232000; UMLS:C0019294,腹股沟疝,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,腹股沟疝表现为腹股沟部位的肿块。
HP:0000024,Prostatitis,The presence of inflammation of the prostate.,,Inflammation of the prostate,,HP:0008775; HP:0012649,,是,,否,,,SNOMEDCT_US:9713002; UMLS:C0033581,前列腺炎,,前列腺炎,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000025,Functional abnormality of male internal genitalia,,,,,HP:0012874,HP:0000026; HP:0008669,否,,否,,,UMLS:C4025898,男性内生殖器功能异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000026,Male hypogonadism,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",,Decreased function of male gonad,,HP:0000135; HP:0000025,,是,HP:0008649,否,,,SNOMEDCT_US:48723006; UMLS:C0151721,男性性腺功能减退症,,男性生殖腺功能减退,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000027,Azoospermia,"Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.",,Absent sperm in semen,,HP:0008669,HP:0011961; HP:0011962; HP:0011963,否,,否,,,SNOMEDCT_US:425558002; SNOMEDCT_US:48188009; UMLS:C0004509,无精症,,精液中无精子,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000028,Cryptorchidism,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.","The gonad is mobile and can be retracted superiorly by the cremaster muscle reflex stimulated, for instance, by cold or touch. A retracted testis is not cryptorchidism. An abdominal testis cannot be distinguished by physical examination from an (Apparently) absent testis and requires radiological (or, rarely, surgical) procedures for assessment.",Undescended testis; Undescended testes; Cryptorchism,,HP:0000035,HP:0008689; HP:0012741,否,HP:0000797,否,,,Fyler:4493; SNOMEDCT_US:204878001; UMLS:C0010417,隐睾,,隐睾症; 隐睾症; 隐睾症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,睾丸活动度好，可通过腹股沟提睾肌反射（如遇冷或触碰时）上提。回缩的睾丸不属于隐睾症。腹部位置的睾丸在体格检查中无法与缺失的睾丸区分，需要通过影像学（或罕见情况下手术）评估。
HP:0000029,Testicular atrophy,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,,Testicular degeneration,,HP:0000035,,是,,否,,,SNOMEDCT_US:17585008; UMLS:C0156312,睾丸萎缩,,睾丸退行性变,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000030,Testicular gonadoblastoma,The presence of a gonadoblastoma of the testis.,,,"Gonadoblastoma, male",HP:0010788; HP:0000150,,是,,否,,,NCIT:C3754; UMLS:C1515283,睾丸性腺母细胞瘤,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,睾丸母细胞瘤，男性型,
HP:0000031,Epididymitis,The presence of inflammation of the epididymis.,,,,HP:0012649; HP:0009714,,是,,否,,,SNOMEDCT_US:31070006; UMLS:C0014534,附睾炎,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000032,Abnormal male external genitalia morphology,Any structural abnormality of male external genitalia.,,Abnormality of male external genitalia,,HP:0010461; HP:0000811,HP:0000033; HP:0000035; HP:0000036; HP:0000037; HP:0000045; HP:0000050; HP:0008730; HP:0100848,否,,否,,,UMLS:C4025897,男性外生殖器形态异常,,男性外生殖器异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000033,"Ambiguous genitalia, male",Ambiguous genitalia in an individual with XY genetic gender.,,Ambiguous genitalia in males,,HP:0000062; HP:0000032,,是,,否,,,UMLS:C4021823,男性外阴性别不明,,男性外生殖器畸形,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000034,Hydrocele testis,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,,Testicular hydrocele,,HP:0000035,HP:0100673,否,,否,,,SNOMEDCT_US:26614003; SNOMEDCT_US:386152007; SNOMEDCT_US:55434001; UMLS:C1720771,睾丸鞘膜积液,,阴囊疝（正确来说应为睾丸鞘膜积液，因为testicular hydrocele特指发生在睾丸附近的鞘膜积液）,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000035,Abnormal testis morphology,An anomaly of the testicle (the male gonad).,,Anomaly of the testes; Abnormality of the testis,,HP:0000032,HP:0000028; HP:0000029; HP:0000034; HP:0008720; HP:0008733; HP:0010470; HP:0010788; HP:0010789; HP:0012215; HP:0012646; HP:0012860; HP:0012870; HP:0100796; HP:0100813,否,,否,,,SNOMEDCT_US:55631001; UMLS:C0266423,睾丸形态异常,,睾丸异常; 睾丸异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000036,Abnormal penis morphology,Abnormality of the male external sex organ.,,Abnormality of the penis,,HP:0000032,HP:0000040; HP:0008708; HP:0008736; HP:0100587; HP:0100599; HP:0100600; HP:0100623; HP:0100850,否,,否,,,UMLS:C4025896,阴茎形态异常,,阴茎异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000037,Male pseudohermaphroditism,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",,,,HP:0000032,HP:0008656,否,,否,,,SNOMEDCT_US:111332007; UMLS:C0238395,男性假两性畸形,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000039,Epispadias,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.","Epispadias may be present in a phenotypic male, female, or an individual with ambiguous genitalia. A meatus in a phenotypic male may be positioned either on the glans (glandular or balanic epispadias), the shaft (penile epispadias) or at the attachment of the penis to the abdominal wall (penopubic epispadias). Alternatively, the urethra may be an open groove along the dorsal shaft of the penis, with no readily recognized meatus. Epispadias is a frequent component of Bladder exstrophy, but should be coded separately.",,,HP:0100627,,是,,否,,,SNOMEDCT_US:406477003; UMLS:C0563449,尿道上裂,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,尿道上裂可能出现在表型男性、女性或外生殖器发育模糊的个体中。在表型男性中，尿道口（尿道开口）的位置可能位于阴茎头部（腺体上裂或阴茎头上裂）、阴茎干（阴茎上裂）或阴茎与腹壁连接处（阴茎腹白线上裂）。另外，尿道也可能表现为阴茎背侧干上的开放性凹槽，没有明显的尿道口。尿道上裂是膀胱外翻综合征的常见组成部分，但应单独编码。
HP:0000040,Long penis,Penile length more than 2 SD above the mean for age.,"Penile length is the distance between the midline attachment of the gently stretched, flaccid penis above the pubic symphysis and tip of the glans.",Enlarged penis; Long penis,,HP:0000036,,是,,否,,,SNOMEDCT_US:88673001; UMLS:C0269011,长阴茎,,阴茎增大; 长阴茎,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,阴茎长度是指在轻轻拉伸的疲软状态下，从耻骨联合上方中线处的附着点到龟头顶端的距离。
HP:0000041,Chordee,"A congenital anomaly of the penis characterized by ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees.","The degree of variation of penis curvature is a continuum, but traditionally 30 degrees is considered the threshold for surgical intervention on chordee. Bowing usually becomes more obvious in an erect penis, but is frequently also palpable when stretching a flaccid penis. Chordee can be congenital or acquired; if the former, it can be associated with Webbed Penis or Hypospadias, which should be coded separately.",,,,,是,,否,,,SNOMEDCT_US:4287008; UMLS:C0221182,阴茎下曲,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,阴茎弯曲的程度是一个连续体，但传统上认为30度是进行尿道下曲手术干预的阈值。弯曲通常在勃起时更为明显，但在拉伸疲软的阴茎时也经常可以触及。尿道下曲可能是先天性的或后天获得的；如果是前者，则可能与蹼状阴茎或尿道下裂相关，后者应单独编码。
HP:0000042,Absent external genitalia,Lack of external genitalia in a male or female individual.,,Absent external genitalia,,HP:0000811,,是,,否,,,UMLS:C1848869,外生殖器缺如,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000044,Hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,,Hypogonadotrophic hypogonadism; Low gonadotropins (secondary hypogonadism),Isolated hypogonadotropic hypogonadism,HP:0000135,,是,HP:0003335; HP:0008224,否,,,SNOMEDCT_US:33927004; UMLS:C0271623; UMLS:C3489396,低促性腺激素性性腺功能减退症,,低促性腺激素性功能减退症; 低促性腺激素（继发性性腺功能减退）,孤立性低促性腺激素性性腺功能减退症,
HP:0000045,Abnormal scrotum morphology,"Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord.",,Abnormality of the scrotum,,HP:0000032,HP:0000046; HP:0000048; HP:0000049; HP:0003246; HP:0008707; HP:0012855; HP:0012856; HP:0012871; HP:0100600; HP:0100674; HP:0100675; HP:0100676; HP:0100849,否,,否,,,UMLS:C4025895,阴囊形态异常,,阴囊异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000046,Small scrotum,Apparently small scrotum for age.,"A small scrotum is often accompanied by Cryptorchidism which should be coded separately. The size of the scrotum is dependent on the ambient temperature: a low temperature may cause the testes to retract, leading to the false impression of a small scrotum.",Smaller than typical growth of scrotum; Hypoplastic scrotum; Underdeveloped scrotum; Scrotal hypoplasia,,HP:0000050; HP:0000045,,是,HP:0030276,否,,,SNOMEDCT_US:204912007; UMLS:C0431659,小阴囊,,阴囊发育小于正常大小; 小阴囊症; 未发育的阴囊; 阴囊发育不全,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,阴囊较小常常伴有隐睾症，应分别编码。阴囊的大小受环境温度的影响：低温可能导致睾丸回缩，从而造成阴囊较小的假象。
HP:0000047,Hypospadias,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",,Hypospadia,,HP:0100627,HP:0000051; HP:0000808; HP:0003244; HP:0012853,否,,否,,,Fyler:4504; SNOMEDCT_US:204888000; UMLS:C1691215,尿道下裂,,阴茎下弯症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000048,Bifid scrotum,Midline indentation or cleft of the scrotum.,A testis may or may not be present in each half of the scrotum.,Scrotal cleft; Cleft of scrotum,,HP:0000045,,是,,否,,,SNOMEDCT_US:236780002; UMLS:C0341787,阴囊对裂,,阴囊纵沟; 阴囊裂隙,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,每侧阴囊中可能有或没有睾丸。
HP:0000049,Shawl scrotum,Superior margin of the scrotum superior to the base of the penis.,"A congenital overriding scrotum may disappear with growth and development, especially during puberty. If the entire scrotum is located superior to the penis, the term Penoscrotal transposition is used instead.",Overriding scrotum; Scrotum surrounds penis,,HP:0000045,,是,,否,,,UMLS:C1858539,披肩状阴囊,,骑跨式阴囊; 阴囊包绕阴茎,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,先天性阴囊高位可能随着生长发育尤其是青春期的到来而消失。如果整个阴囊位于阴茎上方，则称为阴茎阴囊移位症。
HP:0000050,Hypoplastic male external genitalia,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).",,Underdeveloped male genitalia; Small male external genitalia; Hypoplastic male genitalia,,HP:0000032; HP:0003241,HP:0000046; HP:0008734; HP:0008736,否,HP:0008710; HP:0008721,否,,,UMLS:C1852534,男性外生殖器发育不良,,男性外生殖器发育不全; 小阴茎; 先天性男性外生殖器发育不全,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000051,Perineal hypospadias,Hypospadias with location of the urethral meatus in the perineal region.,,,,HP:0000047,,是,,否,,,SNOMEDCT_US:204890004; UMLS:C0452148,会阴型尿道下裂,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000052,"Urethral atresia, male",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,,,,HP:0000068,,是,,否,,,UMLS:C4025894,男性尿道闭锁,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000053,Macroorchidism,The presence of abnormally large testes.,,Large testis; Large testicles,,,HP:0002050; HP:0008640,否,,否,,,UMLS:C1263023,巨睾,,大睾丸; 大睾丸,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000054,Micropenis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.",,Short penis; Small penis,,HP:0008736,,是,HP:0000038,否,,,SNOMEDCT_US:34911001; UMLS:C4551492,小阴茎,,阴茎短小; 阴茎短小,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0000055,Abnormal female external genitalia morphology,Any structural abnormality of the female external genitalia.,,Abnormality of female external genitalia; Abnormal female external genitalia,,HP:0010460; HP:0000811,HP:0000056; HP:0000058; HP:0000061; HP:0000067; HP:0010458; HP:0012815; HP:0100677,否,,否,,,UMLS:C4021822,女性外生殖器形态异常,,女性外生殖器异常; 女性外生殖器异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
