service,package,declared_version,resolved_version,direct_or_transitive,purpose,evidence_level,risk,notes
health-state-assessment-service,fastapi,==0.104.1,0.104.1,direct,HTTP API,BUILD_VERIFIED,,requirements.txt; no lock file
ocr-service,psutil,==5.9.6,5.9.6,direct,process metrics,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,fastapi,==0.104.1,0.104.1,direct,HTTP API,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,uvicorn,[standard]==0.24.0,0.24.0,direct,ASGI server,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,pydantic,>=2.7.0,2.13.4,direct,contracts/settings,BUILD_VERIFIED,cross-service/version drift,requirements.txt; no lock file
knowledge-management-service,pydantic-settings,>=2.0.0,2.14.2,direct,settings,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,neo4j,==5.14.0,5.14.0,direct,graph database,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,pandas,>=2.0.0,2.3.3,direct,data import,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,openpyxl,>=3.1.0,3.1.5,direct,Excel import,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,pyyaml,>=6.0,6.0.3,direct,YAML,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,python-multipart,==0.0.6,0.0.6,direct,multipart,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,python-dotenv,==1.0.0,1.0.0,direct,environment,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,prometheus-client,==0.19.0,0.19.0,direct,metrics,BUILD_VERIFIED,,requirements.txt; no lock file
knowledge-management-service,psutil,==5.9.6,5.9.6,direct,process metrics,BUILD_VERIFIED,,requirements.txt; no lock file
common/aidoctor_llm,langchain,>=0.1.0,0.1.20,direct,LLM orchestration,BUILD_VERIFIED,broad ranges caused about 14 minutes of resolver backtracking,setup.py; no lock file
common/aidoctor_llm,langchain-openai,>=0.0.2,0.1.5,direct,OpenAI wrapper,BUILD_VERIFIED,broad ranges caused about 14 minutes of resolver backtracking,setup.py; no lock file
common/aidoctor_llm,langchain-community,>=0.0.10,0.0.38,direct,provider wrappers,BUILD_VERIFIED,broad ranges caused about 14 minutes of resolver backtracking,setup.py; no lock file
common/aidoctor_llm,langchain-core,>=0.1.0,0.1.53,direct,LLM core,BUILD_VERIFIED,broad ranges caused about 14 minutes of resolver backtracking,setup.py; no lock file
common/aidoctor_llm,openai,==1.10.0,1.10.0,direct,OpenAI SDK,BUILD_VERIFIED,version drift,setup.py; no lock file
common/aidoctor_llm,jinja2,==3.1.2,3.1.2,direct,templates,BUILD_VERIFIED,version drift,setup.py; no lock file
common/aidoctor_llm,pyyaml,==6.0.1,6.0.1,direct,YAML,BUILD_VERIFIED,version drift,setup.py; no lock file
common/aidoctor_llm,httpx,==0.25.1,0.25.1,direct,HTTP client,BUILD_VERIFIED,version drift,setup.py; no lock file
common/aidoctor_llm,pydantic,>=2.7.0,2.13.4,direct,contracts/settings,BUILD_VERIFIED,version drift,setup.py; no lock file
