model_call_id,service,file_path,symbol,provider,model_name,task_type,sdk_or_http,base_url_source,api_key_env,prompt_reference,temperature,max_tokens,timeout,retry,fallback,structured_output,validation,phi_boundary,external_transfer,evidence_level,target_action_candidate,notes
M018,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/merge_hpo_chinese.py,_call_custom_api,custom HTTP,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M019,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/parse_and_translate_icpc_xml.py,_call_ollama_api,Ollama,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M020,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/translate_icpc_chinese.py,_call_openai_api,OpenAI-compatible,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M021,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/translate_icpc_chinese.py,_call_ollama_api,Ollama,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M022,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/translate_icpc_chinese.py,_call_custom_api,custom HTTP,script-configured,medical terminology translation,requests,script config/env,provider-specific env/config,P030-P032,script-configured,script-configured,script-configured,script retry,alternate providers,varies,manual parsing,NO patient data expected,YES except local Ollama,CODE_CONFIRMED,EVALUATE,not executed
M023,DRKnows research,DRKnows-main/generate_CUI_embedding.py,AutoModel.from_pretrained,Hugging Face/local,SapBERT-from-PubMedBERT-fulltext,embedding/research reasoning,transformers/PyTorch,hard-coded absolute local path,N/A,N/A,N/A,N/A,N/A,N/A,none,tensor output,research script,possible research data,NO at load,CODE_CONFIRMED,ARCHIVE,blocked by unavailable absolute paths/CUDA assets
M024,DRKnows research,DRKnows-main/test_stack.py,AutoModel.from_pretrained,Hugging Face/local,SapBERT-from-PubMedBERT-fulltext,embedding/research reasoning,transformers/PyTorch,hard-coded absolute local path,N/A,N/A,N/A,N/A,N/A,N/A,none,tensor output,research script,possible research data,NO at load,CODE_CONFIRMED,ARCHIVE,blocked by unavailable absolute paths/CUDA assets
M025,DRKnows research,DRKnows-main/test_stack_triattn.py,AutoModel.from_pretrained,Hugging Face/local,SapBERT-from-PubMedBERT-fulltext,embedding/research reasoning,transformers/PyTorch,hard-coded absolute local path,N/A,N/A,N/A,N/A,N/A,N/A,none,tensor output,research script,possible research data,NO at load,CODE_CONFIRMED,ARCHIVE,blocked by unavailable absolute paths/CUDA assets
M026,DRKnows research,DRKnows-main/trainer_stack_mpi.py,AutoModel.from_pretrained,Hugging Face/local,SapBERT-from-PubMedBERT-fulltext,embedding/research reasoning,transformers/PyTorch,hard-coded absolute local path,N/A,N/A,N/A,N/A,N/A,N/A,none,tensor output,research script,possible research data,NO at load,CODE_CONFIRMED,ARCHIVE,blocked by unavailable absolute paths/CUDA assets
M027,DRKnows research,DRKnows-main/trainer_stack_mpi_triattn.py,AutoModel.from_pretrained,Hugging Face/local,SapBERT-from-PubMedBERT-fulltext,embedding/research reasoning,transformers/PyTorch,hard-coded absolute local path,N/A,N/A,N/A,N/A,N/A,N/A,none,tensor output,research script,possible research data,NO at load,CODE_CONFIRMED,ARCHIVE,blocked by unavailable absolute paths/CUDA assets
M028,health-state-assessment-service,health-state-assessment-service/app/services/nlu/ner_model.py,NERModel._load_model,Hugging Face/local,NER_MODEL_NAME,token classification,transformers,model name/path config,N/A,N/A,N/A,N/A,NLU timeout,none,rule fallback,token labels,fusion logic,YES,provider-dependent,CODE_CONFIRMED,EVALUATE,
M029,ocr-service,ocr-service/app/services/ocr_service.py,OCRService._ocr_recognize,Tesseract,local tesseract,OCR,pytesseract,system executable,N/A,N/A,N/A,N/A,service timeout,none,none,text,post-processing,YES for uploaded image,NO,CODE_CONFIRMED,WRAP,
