prompt_id,service,file_path,symbol,prompt_type,clinical_or_technical,purpose,input_variables,output_contract,model_route,fallback,contains_medical_policy,contains_patient_data,versioned,tested,evidence_level,target_action_candidate,notes
P013,health-state-assessment-service,health-state-assessment-service/app/services/nlu/prompt_manager.py,SYMPTOM_CONCERN_IDENTIFICATION_PROMPT,Python template,clinical,symptom/concern identification,user_input;nlu_result,JSON assessment,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P014,health-state-assessment-service,health-state-assessment-service/app/services/nlu/prompt_manager.py,SITUATION_JUDGMENT_PROMPT,Python template,clinical,situation judgment,user_input;nlu_result,JSON assessment,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P015,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/question_generator.py,CLARIFICATION_QUESTION_PROMPT,Python template,clinical,clarification question,user_input;intent;symptoms;concerns;confidence;reasoning,JSON question/options,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P016,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/result_processor.py,CLARIFICATION_RESULT_PROMPT,Python template,clinical,clarification result classification,question;answer;context,JSON direction,configured LLM client,rule/template fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P017,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/question_generator.py,FALLBACK_TEMPLATES[with_symptom],fallback question,clinical,clarification fallback,symptom_text,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P018,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/question_generator.py,FALLBACK_TEMPLATES[without_symptom],fallback question,clinical,clarification fallback,symptom_text,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P019,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_enhanced/question_generator.py,FALLBACK_TEMPLATES[mixed],fallback question,clinical,clarification fallback,symptom_text,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P020,health-state-assessment-service,health-state-assessment-service/app/services/entry_assessment/step3_clarification.py,clarification_question,legacy fallback question,clinical,clarification fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,ARCHIVE,overlaps enhanced fallback
P021,dialog-service,dialog-service/app/core/nlu.py,NaturalLanguageUnderstanding.understand.prompt,Python f-string,clinical,extract dialogue information,user_input;context,JSON extracted information,common LLM client,exception fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,
P022,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[duration_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P023,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[severity_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P024,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[accompanying_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P025,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[location_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P026,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[frequency_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P027,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator.fallback_templates[trigger_question],fallback question,clinical,follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P028,dialog-service,dialog-service/app/core/nlg.py,NaturalLanguageGenerator._generate_question_with_template.default,fallback question,clinical,generic follow-up fallback,none,question,none,self,YES,NO,NO,NO,CODE_CONFIRMED,KEEP,
P029,explanation-service,explanation-service/app/builders/explanation_generator.py,ExplanationGenerator._format_prompt.prompt,fallback f-string,clinical,patient-readable explanation,diagnosis;confidence;severity;evidence;reasoning;advice,natural language,common LLM client,returns None,YES,NO,NO,NO,CODE_CONFIRMED,ADAPT,
P030,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/merge_hpo_chinese.py,translate_with_ai.prompt,translation prompt,clinical,translate medical terminology,term;definition,translated text/JSON,OpenAI/Ollama/custom,manual/rule fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,offline path; not executed
P031,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/parse_and_translate_icpc_xml.py,translate_batch.prompt,translation prompt,clinical,translate medical terminology,term;definition,translated text/JSON,OpenAI/Ollama/custom,manual/rule fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,offline path; not executed
P032,knowledge-extraction-scripts,docs/AI医生/知识内容提取/提取脚本/translate_icpc_chinese.py,translate_with_ai.prompt,translation prompt,clinical,translate medical terminology,term;definition,translated text/JSON,OpenAI/Ollama/custom,manual/rule fallback,YES,NO,NO,NO,CODE_CONFIRMED,EVALUATE,offline path; not executed
