service,asset_type,http_method,path_or_symbol,file_path,class_name,method_name,request_type,response_type,dependencies,authentication,transactional,evidence_level,notes
diagnosis-service,ENTITY,,WellnessScreeningRecord,diagnosis-service/src/main/java/com/aidoctor/diagnosis/entity/WellnessScreeningRecord.java,WellnessScreeningRecord,,,JPA entity,WellnessScreeningRecordRepository,,no,CODE_CONFIRMED,健康筛查记录
examination-service,ENTITY,,ExaminationRecord,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationRecord.java,ExaminationRecord,,report JSON,JPA entity,ExaminationRecordRepository,,no,BUILD_VERIFIED,clean compile 验证；未启动服务
examination-service,ENTITY,,ExaminationPlan,examination-service/src/main/java/com/aidoctor/examination/entity/ExaminationPlan.java,ExaminationPlan,,plan JSON,JPA entity,ExaminationPlanRepository,,no,BUILD_VERIFIED,clean compile 验证；未启动服务
diagnosis-service,REPOSITORY,,CDPRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/CDPRepository.java,CDPRepository,findByIdWithLock,String,Optional<CDP>,JpaRepository+PESSIMISTIC_WRITE,,yes,CODE_CONFIRMED,CDP 读写锁
diagnosis-service,REPOSITORY,,CDPVersionRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/CDPVersionRepository.java,CDPVersionRepository,findMaxVersionByCdpId,String,Integer,JpaRepository,,caller,CODE_CONFIRMED,版本历史
diagnosis-service,REPOSITORY,,AgentStateRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/AgentStateRepository.java,AgentStateRepository,CRUD,String,AgentState,JpaRepository,,caller,CODE_CONFIRMED,运行状态持久化
diagnosis-service,REPOSITORY,,AuditTrailRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/AuditTrailRepository.java,AuditTrailRepository,findByCdpId,String,List<AuditTrail>,JpaRepository,,caller,CODE_CONFIRMED,审计查询
diagnosis-service,REPOSITORY,,DiagnosisRecordRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/DiagnosisRecordRepository.java,DiagnosisRecordRepository,CRUD,Long,DiagnosisRecord,JpaRepository,,caller,CODE_CONFIRMED,旧诊断记录
diagnosis-service,REPOSITORY,,ExaminationRecordRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/ExaminationRecordRepository.java,ExaminationRecordRepository,CRUD,Long,ExaminationRecord,JpaRepository,,caller,CODE_CONFIRMED,诊断服务内检查记录
diagnosis-service,REPOSITORY,,FollowUpPlanRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/FollowUpPlanRepository.java,FollowUpPlanRepository,CRUD,Long,FollowUpPlan,JpaRepository,,caller,CODE_CONFIRMED,随访计划
diagnosis-service,REPOSITORY,,HealthStateAssessmentRecordRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/HealthStateAssessmentRecordRepository.java,HealthStateAssessmentRecordRepository,CRUD,Long,HealthStateAssessmentRecord,JpaRepository,,caller,CODE_CONFIRMED,健康状态记录
diagnosis-service,REPOSITORY,,WellnessScreeningRecordRepository,diagnosis-service/src/main/java/com/aidoctor/diagnosis/repository/WellnessScreeningRecordRepository.java,WellnessScreeningRecordRepository,CRUD,Long,WellnessScreeningRecord,JpaRepository,,caller,CODE_CONFIRMED,健康筛查记录
examination-service,REPOSITORY,,ExaminationRecordRepository,examination-service/src/main/java/com/aidoctor/examination/repository/ExaminationRecordRepository.java,ExaminationRecordRepository,findByUserIdOrderByCreatedAtDesc,String,Page<ExaminationRecord>,JpaRepository,,caller,BUILD_VERIFIED,clean compile 验证；未连接数据库
examination-service,REPOSITORY,,ExaminationPlanRepository,examination-service/src/main/java/com/aidoctor/examination/repository/ExaminationPlanRepository.java,ExaminationPlanRepository,CRUD,Long,ExaminationPlan,JpaRepository,,caller,BUILD_VERIFIED,clean compile 验证；未连接数据库
diagnosis-service,SERVICE,,DiagnosisOrchestrationService,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisOrchestrationService.java,DiagnosisOrchestrationService,startDiagnosis/continue/status/result,DTO,DTO,CDPManager+Workflow+health client,,yes,CODE_CONFIRMED,Controller 主调用链
diagnosis-service,SERVICE,,DiagnosisWorkflowOrchestrator,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,executeDiagnosisWorkflow/executeRemainingSteps,CDP,CDP,8 remote clients+CDPManager,,yes,CODE_CONFIRMED,固定五步 Workflow
diagnosis-service,SERVICE,,CDPManager,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPManager.java,CDPManager,createCDP/updateCDP,IDs+Map,CDP,CDPRepository+CDPVersionService,,yes,CODE_CONFIRMED,CDP 单点管理器但多调用者
diagnosis-service,SERVICE,,CDPVersionService,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/cdp/CDPVersionService.java,CDPVersionService,createInitialVersion/createVersion,CDP,CDPVersion,JsonUtil+Repository,,yes,CODE_CONFIRMED,保存完整快照
diagnosis-service,SERVICE,,AgentStateManager,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/agent_state/AgentStateManager.java,AgentStateManager,create/update/recordToolCall,Map,AgentState,AgentStateRepository,,yes,CODE_CONFIRMED,Agent 预算尝试持久化
diagnosis-service,SERVICE,,AuditTrailManager,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,AuditTrailManager,recordToolCall/recordCDPUpdate/recordAgentDecision,Map,void,AuditTrailRepository,,no,CODE_CONFIRMED,追加式记录但事务注解未见
examination-service,SERVICE,,ExaminationService,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ExaminationService,designPlan/uploadReport/ocrRecognize/getHistory,Map+file,Entity/Map/Page,Repositories+OcrServiceClient,,no,BUILD_VERIFIED,clean compile 验证；无事务注解；未运行业务流程
diagnosis-service,CLIENT,POST,/api/v1/health-state-assessment/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/HealthStateAssessmentClient.java,HealthStateAssessmentClient,assessHealthState+wellness steps,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8081
diagnosis-service,CLIENT,POST,/api/v1/parsing/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/ClinicalParsingClient.java,ClinicalParsingClient,parse/backfillEvidence/tool1,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8082
diagnosis-service,CLIENT,POST,/api/v1/dialog/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/DialogServiceClient.java,DialogServiceClient,generate/understand/gaps/routing/evidence/tool2,DTO/Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8087
diagnosis-service,CLIENT,POST,/api/v1/engine/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/DiagnosisEngineClient.java,DiagnosisEngineClient,diagnose/ddx/groups/evidence/ranking/tool3,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8086；模型实现下游 UNKNOWN
diagnosis-service,CLIENT,POST,/api/v1/workup/build-verification-plan,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/WorkupPlannerClient.java,WorkupPlannerClient,buildVerificationPlan,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8082
diagnosis-service,CLIENT,POST,/api/v1/treatment/generate-plan,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/TreatmentEngineClient.java,TreatmentEngineClient,generateTreatmentPlan,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8083
diagnosis-service,CLIENT,POST,/api/v1/risk/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/RiskAssessmentClient.java,RiskAssessmentClient,assessRisk/assessFinalRisk/tool6,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,远端默认 localhost 8084
diagnosis-service,CLIENT,POST,/api/v1/explain/conclusion-package,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/ExplanationServiceClient.java,ExplanationServiceClient,generateConclusionPackage,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,模型/Prompt 下游 UNKNOWN
diagnosis-service,CLIENT,POST,/api/v1/ocr/recognize,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/OcrServiceClient.java,OcrServiceClient,recognize,MultipartFile,Object,Feign,service-internal,no,CODE_CONFIRMED,URL 配置无默认值
diagnosis-service,CLIENT,GET/POST,/api/v1/profile/*,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/ProfileServiceClient.java,ProfileServiceClient,get/update/history,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,仓库顶层未见 profile-service 目录
diagnosis-service,CLIENT,POST,/api/v1/wellness/screening,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/WellnessServiceClient.java,WellnessServiceClient,screening,Map,Object,Feign,service-internal,no,CODE_CONFIRMED,仓库顶层未见 wellness-service 目录
diagnosis-service,CLIENT,POST,/api/v1/trace/events,diagnosis-service/src/main/java/com/aidoctor/diagnosis/client/TraceServiceClient.java,TraceServiceClient,recordEvent,ExecutionTraceEvent,void,RestTemplate,service-internal,no,CODE_CONFIRMED,异常内吞但同步等待
examination-service,CLIENT,POST,/api/v1/ocr/recognize,examination-service/src/main/java/com/aidoctor/examination/client/OcrServiceClient.java,OcrServiceClient,recognize,MultipartFile,Map<String Object>,Feign,service-internal,no,BUILD_VERIFIED,clean compile 验证；未调用远端 OCR API
diagnosis-service,MIGRATION,,V1 Oracle diagnosis tables,diagnosis-service/src/main/resources/db/migration-oracle/V1__init_diagnosis_tables.sql,V1__init_diagnosis_tables,,,SQL,Flyway/Oracle,,yes,CODE_CONFIRMED,创建 CDP 版本诊断检查随访等表
diagnosis-service,MIGRATION,,V2 Oracle execution trace,diagnosis-service/src/main/resources/db/migration-oracle/V2__add_execution_trace_to_cdp.sql,V2__add_execution_trace_to_cdp,,,SQL,Flyway/Oracle,,yes,CODE_CONFIRMED,向 CDP 增加 Trace CLOB
diagnosis-service,MIGRATION,,V1 agent state and audit,diagnosis-service/src/main/resources/db/migration/V1__create_agent_state_and_audit_trail.sql,V1__create_agent_state_and_audit_trail,,,SQL,Flyway/MySQL-style,,yes,CODE_CONFIRMED,方言与目录激活未运行验证
diagnosis-service,DTO,,DiagnosisRequest/UserAnswer/DiagnosisResponse/DiagnosisResult,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto,diagnosis DTO family,,request,response,Lombok+Validation,,no,CODE_CONFIRMED,患者 API DTO；无独立 PatientDelivery/Citation DTO
diagnosis-service,DTO,,ConclusionPackage family,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/conclusion,ConclusionPackage+Conclusion+KeyEvidence+MustExcludeStatus+ActionAndFollowUp,,CDP map,internal delivery DTO,Lombok,,no,CODE_CONFIRMED,与 v2 患者 UI 契约不一致
diagnosis-service,DTO,,ToolContext/ToolResult,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto/tool,ToolContext+ToolResult,,Map,Map,Lombok,,no,CODE_CONFIRMED,旧 Tool Contract
diagnosis-service,DTO,,dialog/evidence/threeLayer/questionlist/engine families,diagnosis-service/src/main/java/com/aidoctor/diagnosis/dto,DTO families,,Map,typed DTO,Lombok,,no,CODE_CONFIRMED,散落的内部契约
examination-service,DTO,,ApiResponse,examination-service/src/main/java/com/aidoctor/examination/dto/response/ApiResponse.java,ApiResponse,,Object,wrapper,Lombok,,no,BUILD_VERIFIED,唯一显式 DTO；clean compile 验证
diagnosis-service,CONFIGURATION,,Feign/AOP/Metrics/Swagger/RestTemplate,diagnosis-service/src/main/java/com/aidoctor/diagnosis/config,configuration family,,config,beans,Spring,,no,CODE_CONFIRMED,Trace 默认关闭
examination-service,CONFIGURATION,,application profiles,examination-service/src/main/resources/application.yml,application.yml,,config,config,Spring profiles,,no,CODE_CONFIRMED,默认激活 mysql；含本地开发默认凭据
diagnosis-service,TEST,,src/test,diagnosis-service/src/test,NONE,,none,none,Surefire,none,no,BLOCKED,目录/测试源码不存在；clean test 被 main compile 阻塞
examination-service,TEST,,src/test,examination-service/src/test,NONE,,none,none,Surefire,none,no,CODE_CONFIRMED,目录/测试源码不存在；clean test 0 tests
diagnosis-service,PROMPT,,Java prompt inventory,diagnosis-service/src/main/java,NONE,,none,none,source search,none,no,CODE_CONFIRMED,未发现 Prompt 常量或模板
diagnosis-service,MODEL_CALL,,Java direct model call,diagnosis-service/src/main/java,NONE,,none,none,source/POM search,none,no,CODE_CONFIRMED,未发现直接 SDK/HTTP Provider 调用；下游远端服务 UNKNOWN
examination-service,PROMPT,,Java prompt inventory,examination-service/src/main/java,NONE,,none,none,source search,none,no,CODE_CONFIRMED,未发现 Prompt
examination-service,MODEL_CALL,,Java direct model call,examination-service/src/main/java,NONE,,none,none,source/POM search,none,no,CODE_CONFIRMED,未发现模型调用
