service,file_path,class_name,method_name,operation,state_object,field_or_domain,direct_or_indirect,call_source,repository_or_client,transactional,version_check,possible_multi_writer,evidence_level,risk,target_action_candidate,notes
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/controller/CDPController.java,CDPController,updateTraceSummary,UPDATE,CDP,executionTrace,indirect,execution-trace-service HTTP,CDPManager,manager transaction,no caller version,yes,CODE_CONFIRMED,technical trace mixed into clinical aggregate,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisOrchestrationService.java,DiagnosisOrchestrationService,startDiagnosis,CREATE,CDP,healthStateAssessment+patientState+status,indirect,POST /start,CDPManager,yes,server-side,yes,CODE_CONFIRMED,remote health failure defaults to clinical L4 and continues,ADAPT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisOrchestrationService.java,DiagnosisOrchestrationService,continueDiagnosis,UPDATE,CDP,patientState answers+workflow state,indirect,POST /continue,CDPManager,yes,server-side,yes,CODE_CONFIRMED,user answers and remote results share Map,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,step1IdentifyProblem,UPDATE,CDP,patientState+status,indirect,continue/full workflow,CDPManager,yes,server-side,yes,CODE_CONFIRMED,remote parse/dialog fallback defaults continue,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,step2BuildDDxCandidates,UPDATE,CDP,ddx+triage+status,indirect,fixed workflow,CDPManager,outer method yes/private self call,server-side,yes,CODE_CONFIRMED,diagnosis failure stores empty DDX and risk failure continues,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,step3OrganizeRoutingPath,UPDATE,CDP,ddx,indirect,fixed workflow,CDPManager,outer transaction/private self call,server-side,yes,CODE_CONFIRMED,parser TODO returns empty list; primary call failure aborts,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,step4CollectEvidenceAndPlan,UPDATE,CDP,evidenceGraph+ddx+workupPlan,indirect,fixed workflow,CDPManager,outer transaction/private self call,server-side,yes,CODE_CONFIRMED,multiple parsers TODO; some failures silently continue,WRAP,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/orchestration/DiagnosisWorkflowOrchestrator.java,DiagnosisWorkflowOrchestrator,step5BackfillAndConclude,UPDATE,CDP,patientState+ddx+management+triage+conclusion+status,indirect,fixed workflow,CDPManager,outer transaction/private self call,server-side,yes,CODE_CONFIRMED,remote failures continue and status completed even without conclusion,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/agent_state/AgentStateManager.java,AgentStateManager,createAgentState,CREATE,AgentState,budget+thresholds+attempts+stop conditions,direct,Agent/unknown main linkage,AgentStateRepository,yes,no,unknown,CODE_CONFIRMED,AgentLoop cannot compile and main Workflow relation unknown,ADAPT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/agent_state/AgentStateManager.java,AgentStateManager,recordToolCall,UPDATE,AgentState,triedTools+budget,direct,ToolCaller,AgentStateRepository,yes,no,unknown,CODE_CONFIRMED,budget state separate from fixed workflow,ADAPT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,AuditTrailManager,recordToolCall,APPEND,AuditTrail,toolCall,direct,ToolCaller,AuditTrailRepository,no,no,yes,CODE_CONFIRMED,possible PHI in arbitrary Map and save failure is caught by caller,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,AuditTrailManager,recordCDPUpdate,APPEND,AuditTrail,cdpUpdate,direct,CDP writers,AuditTrailRepository,no,no,yes,CODE_CONFIRMED,audit coverage not enforced by CDPManager,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/audit/AuditTrailManager.java,AuditTrailManager,recordAgentDecision,APPEND,AuditTrail,agentDecision,direct,Agent,AuditTrailRepository,no,no,yes,CODE_CONFIRMED,technical/agent/clinical semantics mixed,SPLIT,
diagnosis-service,diagnosis-service/src/main/java/com/aidoctor/diagnosis/service/DiagnosisService.java,DiagnosisService,startDiagnosis/submitAnswer,CREATE/UPDATE,DiagnosisRecord,questioning state,direct,legacy internal flow,DiagnosisRecordRepository,yes,no,no,CODE_CONFIRMED,separate legacy flow alongside CDP orchestration,EVALUATE,
examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ExaminationService,designPlan,CREATE,ExaminationPlan,planItems+targetConditions,direct,POST /plan,ExaminationPlanRepository,no,no,no,CODE_CONFIRMED,simplified hard-coded rules and unchecked input,ADAPT,
examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ExaminationService,uploadReport,CREATE/UPDATE,ExaminationRecord,file path+OCR status/result/structured data,direct,POST /upload,filesystem+ExaminationRecordRepository+OcrServiceClient,no,no,no,CODE_CONFIRMED,file and DB writes are not atomic; OCR failure persists failed and returns record,ADAPT,
examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ExaminationService,ocrRecognize,READ/UPDATE,ExaminationRecord,OCR result+status+structured data,direct,POST /ocr,ExaminationRecordRepository+OcrServiceClient,no,no,no,CODE_CONFIRMED,remote response unchecked and partial failure handling,ADAPT,
examination-service,examination-service/src/main/java/com/aidoctor/examination/service/ExaminationService.java,ExaminationService,getHistory,READ,ExaminationRecord,records by userId,direct,GET /history,ExaminationRecordRepository,no,no,no,CODE_CONFIRMED,caller-supplied userId without code-level identity match,WRAP,
