gate_id,category,source_authority,original_object,engineering_baseline_requirement,current_state,evidence_state,evidence_reference,clinical_dependency,required_for_engineering_freeze,blocker_classification,resolution_required,deferred_destination,notes
EB-NC04-WORKFLOW,workflow_trace,NC_CLOSE_04; NC_CLOSE_07,PHASE_A_ENGINEERING_BASELINE,Workflow evidence remains as historically recorded,PARTIALLY_VALIDATED,DOCUMENTED,NC-CLOSE-04 verification report; NC-CLOSE-07,false,true,REQUIRES_RESCOPE_EXIT_JUDGMENT,false,none,Do not write NC-CLOSE-04 VERIFIED or COMPLETE
EB-NC04-TRACE,workflow_trace,NC_CLOSE_04; NC_CLOSE_07,PHASE_A_ENGINEERING_BASELINE,Trace remains PARTIALLY_VALIDATED,PARTIALLY_VALIDATED,DOCUMENTED,NC-CLOSE-04; GAP-NC04-TRACE-DEBT,false,true,REQUIRES_RESCOPE_EXIT_JUDGMENT,false,none,Historical NC Exit preserved; do not upgrade evidence labels
EB-NC05-ACCOUNTING,runtime_accounting,NC_CLOSE_05,PHASE_A_ENGINEERING_BASELINE,Runtime evidence accounting remains complete as accounting only,SATISFIED,DOCUMENTED,NC-CLOSE-05,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,ACCOUNTING_COMPLETE != ALL_RUNTIME_PASS != RUNTIME_VERIFIED
EB-NC06-RECONCILIATION,reconciliation,NC_CLOSE_06,PHASE_A_ENGINEERING_BASELINE,Integration reconciliation and E2E design remain as recorded,SATISFIED,DOCUMENTED,NC-CLOSE-06,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,Design/reconciliation != clinical E2E execution
EB-NC-CLOSURE-EXIT,nc_closure,NC_CLOSE_07,PHASE_A_ENGINEERING_BASELINE,PHASE_A_NC_CLOSURE_EXIT remains PASS,SATISFIED,DOCUMENTED,NC-CLOSE-07 Exit Record,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,NC Exit != A11 PASS != ENGINEERING_FROZEN_BASELINE
EB-PROVIDER-ZERO,provider_phi,A7_NC; A7_CL_01; RESCOPE_01,PHASE_A_ENGINEERING_BASELINE,real provider remains 0 / FORBIDDEN,SATISFIED,DOCUMENTED,A7-NC Exit; A7-CL-01,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,Fake/offline/synthetic only
EB-PHI-ZERO,provider_phi,A7_NC; A7_CL_01; RESCOPE_01,PHASE_A_ENGINEERING_BASELINE,PHI and real patient data remain 0,SATISFIED,DOCUMENTED,A7-NC Exit; A7-CL-01,false,true,NON_BLOCKING_DURABLE_DEBT,false,none,non-PHI only
EB-A7CL-EXCLUSION,clinical_exclusion,A7_CL_01; RESCOPE_01,ORIGINAL_PHASE_A_FROZEN_BASELINE,A7-CL remains outside the engineering object,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,A7-CL-01; RESCOPE-01,true,false,CLINICAL_ONLY_DEFERRED,false,clinical_reentry,Proposed A7-CL DEFERRED_OUT_OF_CURRENT_BASELINE; not A7-CL COMPLETE
EB-FB11-EXCLUSION,clinical_exclusion,A6_5_S14; NC_AMENDMENT_S5; A7_CL_01,ORIGINAL_PHASE_A_FROZEN_BASELINE,FB-11 remains UNSATISFIED PRESERVED on the original Frozen object,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,DOCUMENTED,A6.5 section 14; A7-CL-01,true,false,CLINICAL_ONLY_DEFERRED,false,clinical_reentry,Object-qualified only; never publish unqualified FB-11 NOT_APPLICABLE
EB-FB21-EXCLUSION,clinical_exclusion,A6_5_S14; NC_AMENDMENT_S5; PR29,ORIGINAL_PHASE_A_FROZEN_BASELINE,FB-21 / Full A7 remain required for the original Frozen object,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,DOCUMENTED,A6.5 section 14; PR29,true,false,CLINICAL_ONLY_DEFERRED,false,original_frozen_baseline,A7 remains NOT_COMPLETE; Engineering Baseline consumes A7-NC only
EB-PHASEB-EXCLUSION,phase_b,ROADMAP_PHASE_B; A7_CL_01,PHASE_B,State Committer executable Safety Engine and clinical write path stay out of Phase A,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-02; A7-CL-01,true,false,PHASE_B_DEFERRED,false,phase_b,Do not pull Phase B into Phase A
EB-A11-SEPARATION,a11_separation,NC_AMENDMENT_S7; 架构冻结基线_S12,ORIGINAL_PHASE_A_FROZEN_BASELINE,A11 remains a separate review and remains NOT_PASSED,NOT_APPLICABLE_TO_ENGINEERING_BASELINE,DOCUMENTED,NC Closure amendment section 7,true,false,CLINICAL_ONLY_DEFERRED,false,original_a11,Do not reuse A11 as ENGINEERING_FREEZE_REVIEW
EB-NEO4J-FUSION,graph,ADR_08; GAP-NEO4J-STRUCT,PHASE_A_ENGINEERING_BASELINE,Neo4j must not be treated as clinical guideline authority,PARTIALLY_VALIDATED,DOCUMENTED,ADR-08; GAP-NEO4J-STRUCT,true,false,REQUIRES_RESCOPE_EXIT_JUDGMENT,false,none,TECHNICAL_GRAPH_UNAVAILABLE != MEDICAL_NEGATIVE_RESULT; medical authority is CLINICAL_ONLY_DEFERRED
EB-PY-RUNTIME-IMPL,runtime_impl,ADR_04; GAP-PY-RUNTIME-IMPL,PHASE_A_ENGINEERING_BASELINE,Python Runtime package implementation remains NOT_IMPLEMENTED,UNSATISFIED,DOCUMENTED,ADR-04,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Decision complete; implementation is not auto-forgiven and is not marked freeze PASS
EB-DB-BACKEND,deferred_adr_impl,ADR_01; GAP-DB-VENDOR,PHASE_A_ENGINEERING_BASELINE,production primary DB vendor remains deferred by valid ADR,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-01,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Do not select production DB vendor in RESCOPE-01
EB-VECTOR,deferred_adr_impl,ADR_06; GAP-VECTOR,PHASE_A_ENGINEERING_BASELINE,vector backend remains absent adopted runtime,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-06,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,No embeddings and no vendor selection
EB-BM25,deferred_adr_impl,ADR_07; GAP-BM25,PHASE_A_ENGINEERING_BASELINE,BM25 implementation remains absent,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-07,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Never a citation replacement
EB-SECRET,deferred_adr_impl,ADR_09; GAP-SECRET,PHASE_A_ENGINEERING_BASELINE,Secret Manager backend remains deferred,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-09,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,No real provider credentials
EB-OTEL-BACKEND,deferred_adr_impl,ADR_10; GAP-OTEL-BACKEND,PHASE_A_ENGINEERING_BASELINE,OTel collector/backend remains deferred,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-10,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Do not install collector in RESCOPE-01
EB-AOP-OTEL,deferred_adr_impl,ADR_11; GAP-AOP-OTEL,PHASE_A_ENGINEERING_BASELINE,AOP to OTel bridge remains decided and not implemented,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-11,false,false,POST_FREEZE_IMPLEMENTATION_DEBT,false,post_engineering_freeze,Do not remove AOP first
EB-STATE-COMMITTER,phase_b,ADR_02; GAP-STATE-COMMITTER,PHASE_B,State Committer executable implementation remains Phase B,DEFERRED_OUT_OF_BASELINE,DOCUMENTED,ADR-02,true,false,PHASE_B_DEFERRED,false,phase_b,Structural interface may remain reference architecture
