"project_id","source_file","line_or_symbol","consumer_surface","transport","http_method_or_event","target_service","target_path","request_type","response_type","auth_mode","error_handling","retry_timeout","streaming","cdp_exposure","patient_visible","citation_support","contract_risk","evidence_level","evidence_reference"
"admin-frontend","frontend-admin/src/services/bookApi.ts","getAllBooks line 18","BookManagementPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/books/registry","none","BookRegistry -> BookInfo[]","NONE_IN_CLIENT","No local catch; caller handles errors","No retry; 30s timeout","NO","NO","NO","NONE","Registry map and snake_case DTO are hand-written","CODE_CONFIRMED","frontend-admin/src/services/bookApi.ts:18"
"admin-frontend","frontend-admin/src/services/bookApi.ts","getBookById line 28","BookManagementPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/books/registry/{bookId}","bookId path parameter","BookInfo or null","NONE_IN_CLIENT","404 becomes null; other errors rethrown","No retry; 30s timeout","NO","NO","NO","NONE","No source authorization boundary","CODE_CONFIRMED","frontend-admin/src/services/bookApi.ts:28"
"admin-frontend","frontend-admin/src/services/bookApi.ts","getBookStructure line 43","BookManagementPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/books/structure/{bookId}","bookId path parameter","BookStructure or null","NONE_IN_CLIENT","404 becomes null; other errors rethrown","No retry; 30s timeout","NO","NO","NO","NONE","No source authorization boundary","CODE_CONFIRMED","frontend-admin/src/services/bookApi.ts:43"
"admin-frontend","frontend-admin/src/services/bookApi.ts","updateBookStatus line 57","BookManagementPage","REST","PATCH","knowledge-management-service via Vite 8094","/api/v1/books/registry/{bookId}/status","{status}","void","NONE_IN_CLIENT","Error rethrown to caller","No retry; 30s timeout","NO","NO","NO","NONE","State-changing admin call has no client auth or version/idempotency field","CODE_CONFIRMED","frontend-admin/src/services/bookApi.ts:57"
"admin-frontend","frontend-admin/src/services/knowledgeApi.ts","setupSchema line 18","KnowledgeSchemaPage","REST","POST","knowledge-management-service via Vite 8094","/api/v1/schema/setup","none","ApiResponse<SchemaSetupResult> with fallback object","NONE_IN_CLIENT","No local catch; response defaults missing fields","No retry; 30s timeout","NO","NO","NO","NONE","State-changing schema operation lacks client auth and generated contract","CODE_CONFIRMED","frontend-admin/src/services/knowledgeApi.ts:18"
"admin-frontend","frontend-admin/src/services/knowledgeApi.ts","validateSchema line 34","KnowledgeSchemaPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/schema/validate","none","ApiResponse<SchemaValidationResult> with fallback object","NONE_IN_CLIENT","No local catch; response defaults missing fields","No retry; 30s timeout","NO","NO","NO","NONE","result/data dual envelope masks contract drift","CODE_CONFIRMED","frontend-admin/src/services/knowledgeApi.ts:34"
"admin-frontend","frontend-admin/src/services/knowledgeApi.ts","getAllConstraints line 50","KnowledgeSchemaPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/schema/constraints","none","ApiResponse<ConstraintDetail[]>","NONE_IN_CLIENT","Missing payload becomes empty array","No retry; 30s timeout","NO","NO","NO","NONE","result/data dual envelope and silent empty fallback","CODE_CONFIRMED","frontend-admin/src/services/knowledgeApi.ts:50"
"admin-frontend","frontend-admin/src/services/knowledgeApi.ts","getAllIndexes line 60","KnowledgeSchemaPage","REST","GET","knowledge-management-service via Vite 8094","/api/v1/schema/indexes","none","ApiResponse<IndexDetail[]>","NONE_IN_CLIENT","Missing payload becomes empty array","No retry; 30s timeout","NO","NO","NO","NONE","result/data dual envelope and silent empty fallback","CODE_CONFIRMED","frontend-admin/src/services/knowledgeApi.ts:60"
"admin-frontend","frontend-admin/src/services/traceApi.ts","getTracesByCdpId line 18","TraceManagementPage","REST","GET","execution-trace-service via Vite 8093","/api/v1/trace/cdp/{cdpId}","cdpId path parameter","ExecutionTrace[]","NONE_IN_CLIENT","Missing response becomes empty array; caller catches request failure","No retry; 30s timeout","NO","HIGH; returns trace inputData/outputData and CDP identifier","NO; admin surface","NONE","HIGH: possible PHI/internal data; no client auth or filtering contract","CODE_CONFIRMED","frontend-admin/src/services/traceApi.ts:18"
"admin-frontend","frontend-admin/src/services/traceApi.ts","getTraceSummary line 28","TraceManagementPage","REST","GET","execution-trace-service via Vite 8093","/api/v1/trace/cdp/{cdpId}/summary","cdpId path parameter","TraceSummary","NONE_IN_CLIENT","Missing response becomes zero/empty summary","No retry; 30s timeout","NO","CDP trace summary","NO; admin surface","NONE","Silent default can look like valid zero-activity result","CODE_CONFIRMED","frontend-admin/src/services/traceApi.ts:28"
"admin-frontend","frontend-admin/src/services/traceApi.ts","getAllCdpIds line 43","TraceManagementPage","REST","GET","execution-trace-service via Vite 8093","/api/v1/trace/cdps","none","Array<{cdpId;latestTimestamp;traceCount}>","NONE_IN_CLIENT","Missing response becomes empty array; caller catches request failure","No retry; 30s timeout","NO","HIGH; enumerates CDP identifiers","NO; admin surface","NONE","No client auth; identifier enumeration risk","CODE_CONFIRMED","frontend-admin/src/services/traceApi.ts:43"
"admin-frontend","frontend-admin/src/hooks/useTraceWebSocket.ts","SockJS line 26; subscribe line 35","TraceManagementPage","SockJS + STOMP","SUBSCRIBE","execution-trace-service via Vite 8093","/api/v1/trace/ws -> /topic/trace/{cdpId}","cdpId topic selector","ExecutionTraceEvent parsed from JSON","NONE_IN_CLIENT","JSON parse errors logged; STOMP errors logged","5s reconnect; 4s heartbeats","YES","HIGH; event input/output converted to JSON strings","NO; admin surface","NONE","HIGH: topic authorization and PHI filtering not visible; unbounded event accumulation","CODE_CONFIRMED","frontend-admin/src/hooks/useTraceWebSocket.ts:26"
